AH溢指跌3.55点 A股淡静开市消化货币调控
　　新浪财经讯 02月22日消息，A+H股中，A股跌多升少，H股却近乎全线普涨；恒生AH股溢价指数全日下跌3.55点至119.66点；今日收市后共有九只个股倒挂。
　　在央行再度上调存款准备金率的政策取向压力下，深沪A股农历年前的多日升势受阻，股指期货及融资融券业务的新进展也未能有效鼓舞起多头士气，股指全天窄幅波动下小幅收低0.5%。而农历年开盘连跌数日的港股，则在摆脱美国提高贴现率施压流动性的政策背景下，响应美股的连续走高而显著造好；H股指数也有效反弹，全日升2.3%。全日A股部分成交约102亿元(人民币，A股下同)；H股部分成交约90亿元(港元，H股下同)。
　　中国央行及银监会各施其政同步指向收紧货币遏信贷，银行股今日只单边市发展。获准可以以高于49%的外资持股上限增持ACL Bank股权的工商银行(601398-CN;01398-HK)，A股收低0.61%，跑输涨1.46%之H股；AH股溢价率(考虑最新汇率因素：1港元兑换0.87914元人民币)现仍微幅倒挂0.16%。遭惠誉下调信贷评级但获央行官员言论支持的招商银行(600036-CN;03968-HK)及中信银行(601998-CN;00998-HK)，H股亦升2.06%及1.92%，优于A股跌0.32%及1.73%；两市价差率分别为-5%及46%。权重保险及石油类股亦H涨A跌，助长今日两市平均估值差距的收窄。
　　航空及公路类、电力设备、通信设备、环保、铁路基建及机车设备类股则于两市携手录得优于大市的升幅；航空股在航空春运载客量增近两成且各自公布最新月度营运数据提振下，中国国航(601111-CN;00753-HK)AH股涨1.94%及3.32%；AH股溢价率现为83%。国内客运份额更为显著的南方航空(600029-CN;01055-HK)升幅则更可观，AH股涨4.9%及9.6%，跑赢同业；但两市价差率现仍高达1.5倍。东方电气(600875-CN;01072-HK)及创业环保(600874-CN;01065-HK)A股亦收高2.93%及1.74%，但仍略差于收涨5.97%及4.09%的H股；两市估值差距略为缩小至29%及208%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　中国太保(601601-CN;02601-HK)-----(-11.09%)
　　中国人寿(601628-CN;02628-HK)------(-9.20%)
　　中国平安(601318-CN;02318-HK)------(-8.33%)
　　中国铁建(601186-CN;01186-HK)------(-5.68%)
　　招商银行(600036-CN;03968-HK)------(-4.93%)
　　鞍钢股份(000898-CN;00347-HK)------(-1.48%)
　　海螺水泥(600585-CN;00914-HK)------(-0.53%)
　　工商银行(601398-CN;01398-HK)------(-0.16%)
　　中国神华(601088-CN;01088-HK)------(-0.02%)
　　马钢股份(600808-CN;00323-HK)--------5.03%

