AH溢指急弹5点至115 A股大涨拉大两市价差
　　继续实施经济刺激举措和适度宽松货币政策的政策面有效抵消了新增信贷弱于预期的影响；加上国庆假期中外围股市大幅造好，商品市场也强势上扬，从而带动场外资金踊跃入市，深沪A股节后首日强势补涨，提振股指全天急升4.76%。而已连续多日收高的港市H股则现相持，但即市获利筹码的兑现盘始终见有效承接，H股指数全日仍小升0.32%，逼近15个月来的高位平台。
　　A+H股中，A股全线收高，H股也升多跌少；恒生AH股溢价指数升4.88点至115.12点，盘中最高115.39点，最低112.85点；今日收市后倒挂个股为7只。全日A股部分成交比上交易日增至约182亿元(人民币，A股下同)；H股部分成交也略增至约139亿元(港元，H股下同)。
　　权重类股A强H弱；指引两市估值差距的拉大。新增信贷弱预期惟盈利恢复预期反获投行看好，银行股多造好，建设银行(601939-CN;00939-HK)及工商银行(601398-CN;01398-HK)A股同步升超过3%，H股也续涨0.46%及0.66%；最新AH股溢价率(考虑最新汇率因素：1港元兑换0.88089元人民币)为0.83%及-8.22%。保险及油股A股升幅也优于H股。
　　金属股一度两市齐飞，响应国际金属价格的强势创新高态势；紫金矿业(601899-CN;02899-HK)、中国铝业(601600-CN;02600-HK)及江西铜业(600362-CN;00358-HK)A股携手涨停(10%)收盘；而已连续多日收高的H股则高开低走获利回吐，全日小幅倒跌；三者的两市价差率仍有28%、74%及134%。煤炭及钢铁股在两市上涨中亦呈A强H弱局面；受煤价及钢价看涨预期推动。
　　今日两市同步跑赢股指升幅的还有部分海运、房地产、机械、水泥类股；而其他类股则皆A强H弱推动两市AH溢价率的扩大。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　中国铁建(601186-CN;01186-HK)-----(-10.66%)
　　海螺水泥(600585-CN;00914-HK)-----(-10.31%)
　　鞍钢股份(000898-CN;00347-HK)------(-9.91%)
　　工商银行(601398-CN;01398-HK)------(-8.22%)
　　中国人寿(601628-CN;02628-HK)------(-7.68%)
　　中国平安(601318-CN;02318-HK)------(-7.18%)
　　招商银行(600036-CN;03968-HK)------(-1.96%)
　　中兴通讯(000063-CN;00763-HK)--------0.14%
　　交通银行(601328-CN;03328-HK)--------0.23%
　　建设银行(601939-CN;00939-HK)--------0.83%

