恒生AH溢指微涨至100.65 沪指收复2500点
　　新浪财经讯 07月20日消息，今日AH股指均震荡走高，恒指早盘先跌后回升，午后涨幅有所收窄，沪指在权重股的推动下放量震走高，收复2500点关口。恒生AH溢指早段冲高回落，午后在A股的推动下有所回升，盘中高见101.25，低见99.76，全日报收于100.65，升0.12或0.12%，指数显示A股整体平均较H股略为溢价。
　　沪指今日上扬，微幅高开后，由于权重股轮番活跃，力推股指震荡走高，特别是昨日暴涨的煤炭和有色再度拉升，午后有色金属板块扩大涨幅，股指震荡走高，沪指终以报收2,528.73点，上涨53.31点或2.15%，深成指报收10,339.43点，上涨242.33点或2.40%，两市成交额共计2,068.6亿元。
　　恒指先跌后回升，恒指今早低开15点，但受到内地股市造好带动回升并创今日高位20,403，午后早段曾于高位徘徊，但尾市恒指升幅收窄，最终全日收报20,264.59，升173.64点或0.86%；国企指数升196.52点或1.74%，收报11,507.22，成交额518亿元。
　　AH股呈现普涨格局，AH股中A股只有1只个股下跌，H股则只有3只股下跌，其中有色及煤炭等资源股涨幅居前，江西铜业(0358-HK)涨2.92%，江西铜业A股涨8.16%，中煤能源(1898-HK)涨3.58%，中煤能源A股涨4.39%，AH股中出现倒挂的个股有15只，其中中国人寿，海螺水泥，中国铁建，招商银行及中国平安较H股折让逾两成。恒生AH股A指数涨1.64%，报1824.30；恒生AH股H指数涨1.67%，报1968.33。
　　A股重磅股方面，中国石油(601857-CN)上涨1.56%，报收10.44元；中国石化(600028-CN)上涨3.58%，报收8.38元；中国神华(601088-CN)上涨1.92%，报收22.83元；中国联通(600050-CN)上涨1.73%，报收5.30元。
　　H股重磅股方面，中国人寿(2628-HK)升1.51%，工商银行(1398-HK)升1.24%，建设银行(0939-HK)升1.75%，中国石油(0857-HK)升0.95%，中国石化(0386-HK)升0.83%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　中国人寿(601628-CN;2628-HK)-----(-26.39%)
　　海螺水泥(600585-CN;0914-HK)-----(-23.80%)
　　招商银行(600036-CN;3968-HK)-----(-21.55%)
　　中国平安(601318-CN;2318-HK)-----(-20.62%)
　　中国铁建(601186-CN;1186-HK)-----(-20.05%)
　　鞍钢股份(000898-CN;0347-HK)-----(-18.13%)
　　工商银行(601398-CN;1398-HK)-----(-18.02%)
　　交通银行(601328-CN;3328-HK)-----(-16.19%)
　　建设银行(601939-CN;0939-HK)-----(-15.82%)
　　民生银行(600016-CN;1988-HK)-----(-15.22%)

