恒生AH溢指跌1.46至99.87点 钢铁股受重挫
　　 新浪财经讯 08月25日消息，今日AH股指均收跌，沪指早盘反弹未果后回软，午后跌幅进一步扩大，并失守2600点；恒指整体震荡偏弱，午后创日内低点后反弹收窄跌幅。恒生AH溢指震荡走低跌破百点大关，因A股普遍大幅走弱拖累，指数盘中高见101.39，低见99.69，全日报收于99.87，跌1.46或1.44%，指数显示A股整体平均较H股略为折价。
　　沪指早盘大幅低开后尝试着反弹，传媒、超级细菌等股的强势拉升，不过大盘仍然受到5日均线的压制，随着地产与银行类权重股的杀跌，股指急速下滑，沪指逐步逼近30日均线；午后继续震荡走低，沪指受权重股的打压逐步逼近关口，钢铁股急速重挫，加上遭受利空打击的地产股扩大跌幅，沪指终以报收2,696.58点，下跌53.73点或2.03%，深成指报收10,963.99点，250.25点或2.23%，两市成交额共计2,096.4亿元。
　　恒指今日连跌四日，港股今早低开55点，早段最高企20.667，但其后反复于低位徘徊，午后曾跌逾140点至20,512，尾市收复部分失地；最终恒指全日收报20,634，跌23点或0.11%；国企指收跌77点或0.67%，收报11,495，成交额580亿元。
　　AH股普遍大幅走弱，在可比的AH股中A股只有3只上涨，H股有8只股上涨。昨日带领大盘强势上攻的钢铁股，今日重陷低迷，其中马钢股份(600808-CN)跌3.33%，重庆钢铁(601005-CN)跌4.01%，相对应的H股也有不同程度的下跌。AH股中出现倒挂的个股有17只，其中A股较H股折价逾两成个股增至6只。恒生H股A指数跌2.05%，报1820.43；恒生AH股H指数跌0.64%，报1976.30。
　　中国平安(601318-CN)停牌；中国人寿(601628-CN)下跌2.31%；建设银行(601939-CN)下跌2.09%；中国银行(601988-CN)下跌1.46%；工商银行(601398-CN)下跌1.45%；招商银行(600036-CN)下跌2.99%；交通银行(601328-CN)下跌3.06%。
　　中国人寿(2628-HK)持平，工商银行(1398-HK)持平，建设银行(0939-HK)升0.31%，中国石油(0857-HK)跌0.82%，中国石化(0386-HK)跌0.65%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　招商银行(600036-CN;3968-HK)-----(-25.52%)
　　中国人寿(601628-CN;2628-HK)-----(-22.90%)
　　交通银行(601328-CN;3328-HK)-----(-21.89%)
　　鞍钢股份(000898-CN;0347-HK)-----(-21.07%)
　　中国平安(601318-CN;2318-HK)-----(-20.95%)
　　建设银行(601939-CN;0939-HK)-----(-20.22%)
　　中国铁建(601186-CN;1186-HK)-----(-19.95%)
　　工商银行(601398-CN;1398-HK)-----(-19.77%)
　　民生银行(600016-CN;1988-HK)-----(-14.13%)
　　中国中铁(601390-CN;0390-HK)-----(-12.45%)

