今日上市公司业绩公布备忘录
　　新浪财经讯 03月25日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　00031 航天控股 末期业绩
　　00082 第一视频 末期业绩
　　00095 新泽控股 末期业绩
　　00123 越秀地产 末期业绩
　　00135 中国(香港)石油 末期业绩
　　00157 自然美 末期业绩
　　00165 中国光大控股 末期业绩
　　00232 中国航空工业国际 末期业绩
　　00260 中油洁能 末期业绩
　　00291 华润创业 末期业绩
　　00357 美兰机场 末期业绩
　　00387 力丰(集团) 末期业绩
　　00477 奥普集团控股 末期业绩
　　00495 百利大 中期业绩
　　00551 裕元集团 第一季业绩
　　00678 云顶香港 末期业绩
　　00709 佐丹奴国际 末期业绩
　　00735 中国电力新能源 末期业绩
　　00755 上海证大 末期业绩
　　00817 方兴地产 末期业绩
　　00832 建业地产 末期业绩
　　00857 中国石油 末期业绩
　　01044 恒安国际 末期业绩
　　01065 天津创业环保股份 末期业绩
　　01073 浩伦农科 中期业绩
　　01398 工商银行 末期业绩
　　02336 科浪国际 末期业绩
　　02336 科浪国际 中期业绩
　　03813 宝胜国际 第一季业绩
　　03888 金山软件 末期业绩
　　08066 锴联科技 末期业绩
　　08088 高诚资本 末期业绩
　　08096 博软 末期业绩
　　08151 亿胜生物科技 末期业绩
　　08198 新濠环彩 末期业绩
　　08205 交大慧谷 末期业绩
　　08225 万全科技药业 末期业绩
　　08230 东江环保 末期业绩
　　08243 大贺传媒 末期业绩
　　08285 研祥智能 末期业绩

