今日上市公司业绩公布备忘录
　　新浪财经讯 08月26日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　00012 恒基地产 中期业绩
　　00024 宝威控股 中期业绩
　　00065 弘海有限公司 中期业绩
　　00097 恒基发展 中期业绩
　　00103 首长宝佳 中期业绩
　　00116 周生生 中期业绩
　　00132 中国兴业控股 中期业绩
　　00135 昆仑能源 中期业绩
　　00165 中国光大控股 中期业绩
　　00186 嘉域集团 中期业绩
　　00190 香港建设(控股) 中期业绩
　　00228 中能控股 中期业绩
　　00232 中国航空工业国际 中期业绩
　　00260 中油洁能 中期业绩
　　00271 丹枫控股 中期业绩
　　00291 华润创业 中期业绩
　　00297 中化化肥 中期业绩
　　00308 香港中旅 中期业绩
　　00317 广州广船国际股份 中期业绩
　　0036 新焦点 中期业绩
　　00383 中国网络资本 中期业绩
　　00503 朗生医药 中期业绩
　　00521 首长科技 中期业绩
　　00573 稻香控股 中期业绩
　　00583 南华早报集团 中期业绩
　　00589 宝姿 中期业绩
　　00605 港佳控股 中期业绩
　　00608 达利国际 中期业绩
　　00623 中视金桥 中期业绩
　　00639 福山能源 中期业绩
　　00653 卓悦控股 中期业绩
　　00662 亚洲金融 中期业绩
　　00683 嘉里建设 中期业绩
　　00697 首长国际 中期业绩
　　00730 首长四方 中期业绩
　　00762 中国联通 中期业绩
　　00773 中国金属再生资源 中期业绩
　　00828 王朝酒业 中期业绩
　　00833 华讯 中期业绩
　　00839 天大石油管材 中期业绩
　　00857 中国石油股份 中期业绩
　　00894 万裕国际 中期业绩
　　00903 冠捷科技 中期业绩
　　00904 中国绿色食品 末期业绩
　　00930 中国森林 中期业绩
　　00951 超威动力 中期业绩
　　00987 香港新能源控股 中期业绩
　　01003 21控股 中期业绩
　　01005 美力时集团 中期业绩
　　01008 诗天控股 中期业绩
　　01070 TCL多媒体 中期业绩
　　01071 华电国际电力股份 中期业绩
　　01100 飞达控股 中期业绩
　　01114 华晨中国 中期业绩
　　01116 MAYER HOLDINGS 中期业绩
　　01118 高力集团 中期业绩
　　01129 中国水业集团 中期业绩
　　01169 海尔电器 中期业绩
　　01185 中国航天万源 中期业绩
　　01201 侨威集团 中期业绩
　　01398 工商银行 中期业绩
　　01788 国泰君安国际 中期业绩
　　01928 金沙中国有限公司 中期业绩
　　01968 匹克体育 中期业绩
　　02317 味丹国际 中期业绩
　　02388 中银香港 中期业绩
　　02618 TCL通讯 中期业绩
　　02688 新奥燃气 中期业绩
　　02777 富力地产 中期业绩
　　02788 精熙国际 中期业绩
　　02883 中海油田服务 中期业绩
　　03339 中国龙工 中期业绩
　　03344 互益集团 中期业绩
　　03382 天津港发展 中期业绩
　　03828 明辉国际 中期业绩
　　03833 新疆新鑫矿业 中期业绩
　　03988 中国银行 中期业绩
　　08190 康佰控股 末期业绩

