6月23日美股专家坐堂实录
　　6月23日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	请问今天美股纳指大盘走势~有什么预测？(2010-06-23 18:40:49)
　　专家[aries高]答： 	短期?指可能?弱?震?，支?2217附近的年?支?，偏弱?。下方重要支?2141位置。(2010-06-23 21:27:50)
　　匿名问： 	小高老师，请您帮我看看600738,是否可以大幅加仓？支撑位是多少？谢谢！!!!!!!!!!!!!!!!!!!!!!!!!!!!!!(2010-06-23 21:19:46)
　　专家[aries高]答： 	?股目前日?走??不好看，?有必要加?，支?8.3附近前期低?。(2010-06-23 21:30:37)
　　匿名问： 	老师，前段时间38的CTRP，本想长线投资的？ 现在获利了结？(2010-06-23 21:27:36)
　　专家[aries高]答： 	目前?新高略??，我?得可以作?短期?利了?，逢??再介入。(2010-06-23 21:33:41)
　　匿名问： 	Dear Sir,你认为短期大盘会重新上1105吗？ RINO？(2010-06-23 21:31:30)
　　专家[aries高]答： 	我?得可能回到，但是可能?是先向下，然後再上?，今天下午?注美????摘要。RINO?高回落，支??注11.0附近，不?我?得RINO?有反???。(2010-06-23 21:37:21)
　　匿名问： 	Hello Mr. Gao, how about COH? what price can I buy?(2010-06-23 21:32:57)
　　专家[aries高]答： 	COH日?目前呈回落中，?可以?望一下，支?36.7附近。(2010-06-23 21:40:35)
　　匿名问： 	高老师：你好！请帮助看看cim，不知道为什么大跌，是否有什么问题发生了。谢谢！！！是否先割了。谢谢！！(2010-06-23 21:34:20)
　　专家[aries高]答： 	??股我?有?注?，不?你查下，??有利空消息，短期走?不?太??，支?3.55附近。(2010-06-23 21:43:36)
　　匿名问： 	老师，S现价买入做个1个月左右的持有，您看好吗？谢谢您三周的辛苦工作。(2010-06-23 21:35:31)
　　专家[aries高]答： 	??和????不是太大，??是一?月，?是三?月，要和S的?奏合拍才行。(2010-06-23 21:47:02)
　　匿名问： 	老师！美联储的声明北京时间什么时候发布？谢谢(2010-06-23 21:36:57)
　　专家[aries高]答： 	2:15 PM 美??部??。(2010-06-23 21:37:37)
　　匿名问： 	做短线的话，S和MPEL哪个好？(2010-06-23 21:37:28)
　　专家[aries高]答： 	我?得日?看，MPEL的??更好一些，但是?入????很重要。(2010-06-23 21:44:30)
　　匿名问： 	请问aapl和goog，如果长期持有，你推荐哪个？(2010-06-23 21:39:34)
　　专家[aries高]答： 	目前看AAPL比???，不?目前不是好的介入??。(2010-06-23 21:49:32)
　　匿名问： 	请问高老师，USO短期走势如何呢？(2010-06-23 21:42:43)
　　专家[aries高]答： 	日???中，逢低可以?，我的意思是止跌反??。(2010-06-23 21:52:54)
　　匿名问： 	Hi, what do you think about EDU?(2010-06-23 21:44:11)
　　专家[aries高]答： 	EDU????，逢低可以介入，比?看好的是87附近。(2010-06-23 21:57:38)
　　匿名问： 	老师好002386如何操作？(2010-06-23 21:46:03)
　　专家[aries高]答： 	?股底部??整理，不妨?望，料???可能?持?。(2010-06-23 22:06:08)
　　匿名问： 	高老师：med ,现在是否是到执掌点了，压力是多少？ 谢谢· 、(2010-06-23 21:46:21)
　　专家[aries高]答： 	MED支?25.05附近，?力29.45附近。(2010-06-23 22:04:02)
　　匿名问： 	高老师你好，请分析下AGU谢谢。(2010-06-23 21:47:12)
　　专家[aries高]答： 	AGU目呈弱?，?股的基本面不?，逢低可以考?介入中期持有，但是不是短?介入的??。(2010-06-23 22:05:24)
　　匿名问： 	高老师，请您帮我看看600712,是否可以加仓？支撑位是多少？谢谢！(2010-06-23 21:48:08)
　　专家[aries高]答： 	?股??走?不?，短期日?震?上行，支?9.4，不?基於大?目前的情?，我?得?是?有必要加。(2010-06-23 22:10:52)
　　匿名问： 	高老师！原油这样大跌，您看是什么原因？仅仅是技术性回调吗？谢谢！(2010-06-23 21:49:54)
　　专家[aries高]答： 	我?得???是震?走?，最近????不佳，美元反?，油?下跌，都是正常表?。(2010-06-23 22:14:29)
　　匿名问： 	aries, USO跌破锲型反弹下边缘，是走还是留？谢谢(2010-06-23 21:53:23)
　　专家[aries高]答： 	如果有利?可以先出?(2010-06-23 21:57:54)
　　匿名问： 	老师你好！请问faz和fas是否会有取消的一天。谢谢！(2010-06-23 21:54:54)
　　专家[aries高]答： 	可能?到期?算的一天，至於FAS,FAZ??我有??查下，?在不?定。(2010-06-23 22:19:01)
　　匿名问： 	How about f?(2010-06-23 21:56:38)
　　专家[aries高]答： 	F?注??年?10.56附近的支?。(2010-06-23 22:17:57)
　　匿名问：  	XINH被套还能持有吗？(2010-06-23 21:57:51)
　　专家[aries高]答： 	XINH？A?有??代?吧。(2010-06-23 22:23:21)
　　匿名问： 	Sir, please tell me the supports of UAUA and S, thanks。(2010-06-23 22:05:39)
