恒生AH溢指持平 唯铁路股逆市造好
　　新浪财经讯 12月08日消息，今日沪指和恒指走低，沪指早盘窄幅震荡，午后走势反复偏软，最低见2843.94，终报2848.55，下跌27.31或0.95%；恒指反复造低，午后曾失守逾两万三千点，最低见22998.34，终报23092.52，下跌335.63或1.43%。
　　今日AH股中A股和H股均普遍下跌，在63只可比的AH中，A股18只上涨，H股同样18只上涨。11月消费者物价指数(CPI)周末公布前，谨慎心态依然困扰市场，加上中国统计局将提前公布11月经济数据，令市场加息预期升温，A股和H股均受到影响而普遍走低。盘中有色等资源类股跌幅居前，金融股也走势疲软，不过铁路股逆市上扬，因中国政府积极发展高铁消息提振。AH股中出现倒挂的个股有20只，A股较H股折价两成个股至4只。
　　恒生AH股A指数跌跌1.18%，报1941.94；恒生AH股H指数跌1.24%，报2215.40；恒生AH股A+H指数跌1.32%，报2186.11。
　　中国平安(601318-CN)下跌1.94%；中国人寿(601628-CN)下跌2.01%；建设银行(601939-CN)下跌1.24%；中国银行(601988-CN)下跌0.91%；工商银行(601398-CN)下跌1.39%；招商银行(600036-CN)下跌1.56%。
　　中国人寿(2628-HK)下跌1.35%，工商银行(1398-HK)下跌1.68%，建设银行(0939-HK)下跌0.85%，中国石油(0857-HK)挫2.67%，中国石化(0386-HK)下跌0.97%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　农业银行(601288-CN;1288-HK)-----(-25.21%)
　　招商银行(600036-CN;3968-HK)-----(-24.32%)
　　中国平安(601318-CN;2318-HK)-----(-23.03%)
　　建设银行(601939-CN;0939-HK)-----(-20.55%)
　　交通银行(601328-CN;3328-HK)-----(-19.52%)
　　中国人寿(601628-CN;2628-HK)-----(-18.75%)
　　鞍钢股份(000898-CN;0347-HK)-----(-18.44%)
　　中国铁建(601186-CN;1186-HK)-----(-18.00%)
　　工商银行(601398-CN;1398-HK)-----(-15.58%)
　　民生银行(600016-CN;1988-HK)-----(-15.31%)
　　

