长和系昨公布业绩 可留意和黄22983
　　新浪财经讯 08月06日消息，恒指早段回软及暂于21,500点之下水平上落，个别股票方面，长和系昨公布业绩，长实半年多赚4%，而和黄中期业绩则上升12%，两者今均逆市上升，直至11:00左右，长实及和黄分别上升1.2%及5.2%，分别报$97.7及$55.85。
　　相关窝轮选择：
　　和黄认购22983/行使价$54/10年12月到期(贴价、敏感度高)
　　长实认购18775/行使价$97/10年10月到期(贴价、敏感度高)
　　恒指牛熊证选择：
　　恒指牛证63318/收回价21,088点/行使价20,600点/10年12月到期(唯一最贴价选择)
　　恒指牛证63280/收回价20,900点/行使价20,400点/10年11月到期(贴价、敏感度高)
　　恒指牛证63223/收回价20,800点/行使价20,300点/10年12月到期(进取、活跃)
　　恒指牛证63205/收回价20,588点/行使价20,100点/11年1月到期
　　恒指牛证62532/收回价19,000点/行使价18,400点/10年12月到期(价格较低)
　　恒指熊证61680/收回价21,800点/行使价22,300点/10年9月到期(极进取选择)
　　恒指熊证63264/收回价21,900点/行使价22,400点/11年1月到期(敏感度高、活跃)
　　恒指熊证61688/收回价22,000点/行使价22,500点/10年10月到期(贴价选择)
　　恒指熊证63331/收回价22,200点/行使价22,700点/10年12月到期(新上市及较敏感)
　　恒指熊证61689/收回价22,300点/行使价22,800点/10年11月到期(收回价稍远)
　　恒指熊证61086/收回价22,700点/行使价23,200点/10年9月到期(收回价较远)

