27公司跌破定价增发难产 房企279亿融资陷困境
　　本报记者 孙见友
　　年初以来，沪综指从3300点滑落至3000点，在个股市值缩水的同时，部分公司的定向增发计划也陷入了窘境。统计显示，27家公司2月4日的收盘价低于定向增发预案中的增发价格。从近期公告来看，由于发行难度增加，部分公司已经着手修改发行方案。
　　市场走弱加大增发难度
　　09年至今，281家公司相继公布增发预案，12家公司拟公开增发，269家公司拟定向增发。截至2月4日，已有27家拟定向增发公司的收盘价跌破公告增发价(或增发预案价下限)。其中，盐湖钾肥2月4日以53.70元报收，其收盘价已较公告增发价下跌27.27%，是当前跌破增发价幅度最大的公司。
　　同时，富龙热电、新湖中宝、万方地产、*ST金果、苏宁环球和招商地产6家公司的最新收盘价也较其定向增发价(或增发价下限)下跌逾16%。另外，华远地产和金晶科技两家公司跌破增发价的幅度最小，仅较其增发价下跌0.85%和0.94%。
　　269家拟定向增发公司中，除中孚实业定向增发规模难以确定外，其余268家拟再融资规模合计约为5404.38亿元，27家已跌破定向增发价的公司合计再融资规模为1357.87亿元，占再融资总额的比重为25.13%。随着这27家公司的最新收盘价跌至增发价之下，其1357.87亿元再融资实现的难度正逐步加大。
　　虽然目前跌破定向增发价的公司只有27家，不过如果市场心态持续疲弱，其数量有继续扩大的可能，因为京东方A、金种子酒、嘉凯城、中卫国脉和爱建股份等19家公司的最新收盘价相对增发价的溢价均不足10%。
　　地产公司279亿融资陷困境
　　进一步统计发现，27家跌破增发价的公司中，地产公司有12家，占比为44.44%，排名第一，涉及再融资规模为279.91亿元。分析人士指出，之所以会出现以上现象，主要是因为今年以来，受房地产行业调控预期影响，多数地产股超越大盘大幅回调。
　　今年以来上证综指累计下跌8.60%。在大盘调整的拖累下，部分拟定向增发的公司尤其是地产类公司，饱受调整之苦。其中，万方地产、苏宁环球和招商地产3家公司同期分别重挫19.09%、18.38%和11.53%，跌幅均明显超过大盘，最终导致其纷纷跌破增发价，并危及其再融资计划。
　　虽然二级市场股价跌破增发价(或增发价下限)，并不必然导致相关公司定向增发的失败，但如果机构投资者能够在二级市场上买到更便宜的股票，其参与定向增发的动力就会明显减弱，这或许是拟定向增发公司最为担心的问题之一。
　　上市公司纷纷缩减融资规模
　　随着一些公司跌破增发价，部分拟定向增发的公司变得心急如焚，它们纷纷采取措施，以确保未来定向增发的顺利实施。调减定向增发数量或下调定向增发价格，进而缩减定向增发规模，成为其常用的手法。
　　2月4日中恒集团公告将增发数量由3000万股-5000万股下调为1000万股-4000万股，再度引发了投资者对定向增发公司群体的普遍关注。
　　无独有偶，09年12月30日，大唐电信也将定向增发数量由原来的不超过14000万股调整为不超过5290万股，以其定向增发价不低于8.70元/股测算，其定向增发缩减规模约为7.57亿元。1月18日，华业地产也发布公告称，拟将定向增发募集资金总额由不超过20亿元下调为不超过17亿元。另外，1月30日，时代出版宣布将定向增发募资净额由不超过7亿元下调为不超过6.75亿元。
　　分析人士认为，尽管这些公司公布的缩减定向增发规模的原因千差万别，但缓解二级市场投资者的担忧进而为未来定向增发“保驾护航”的意图依然十分明显。
　　股价跌破增发定价的27家上市公司
　　证券代码 证券简称 收盘价(元) 增发定价(元) 预计募资(亿元) 预案公告日 行业
　　000024 招商地产 23.56 28.12 56.24 2009－7－25 房地产
　　000426 富龙热电 11.59 14.50 6.67 2010－1－28 公用事业
　　000506 ST中润 7.2 7.47 9.71 2009－7－23 房地产
　　000531 穗恒运A 15.19 15.53 11.81 2009－9－11 公用事业
　　000631 顺发恒业 9.21 9.76 15.62 2009－10－28 交运设备
　　000638 万方地产 11.4 14.12 21.18 2009－12－16 房地产
　　000679 大连友谊 14.18 15.24 9.14 2009－7－30 商业贸易
　　000718 苏宁环球 11.19 13.40 50.92 2009－7－21 房地产
　　000722 ＊ST金果 7.05 8.58 16.82 2009－12－17 电子元器件
　　000792 盐湖钾肥 53.7 73.83 780.97 2009－7－25 化工
　　000860 顺鑫农业 16.21 16.42 18.06 2010－1－29 农林牧渔
　　002244 滨江集团 12.5 13.78 20.67 2009－8－29 房地产
　　600052 浙江广厦 7.38 7.48 13.46 2009－9－30 房地产
　　600082 海泰发展 7.24 7.42 9.59 2009－7－28 房地产
　　600170 上海建工 13.98 14.52 46.86 2009－10－13 建筑建材
　　600208 新湖中宝 8.52 10.64 25.54 2009－10－27 房地产
　　600223 ST鲁置业 10 10.12 13.16 2009－11－16 医药生物
　　600236 桂冠电力 7.36 8.18 12.19 2009－8－19 公用事业
　　600246 万通地产 9.84 10.52 15.78 2009－12－5 房地产
　　600266 北京城建 15.63 17.27 37.99 2009－11－26 房地产
　　600503 华丽家族 12.21 13.25 13.25 2009－8－12 房地产
　　600586 金晶科技 14.83 14.97 14.97 2009－12－2 建筑建材
　　600643 爱建股份 11.07 12.21 26.91 2009－11－4 金融服务
　　600743 华远地产 9.28 9.36 10.30 2009－10－31 房地产
　　600744 华银电力 5.33 5.44 2.20 2009－8－21 公用事业
　　600748 上实发展 13.24 14.43 43.29 2009－11－3 房地产
　　600795 国电电力 6.81 6.97 54.58 2009－11－13 公用事业

