上证50成份股
　　样本股名称(代码)  进入时间 
　　中国银行(601988)    2006-07-19
　　申能股份(600642)    2004-01-02
　　西部矿业(601168)    2008-01-02   
　　华能国际(600011)    2004-01-02
　　振华港机(600320)    2005-06-13   
　　浦发银行(600000)    2004-01-02
　　中国石化(600028)    2004-01-02   
　　国电电力(600795)    2004-01-02
　　建设银行(601939)    2008-01-02   
　　工商银行(601398)    2006-11-10
　　兴业银行(601166)    2007-02-26   
　　烟台万华(600309)    2005-12-12
　　辽宁成大(600739)    2008-01-02   
　　中国国航(601111)    2007-07-02
　　北辰实业(601588)    2007-07-02   
　　民生银行(600016)    2004-01-02
　　东方集团(600811)    2004-01-02   
　　邯郸钢铁(600001)    2006-07-03
　　中国联通(600050)    2004-01-02   
　　交通银行(601328)    2007-05-29
　　招商银行(600036)    2004-01-02   
　　中国人寿(601628)    2007-01-23
　　招商轮船(601872)    2007-07-02   
　　中国神华(601088)    2007-10-23
　　同方股份(600100)    2004-01-02   
　　贵州茅台(600519)    2005-06-13
　　同仁堂(600085)      2006-07-03   
　　上港集团(600018)    2006-11-10
　　中信证券(600030)    2004-01-02   
　　包钢股份(600010)    2006-07-03
　　方正科技(600601)    2004-01-02   
　　中国石油(601857)    2007-11-19
　　东方明珠(600832)    2004-01-02   
　　宝钢股份(600019)    2004-01-02
　　武钢股份(600005)    2004-06-15   
　　上海汽车(600104)    2004-01-02
　　江西铜业(600362)    2007-01-04   
　　保利地产(600048)    2007-01-04
　　广深铁路(601333)    2007-07-02   
　　中信银行(601998)    2007-05-18
　　天津港(600717)      2004-01-02   
　　长江电力(600900)    2004-01-02
　　上海机场(600009)    2004-01-02   
　　驰宏锌锗(600497)    2008-01-02
　　华夏银行(600015)    2004-01-02   
　　伊利股份(600887)    2004-01-02
　　中国铝业(601600)    2007-04-30   
　　大秦铁路(601006)    2006-08-15
　　亚泰集团(600881)    2008-01-02   
　　雅戈尔(600177)      2005-12-12

