今日上市公司业绩公布备忘录
　　新浪财经讯 11月10日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　代号 股票名称 业绩报告
　　00388 香港交易所 第三季业绩
　　00700 腾讯控股 第三季业绩
　　00814 北京京客隆 第三季业绩
　　00823 领汇房产基金 中期业绩
　　00992 联想集团 中期业绩
　　01001 万顺昌 中期业绩
　　08005 裕兴科技 第三季业绩
　　08009 菱控有限公司 中期业绩
　　08025 亚洲资产 第三季业绩
　　08045 南大苏富特 第三季业绩
　　08047 中国掌付 中期业绩
　　08053 中国电力科技 中期业绩
　　08060 国联通信 中期业绩
　　08063 卓施金网 第三季业绩
　　08076 新利软件 第三季业绩
　　08095 北大青鸟环宇 第三季业绩
　　08109 科瑞控股 第一季业绩
　　08123 首华财经网络 第三季业绩
　　08129 中国生物资源 第三季业绩
　　08130 杏林医疗信息 中期业绩
　　08156 众彩股份 第一季业绩
　　08186 神州东盟资源－新 第三季业绩
　　08197 东北虎药业 第三季业绩
　　08212 问博控股 第一季业绩
　　08217 长安民生物流 第三季业绩
　　08231 复旦张江 第三季业绩
　　08250 中国天然投资 第一季业绩
　　08259 安德利果汁 第三季业绩
　　08286 长城微光 第三季业绩
　　08292 慧聪网 第三季业绩
　　08296 中国生命集团 三季业绩
　　08298 安捷利实业 第三季业绩
　　

