AH溢指升0.38至107点 两地股指均震荡收低
　　新浪财经讯 05月14日消息，恒生AH溢指在港股尾盘走低的影响下倒升0.38至107.91。A+H股中A股走势好于H股，A股大部分收红，而H股受午后市场沽压盘增加拖累而表现不佳，其中中国南车，晨鸣纸业，昆明机床及中国铝业等H股跌幅均逾3%。
　　今日两地股指均震荡收低，港股跌幅较A股为大。内地沪指小幅走低，早盘开盘后维持低位窄幅震荡走势，午后在中小盘股反复活跃的带动下，指数一度翻红，但随后地产及金融股走低拖累指数失守2700点整数关口，全日报收于2696.63，跌13.88或0.51%。周四美股道指跌逾1%，香港恒指今早低开164点，之后中资股有支持，跌幅一度收窄至 0.34%，午后沽压盘增加，恒指进一步震荡走低，终报收于20145.43，跌277.03或1.36%。
　　国务院出台鼓励民间投资“新36条”，刺激以中小盘股为主的民营企业类股走强。中国国务院日前发布文件，鼓励和引导民间资本进入法律法规未明确禁止准入的行业和领域，以及进入医疗等社会事业领域。受此影响，今天A+H 股的医药股表现抢眼。广州药业(600332-CN)升8.37%，新华制药(000756-CN)升4.88%，而相对应的H股也分别升4.26%及4.03%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码------------------AH溢价率
　　中国人寿(601628-CN;2628-HK)-----(-18.60%)
　　招商银行(600036-CN;3968-HK)-----(-14.56%)
　　中国平安(601318-CN;2318-HK)-----(-13.10%)
　　中国神华(601088-CN;1088-HK)-----(-12.66%)
　　工商银行(601398-CN;1398-HK)-----(-10.81%)
　　鞍钢股份(000898-CN;0347-HK)-----(-10.75%)
　　中国铁建(601186-CN;1186-HK)-----(-7.98%)
　　建设银行(601939-CN;0939-HK)-----(-7.69%)
　　交通银行(601328-CN;3328-HK)-----(-4.75%)
　　中国南车(601766-CN;1766-HK)-----(-1.46%)

