主力持续吸筹个股一览
　　“年报脸谱”从年报做到一季报，本期将为其画上句号。但我们坚信，市场的涨跌从来没有终点，但个股的强弱却一定有原因。而对投资者而言，筹码的变动依然在诚实地揭示着市场运作的趋势。
　　4月中下旬的大盘，秋风落叶般地跌去三百余点，覆巢之下无完卵，两市几乎所有个股都出现了不同程度地回落，当中也包括一批获得主力资金“处心积虑”持续吸筹的个股。事实上，此次市场的单边下行的确在不少投资者意料之外，而这些筹码持续集中的个股如青岛金王、德豪润达等，在急速的下跌中却显露出强烈的抗跌意愿。
　　鉴于此，本报特在本期整理出一批去年年末至今年一季度末来，股东户数持续减少的强势股，供读者参考。需引起读者注意的是，从行业来看，电子科技类个股两个季度内获机构资金持续吸筹的迹象尤为明显，业内人士称，尽管不排除短期将继续释放风险，但这一新经济亮点仍将是今年行情的“重头戏”。
　　■新快报记者 陈永洲 陈昊?
　　青岛金王：季报业绩耀眼 逆势收出9连阳
　　作为亚洲蜡烛制品生产龙头，青岛金王今年一季度净利润同比增长幅度达92%，并先行预告了中报的业绩将同比增长100%-130%，主要原因在于国内、出口订单皆出现较大增长。
　　在耀眼业绩的吸引下，一季度末华商、易方达、信达澳银等三家公募基金及一家私募基金集结入驻，合计新买入972万股，占该股实际流通盘的6.2%，股东户数则在去年末环比减少0.1%的基础上再度减少29%，筹码高度集中。
　　事实上，同时也参与油品贸易的青岛金王去年以来的走势始终保持在强势上升通道中，其间传出大股东或将美国油田等资产注入的消息，而机构资金在一季度的抢筹，成本高企在11.83元左右。4月份该股在大盘暴跌之际彪悍收出9连阳，放量站上15元并逼近前期新高，显示出主力在此位置的做多意愿依然坚定。
　　华天酒店：“大鳄”出没 高度控盘
　　从去年底开始，资金对该股的吸筹举动便体现得十分明显。去年末股东户数环比减幅20%；今年一季度末股东户数再度大幅缩减31.73%。尤其值得注意的是，今年3月23日该股有2.15亿股限售股解禁。在此之前，公司流通股本不过3.02亿股，解禁后流通股本一下子增加到5.17亿股，增幅高达71.2%。流通股本的巨量增长，带来的反而是筹码的进一步锁定，配合K线图上该股持续攀升的走势，基本可以确定有资金在一季度对其进行了大幅度的加仓。
　　公司的前十大流通股东名单显示，一季度除去解禁了的大股东成为流通股东之首外，其余新进的流通股东以自然人为主，当中名为“张萍”的自然人账户一季度末持有该股711.57万股，仅次于第一大股东；名为“陈丽亚”的自然人持有581.13万股，为第三大流通股东；“谢丽君”、“李志和”、“雷桂兰”三名自然人持股量也在300万股至500万股之间。而根据公开资料，“张萍”此前曾出现在多个上市公司的流通股东名单中，为资本市场常客；“陈丽亚”去年四季度曾持有莲花味精近千万股，其间莲花味精因为重组曾走出一波极为犀利的拉升行情，8个交易日上涨接近70%。
　　流通股东名单中，“张萍”和“陈丽亚”等人合计持股2567万股，占比已经接近5%。按照一季度该股成交均价9.64元计算，合计投入约为2.47亿元。截至今年一季度末，该股的户均流通股已经从去年底的6520股升至16350股，增长幅度150.77%，集中程度非常之高。
　　方大集团：诺安“独家”持股 4月机构抢筹
　　一季报显示，方大集团十大流通股东中首次出现一家机构———诺安基金买入331万股，居第四大流通股东。去年四季度末，该股股东户数环比锐减38.15%，当期获得机构介入后，股东户数再度减少9.77%，筹码高度集中。
　　在诺安基金“一家独享”之际，方大集团在4月份又获得了机构资金连续抢筹。成交回报显示，4月19日该股获一家机构买入675万元，成本约11.58元；20日该股获一家机构买入1607万元，成本约12.43元；21日该股获三家机构买入6767万元，成本约12.85元。而三日成交回报中皆无机构资金卖出纪录。这意味无论是“坐轿”还是“抬轿”，机构资金或已对该股未来的表现有着某种默契，而当中诱因很可能是公司的非公开发行事宜(公司拟以5.39元发行1亿股用于光电幕墙及节能幕墙、地铁屏蔽门等项目)。
　　在机构火线抢筹后，上周末方大集团出现一波补跌行情，股价缩量回落至11.95元，初步停在20日均线上方，后市机构资金会否出现护盘动作值得期待。
　　德豪润达：LED业务始发力 公私募基金合力做多
　　德豪润达所购入LED业务在今年的一季度业绩增长233%中功不可没，而公司也预告中报业绩将增长近10倍。
　　一季报显示，华夏三家基金全线入驻，合计买入2285万股，占流通盘的7.41%。与此同时，私募基金首联鑫河亦买入500万股。正因如此，德豪润达一季度末股东户数环比减少14.75%，而在去年末该数据已经环比减少13%，显示出机构资金的持续吸筹。
　　二级市场上，该股在4月中旬创下了历史次高点，尽管上周末出现补跌，但长期均线的多头排列依然清晰，强势格局依然保持完好。
　　通程控股：华夏系携手私募入场 晋级“基金重仓股”
　　公司一季度显示业绩同比增长121%，当期股东户数环比减少15.11%，去年末，该参数已环比减少9.21%，筹码进一步集中。
　　从一季报可看出，当期收集筹码的主力来自两家华夏基金及两家私募基金，四家机构合计买入1971万股，占该股实际流通盘的10.3%。而在去年末，该股前十大流通股东中却无一机构。
　　二级市场上，通程控股在4月出现一波快速拉升的行情，股价一度创下去年以来的新高。上周末该股顺势出现补跌走势，但股价依然停在60日均线上方，长期均线构成的上升通道保持完好。以9.93元的现价看，目前该股股价已再度回落至机构的建仓成本区。
　　上风高科：业绩持续复苏 临近华夏系成本线
　　去年末上风高科的前十大流通股东仅招商大盘一家基金，至今年一季度时，华夏复兴、华夏红利、华夏成长三家基金强势入驻，合计买入766万股，同门独大之势一览无遗。相应的，该股股东户数在去年末减少11.02%的基础上，再度减少16.34%，筹码高度集中。
　　二级市场上，该股在4月除快速拉升后创下上市以来的次高点(复权)。上周末该股急速下跌，收于10.74元，临近60日均线，但长期均线皆呈多头排列。值得注意的是，从一季度的走势来看华夏4家基金的建仓成本应在10.23元左右，加之该股前期下跌低点皆在60日均线附近，故后市空间值得期待。
　　部分主力持续吸筹个股
　　代码    　　简称    　　去年末股东       　　一季报股东       　　4月份        
　　户数增幅(%)    　　户数增幅(%)    　　涨幅(%)    
　　002129    中环股份    -14.01    -45.28    3.54 
　　002216    三全食品    -0.95     -43.76    5.16 
　　000973    佛塑股份    -2.23     -40.65    0.16 
　　000598    *ST清洗    -2.34     -40.09    8.27 
　　002249    大洋电机    -13.99    -36.86    2.18 
　　000639    金德发展    -35.45    -36.23    0.56 
　　000811    烟台冰轮    -21.41    -35.90    16.70 
　　000848    承德露露    -35.40    -33.59    15.65 
　　000596    古井贡酒    -23.67    -33.25    8.83 
　　000715    中兴商业    -11.67    -32.33    3.34 
　　000428    华天酒店    -19.95    -31.73    -1.83 
　　002223    鱼跃医疗    -25.75    -30.89    11.31 
　　000553    沙隆达A    -29.80    -29.55    -9.70 
　　002094    青岛金王    -0.08     -28.55    15.44 
　　000888    峨眉山A    -31.54    -28.38    18.44 
　　000608    阳光股份    -7.89     -28.11    -11.40 
　　000963    华东医药    -11.72    -26.38    10.00 
　　002158    汉钟精机    -16.21    -24.87    1.31 
　　002163    中航三鑫    -6.74     -24.82    12.68 
　　002019    鑫富药业    -3.69     -24.16    -24.44 
　　002114    罗平锌电    -28.15    -23.82    9.38 
　　002210    飞马国际    -1.89     -23.62    10.11 
　　000966    长源电力    -3.40     -23.31    -9.14 
　　000602    金马集团    -15.61    -23.15    -7.03 
　　002004    华邦制药    -49.64    -22.67    11.23 
　　000760    *ST博盈    -9.57     -22.30    -18.32 
　　002159    三特索道    -15.47    -22.03    -0.22 
　　002073    软控股份    -45.09    -21.83    -4.73 
　　002151    北斗星通    -0.02     -20.91    -2.91 
　　000090    深天健      -41.83    -20.88    -24.54 
　　002037    久联发展    -11.43    -20.60    -6.32 
　　002051    中工国际    -6.22     -20.44    -0.14 
　　000563    陕国投A    -1.99     -20.17    -18.32 
　　002009    天奇股份    -44.89    -19.27    -7.07 
　　000970    中科三环    -14.58    -19.23    12.19 
　　000576    *ST甘化    -13.54    -19.18    -11.75 
　　002013    中航精机    -27.08    -19.13    -6.42 
　　000151    中成股份    -15.97    -18.52    21.08 
　　000525    红太阳      -29.19    -18.44    -11.93 
　　002029    七匹狼      -7.65     -18.27    14.24 
　　000559    万向钱潮    -6.87     -17.63    0.37 
　　002023    海特高新    -17.56    -17.02    -3.07 
　　000716    *ST南方    -2.80     -16.76    5.58 
　　000923    河北宣工    -0.74     -16.71    -13.10 
　　000967    上风高科    -11.02    -16.34    2.68 
　　000791    西北化工    -3.94     -15.36    -17.25 
　　000729    燕京啤酒    -26.19    -15.30    7.13 
　　000796    宝商集团    -1.58     -15.29    -7.77 
　　000720    *ST能山    -2.97     -15.15    0.38 
　　000419    通程控股    -9.21     -15.11    5.41 
　　002005    德豪润达    -12.76    -14.75    0.84 
　　000100    TCL集团    -2.14     -14.59    -17.16 
　　002099    海翔药业    -8.13     -14.47    20.21 
　　000502    绿景地产    -7.15     -14.41    -20.00 
　　002063    远光软件    -47.08    -13.95    2.00 
　　000655    金岭矿业    -10.84    -13.71    4.40 
　　000776    广发证券    -0.01     -13.71    -15.30 
　　000096    广聚能源    -0.82     -13.66    -0.36 
　　000059    辽通化工    -0.74     -13.39    -12.01 
　　000065    北方国际    -42.01    -13.36    -10.71 
　　002053    云南盐化    -11.56    -13.23    -11.94 
　　002174    梅花伞      -0.38     -13.14    -6.05 
　　000035    *ST科健    -13.75    -12.95    -14.15 
　　000818    *ST锦化    -16.50    -12.93    0.76 
　　002038    双鹭药业    -32.75    -12.69    2.68 
　　000420    吉林化纤    -7.80     -12.68    0.97 
　　000158    常山股份    -38.19    -12.66    -22.33 
　　002176    江特电机    -8.17     -12.42    9.17 
　　002179    中航光电    -20.56    -12.19    -3.54 
　　002071    江苏宏宝    -8.55     -12.09    -13.28 
　　000581    威孚高科    -24.80    -12.02    -14.32 
　　002046    轴研科技    -3.59     -11.91    38.56 
　　陈永洲、陈昊?

