AH溢价指数下跌0.49点 收报103.92 
　　新浪财经讯 8月08日消息，周一A股和港股继续暴跌，沪指大幅收低，盘中出现一波跳水，并一度失守2500点，收市报2,526.82，下跌99.60点或3.79%；恒指再度大幅下挫，午后跌幅有所收窄，收市报20,490.57，大跌455.57点或2.17%。
　　受此影响，恒生AH溢价指数下跌，因A股跌幅较H大影响，全日收报于103.92，下跌0.49点或0.47%，指数显示A股股价整体较H股溢价3.92%。
　　今日A股和H股几乎全线下跌，在67支可比的AH中，A股仅1支上涨，H股全线下跌。在A+H股中，A股方面，有分析师表示，美国信用评级遭下调引发市场避险情绪升温，投资者担忧全球经济衰退，亚太股市均呈现跌势，中国股市同样难逃厄运；短线个股仍面临下行压力。盘面上，外贸、航运、资源股遭遇重挫，广船国际跌逾9%，另外药业股也大幅走低，因发改委年内第二次下调药品价格打击，而黄金股一枝独秀，受避险情绪推动国际金价上扬，紫金矿业逆市上涨4.18%。H股方面，由于午后跌幅有所收窄，致使个股跌幅相对A股小，不过个股仍普遍大幅走低，其中机械、药业、航运、港口及造船股跌幅靠前，金融股跌幅相对较小。
　　AH股中出现倒挂的个股有15只，A股较H股折价幅度最大的是中国平安，溢价率达-27.01%。
　　恒生AH股A指数下跌3.14%，收报1692.81；恒生AH股H指数下跌2.67%，收报1866.74；恒生AH股A+H指数下跌2.98%，报1888.54。
　　中国平安(601318-CN)下跌3.26%；中国人寿(601628-CN)下跌4.95%；建设银行(601939-CN)下跌0.88%；工商银行(601398-CN)下跌1.95%；中国银行(601988-CN)下跌2.01%。
　　中国人寿(2628-HK)下跌4.35%，工商银行(1398-HK)下跌2.38%，建设银行(0939-HK)下跌3.26%，中国石油(0857-HK)下跌3.09%，中国石化(0386-HK)下跌1.97%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　中国平安(601318-CN;2318-HK)-----(-27.01%)
　　农业银行(601288-CN;1288-HK)-----(-19.33%)
　　招商银行(600036-CN;3968-HK)-----(-16.99%)
　　中国太保(601601-CN;2601-HK)-----(-15.96%)
　　中国人寿(601628-CN;2628-HK)-----(-15.46%)
　　海螺水泥(600585-CN;0914-HK)-----(-15.18%)
　　交通银行(601328-CN;3328-HK)-----(-10.55%)
　　工商银行(601398-CN;1398-HK)-----(-8.51%)
　　宁沪高速(600377-CN;0177-HK)-----(-6.24%)
　　鞍钢股份(000898-CN;0347-HK)-----(-5.40%)

