今日上市公司业绩公布备忘录
　　新浪财经讯 04月23日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　00024 宝威控股 末期业绩
　　00047 合兴集团 末期业绩
　　00074 长城科技股份 末期业绩
　　00193 冠中地产 中期业绩
　　00205 财讯传媒 末期业绩
　　00220 统一企业中国 末期业绩
　　00235 中策集团 末期业绩
　　00496 卡森国际 末期业绩
　　00515 达进精电 末期业绩
　　00582 嘉辉化工 末期业绩
　　00600 中国基建投资 末期业绩
　　00686 太益控股 末期业绩
　　00692 正兴 末期业绩
　　00710 精电 末期业绩
　　00875 连发国际 末期业绩
　　00885 福方集团 末期业绩
　　00908 九洲发展 末期业绩
　　00921 海信科龙 第一季业绩
　　00953 美克国际 末期业绩
　　01008 诗天控股 末期业绩
　　01043 光宇国际集团科技 末期业绩
　　01055 中国南方航空股份 第一季业绩
　　01076 第一天然食品 末期业绩
　　01104 亚太资源 末期业绩
　　01116 MAYER HOLDINGS 末期业绩
　　01126 德林国际 末期业绩
　　01149 博智国际药业 末期业绩
　　01155 星辰通信 末期业绩
　　01171 兖州煤业股份 末期业绩
　　01171 兖州煤业股份 第一季业绩
　　01194 中国贵金属 末期业绩

