3月10日香港市场交易提示
　　日期 代号 股票名称 业绩报告
　　2009/03/10 00014 希慎兴业 2008年末期业绩
　　2009/03/10 00044 香港飞机工程 2008年末期业绩
　　2009/03/10 00051 海港企业 2008年末期业绩
　　2009/03/10 00066 港铁公司 2008年末期业绩
　　2009/03/10 00317 广州广船国际股份 2008年末期业绩
　　2009/03/10 00636 富邦银行(香港) 2008年末期业绩
　　2009/03/10 08021 汇隆控股 2008年第三季业绩
　　2009/03/10 08172 GOLIFE CONCEPTS 2008年末期业绩
　　股票上市过户备忘
　　除净日 代号 股票名称 详情 股息应付日期 股息之截止过户日期
　　2009/03/10 00411 南顺(香港) 中期股息港币0.06元 2009/03/18 2009/03/12 - 2009/03/17
　　股份/股证最后买卖日
　　日期 代号 股票名称
　　2009/03/10 02490 长实瑞银九零三购
　　2009/03/10 13275 百丽富通九零三购
　　2009/03/10 13276 A中富通九零三A
　　2009/03/10 13445 交银瑞银九零三购
　　2009/03/10 13522 港交花旗九零三购
　　2009/03/10 13555 中化美林九零三购
　　2009/03/10 13599 铁建富通九零三购
　　2009/03/10 13600 中银瑞银九零三A
　　2009/03/10 13700 海螺汇丰九零三购
　　2009/03/10 13701 碧桂汇丰九零三购
　　2009/03/10 13702 化肥汇丰九零三购
　　2009/03/10 13710 中化比联九零三A
　　2009/03/10 13933 中化比联九零三B
　　2009/03/10 13958 富力美林九零三购
　　2009/03/10 14026 中油法兴九零三A
　　2009/03/10 14110 江铜瑞银九零三A
　　2009/03/10 14173 长实德银九零三购
　　2009/03/10 14177 平安德银九零三购
　　2009/03/10 14193 招行高盛九零三A
　　2009/03/10 14199 长实法兴九零三C
　　2009/03/10 14209 新地法兴九零三C
　　2009/03/10 14255 中铝瑞银九零三购
　　2009/03/10 14332 中移瑞信九零三购
　　2009/03/10 14397 港交荷银九零三A
　　2009/03/10 14520 中银瑞银九零三B
　　2009/03/10 14547 工行花旗九零三购
　　2009/03/10 14549 新发花旗九零三购
　　2009/03/10 14629 A中法兴九零三B
　　2009/03/10 14723 招行瑞银九零三购
　　2009/03/10 14743 江铜瑞银九零三B
　　2009/03/10 14766 中寿德银九零三D
　　2009/03/10 15015 中油荷银九零三B
　　2009/03/10 15230 中油法巴九零三B

