五大权威券商详解四季度投资新策略(附股)
　　国庆长假后的首个交易日，A股市场实现了“开门红”，并由此引发了投资者对行情的新预期。随着第四季度时间结点的到来，面对承上启下的年尾行情，投资者应该如何收获今秋，又该怎样布局来年？
　　银河证券
　　渤海证券
　　四季度有望冲击4000点
　　关注五大板块超额收益机会
　　行情预测：银河证券研究所第四季度A股投资策略报告认为，尽管上半年过度宽松的流动性状况会有所改变，但货币需求仍然较为旺盛，货币供应也会处于较高水平，四季度信贷有望环比上升，市场流动性仍然较为充裕。
　　上市公司业绩方面，银河证券在中期策略报告中将2009年全部上市公司净利润增速预测从7%提升到15%，而根据目前宏观经济和企业盈利的变化，综合自上而下和自下而上的分析，四季度报告则将2009年的利润增速进一步提升到18-20%。
　　对于股指的运行趋势，报告认为，沪指从3478点到2635点的下跌是多重因素共振的结果，与2007年末到2008年的下跌在经济、政策、流动性、业绩、估值等背景方面具有本质的不同。本次下跌仅仅是股市上升过程中的回调，而不是熊市的开始。报告预计第四季度A股市场将震荡上行，上证综指有望突破前期反弹高点，如果经济、流动性和业绩发展的良好趋势得以延续，则股指可能向更高的目标3800—4000点发起冲击。
　　投资策略：报告建议适度积极投资，保持较高仓位，中小盘股票有望超越大盘蓝筹股，看好电子信息、黄金、电力、水泥、工程机械等五大板块的超额收益机会。
　　渤海证券
　　沪指在2800-3800点之间运行
　　流动性让位业绩引发三大主题
　　行情预测：经济复苏的持续性是决定股市的主要因素，而未来的持续性取决于两个方面：一方面，房地产行业对经济增长的贡献能否持续；另一方面，显著的出口复苏能否如期到来。从这个角度看，9-10月份的经济数据异常关键，将是预期验证的关键。
　　四季度前半段，由于市场需要等待数据的验证，震荡调整的概率较大，但下跌空间有限。在四季度的后半段，市场将在全球经济复苏所带动的出口明显好转以及房地产投资增速高增长的支撑下震荡上扬。在未来业绩增长20%左右的预期下，我们以动态市盈率作模型估计，对应核心股权资本成本9.5%左右的市盈率区间应当在23—30倍左右，对应的静态市盈率大致在28—38倍，换算成相应上证指数的点位在2800—3800点之间。
　　投资策略：宏观经济的持续复苏决定了四季度市场将震荡上扬，而股指上涨的动力将由流动性推动逐步回归到业绩增长，所以我们制定操作策略进行行业配置的基础将是业绩增长的预期。我们依循行业景气与经济持续复苏主要推动力的出口复苏与房地产投资两条主线，建议关注三大主题：即将步入景气期且业绩增长稳定的商业、医药等大消费板块；出口复苏受益的航运业与电子元器件；经济复苏受益的地产、银行。
　　广发证券
　　行情核心区域2500-3500点
　　事件性因素催生个股行情
　　行情预测：四季度整体宏观经济面偏于稳定，影响市场最大的不确定因素来自于市场情绪及与市场相关的政策变化。根据我们对于市场整体估值水平的判断，最新沪深300的PE(静态)为22.8倍。保守预测2009年业绩增长10%，则目前动态PE为20.7倍。以半年报业绩计算的动态PE为19.9倍。根据历史估值波动测算，动态PE范围18—25倍。则股指核心的波动区间为2500—3500点。
　　投资策略：根据我们对于四季度的宏观及市场走势预测，仍应保持相对平衡的股票仓位，在股票与现金的配置上，选择以股票为主，参考股票仓位为50-70%。在四季度，我们认为短期事件性的因素影响较大，成为短线行情的主要催化与推动力。可能存在较大机会的事件性题材包括：创业板相关的创投、低炭经济相关的新能源、智能电网、生物技术、信息技术以及重大国际活动相关的世博会、亚运会等等题材。
　　申银万国
　　四季度有望达到3400点
　　寻找业绩复苏中结构性机会
　　行情预测：最新推出的申银万国证券研究所秋季策略报告认为，由于经济的复苏和政策的微调，未来三个月影响A股市场的关键词就转变为：业绩复苏和政策正常化。其中业绩复苏为市场提供估值支撑；而政策的正常化则为市场施加估值上限。其中，宏观政策正常化将实现从保增长到调结构的转变，使得经济快速过热风险减小；信贷政策正常化将使得信贷资金游离于实体经济之外的难度增加；融资政策正常化则给市场带来直接的融资压力。这两大因素导致第四季度上证综指的波动区间为2700点至3400点。
　　投资策略：申万报告表示，在这样的市场环境下，投资者在四季度需要寻找业绩复苏中的结构性机会，包括关注政策正常化的受益方如低碳经济、消费品、“区域经济规划”与“产业振兴规划”的“双振兴”组合、A-H折价板块等。
　　中信证券
　　沪指将在2700-3200点区间运行
　　配置重心转移到中游行业
　　行情预测：中信证券发布最新研究报告，维持其前期对上证综指2700—3200点的区间判断。政策方面，国庆前后政策维稳的基调不会改变，从中共十七届四中全会公告以及中国工业和信息化部最近下发的指导意见来看，大都认可国内经济形势已经出现稳固迹象，但普遍对当前外部经济复苏依然谨慎。
　　投资策略：行业配置上其建议继续关注中游周期成长性行业，如汽车、电子、工程机械、家电、造纸、银行。报告称，当前在经济复苏进入确认期、同时流动性拐点已现的情况下，上游资源和原材料价格难以像上半年一样，形成持续性上涨预期。因此，中信证券坚持“上半年看价、下半年看量”的观点，建议投资者四季度将配置重心转移到机械、汽车、家电、电子等销量敏感型的中游行业。
　　报告建议的股票组合包括：上海汽车、一汽轿车、生益科技、大族激光、三一重工、中联重科、招商银行、工商银行、格力电器、青岛海尔、博汇纸业。
　　板块名称 资金流向 周涨幅 平均市盈率 总流通市值 总成交额 股票数
　　(万元) (%) (倍) (亿元) (万元) (家)
　　有色金属 529071.1 9.27 74.24 87.77 1534554.13 56
　　煤炭石油 138027.2 6.63 31.82 158.67 1010399 41
　　医药 115559.2 4.26 12.56 39.16 1148106.25 128
　　房地产 96614.93 4.91 -35.07 56.44 1135710.75 140
　　电子信息 79808.64 5.23 147.09 25.25 555890.06 79
　　化工化纤 67320.41 5.35 110.8 30.27 616416.25 120
　　商业连锁 58232.32 5.33 80.15 41.63 381336.75 58
　　汽车类 58147.09 5.03 44.53 41.58 649898.38 97
　　计算机 57785.47 5.16 59.11 32.75 352471.63 52
　　运输物流 56089.32 5.21 63.65 98.26 417694.06 41
　　机械 50885.6 4.82 49.76 40.43 533024.56 79
　　农林牧渔 45888.23 4.79 -113.38 28.28 285451.91 63
　　建材 43163.16 4.08 60.77 34.04 364189.06 72
　　其他行业 42674.73 5.27 219.74 22.77 354992.81 45
　　电力设备 42644.17 4.24 61.71 46.36 426598.81 50
　　钢铁 42151.46 4.94 37.83 106.98 451106.22 37
　　仪电仪表 40821.64 4.34 159.39 42.07 417329.78 55
　　酿酒食品 40295.56 4.11 38.47 88.9 443583.41 52
　　交通设施 32187.26 4.3 34.56 58.57 274880.16 41
　　电力 28177.36 4.31 74.21 72.48 328096.41 57
　　纺织服装 24833.16 4.7 -43.59 21.37 289515.34 66
　　电器 23864.14 3.7 54.4 50.77 222865.66 36
　　券商 23350.11 4.96 32.15 238.57 479707.19 13
　　造纸印刷 20681.42 4.89 60.03 20.78 126479.84 30
　　工程建筑 18799.08 4.3 43.64 59.1 600228.56 45
　　通信 17664.85 3.71 37.93 63.86 344802.97 47
　　银行类 12878.05 3.22 13.64 1118.22 1080756 17
　　保险 11925.31 5.23 39.93 1044.94 316039.81 3
　　供水供气 9007.44 4.84 51.46 52.71 158383.48 24
　　教育传媒 7603.31 4.54 73.54 48.99 124880.61 18
　　旅游酒店 7464.35 4.48 27.56 26.56 122366.73 25
　　外贸 5674.94 3.95 42.53 49.65 148499.14 21

