基金增持47只隐藏重仓股(附表)
　　上市公司中报和基金二季报数据显示
　　□本报记者 梁艳红
　　随着上市公司半年报披露完毕，基金二季度末的持股情况也同时清晰地呈现在投资者面前。通过上市公司中报和基金二季报对比，84只基金隐藏重仓股现身，其中包括基金在二季度进行增持的47只股票。
　　20只股票基金持股比例逾20%
　　上市公司半年报显示，基金共计持有A股1018只，其中，有一半(513只)股票没有出现在基金二季报重仓股名单中。分析发现，这一半“非基金重仓股”中，基金二季度末合计持股比例(占流通股本的比例)超过10%的股票有84只，这些股票也成了基金隐藏的重仓股。
　　84只股票中，基金持有股份数量在1000万股以上，且二季度基金新进驻或进行了增仓的股票共有47只。统计显示，47只股票中有5只股票的基金持股比例超过了30%，中鼎股份二季度末基金持股比例高达40.12%。太阳纸业、大亚科技等15只股票的基金持股比例在20%-30%之间。
　　剔除二季度进行送转的股票，二季度末基金持股数量较一季度末大幅增长(增幅超过1倍)的个股有18只。锦龙股份的基金持股比例由一季度末的0.99%上升至二季度末的21.71%；新钢股份的基金持股比例也由一季度末的3.01%上升至二季度末的24.33%。另外，还有中南建设、华丽家族等4只个股为基金二季度新进驻股票。
　　业绩回升是增持主因
　　二季度部分行业景气度回升，一些上市公司业绩转暖，基金对相关行业及业绩趋好的公司进行配置，加重所持筹码也在意料之中。
　　从行业方面来看，二季度复苏迹象明显的房地产行业和黑色金属行业是基金进行配置的重点。47只隐藏重仓股中，房地产行业有6只，基金平均持股数量为5300.45万股，黑色金属行业有5只，基金平均持股数量为8803.92万股。
　　而从公司业绩方面来看，47只股票中，41只中期实现了盈利，其中31家公司二季度净利润实现了环比增长，14家公司环比增幅超过1倍。同时，与08年中期业绩相比，有19家公司实现同比增长，其中，8家公司同比增幅超过50%。
　　ST东航09年中期净利润达11.74亿元，同比增幅高达90100.38%，而其二季度净利润环比增幅也超过27倍，中报显示，基金持股比例为 10.26%。中南建设09年中期净利润为2.95亿元，同比增幅为35.69%，而其二季度净利润环比增幅高达132倍。中报显示，基金持有中南建设 3205.78万股，持股比例为16.58%，且这部分股份均为二季度基金新增持股份。
　　八成股票跑赢大盘
　　随着A股市场限售股不断解禁，A股流通股市值已经超过非流通股市值，全流通时代的到来，使得机构投资者成为证券市场的最重要力量之一。尤其是对于那些已经获得全流通，大股东持股比例相对不高，而机构持股比例较大的股票，其二级市场的走势在很大程度上要受机构投资者的影响。
　　7月以来，上证指数下跌近10%，47只基金隐藏重仓股中，有24只股票出现上涨，11只股票跌幅小于大盘，即有36只股票跑赢大盘，占比近八成。
　　白酒股中的明星股老白干酒，同时也是基金的隐藏重仓股，其7月以来累积涨幅高达68.97%，龙元建设和华峰氨纶的涨幅也分别达到67.86%和 54.84%。医药股中的明星股康恩贝7月至今涨幅也达到36.14%。而大盘自8月5日调整以来，上证指数已跌去逾800点，跌幅达23.15%，在此期间47只股票中亦有海特高新、登海种业、中新药业、七匹狼和中航地产等7只个股上涨。
　　分析发现，基金在二季度对这些市场表现较好的股票均进行了不同幅度的增持。如老白干酒的基金持股比例由一季度末的19.15%提高至二季度末的23.82%；龙元建设的基金持股比例由5.59%提高至 12.72%；登海种业的基金持股比例由3.09%提高至11.84%。
　　基金二季度增持的部分隐藏重仓股
　　证券代码 证券简称 09年中报基金持股数量(万股) 09年中报基金持股比例(%) 每股收益(元) 行业
　　000887 中鼎股份 5037.54 40.12 0.208 交运设备
　　600376 首开股份 7197.05 39.95 0.4 房地产
　　002154 报喜鸟 2235.52 35.83 0.16 纺织服装
　　002081 金螳螂 2162.21 34.94 0.3148 建筑建材
　　600586 金晶科技 10898.35 30.08 0.06 建筑建材
　　600629 棱光实业 2186.29 27.76 0.018 建筑建材
　　002078 太阳纸业 4453.53 27.29 0.3 轻工制造
　　000910 大亚科技 6376.80 26.22 0.154 轻工制造
　　002093 国脉科技 1972.52 26.18 0.2122 信息设备
　　600469 风神股份 3755.60 25.61 0.346 化工
　　600329 中新药业 2231.55 25.18 0.42 医药生物
　　002029 七匹狼 6960.64 24.61 0.334 纺织服装
　　600782 新钢股份 7581.59 24.33 0.03 黑色金属
　　600559 老白干酒 1764.60 23.82 0.12 食品饮料
　　000043 中航地产 2579.62 23.28 0.0518 房地产
　　600282 南钢股份 20606.52 23.21 0.033 黑色金属
　　002106 莱宝高科 5315.35 23.14 0.1937 电子元器件
　　002133 广宇集团 5546.99 22.17 0.18 房地产
　　600391 成发科技 1574.83 21.93 0.34 交运设备
　　600126 杭钢股份 8971.53 21.82 0.03 黑色金属
　　000712 锦龙股份 3521.52 21.71 0.199 公用事业
　　002230 科大讯飞 1783.26 21.61 0.17 信息服务
　　002062 宏润建设 1959.57 21.46 0.41 建筑建材
　　000978 桂林旅游 2002.22 21.42 0.0646 餐饮旅游
　　600308 华泰股份 7919.24 21.38 0.251 轻工制造

