港交所修订沽空证券名单为603只 8月4日生效
　　新浪财经讯  7月29日消息，港交所(00388)旗下联交所表示，将修订认可沽空指定证券的名单。在认可沽空指定证券名单上，加入40只新指定证券，并从该名单上，删除19只指定证券。
　　有关修订将于下周三(8月4日)起生效，经修订后，认可沽空指定证券的总数603只。
　　以下为新增及删除指定证券名单
　　1.  新增40只指定证券
　　证券代号 中文简称
　　1.  120 COSMOPOL I.T'L
　　2.  126 TAK SING ALLI
　　3.  198 星美国际
　　4.  228 中能控股
　　5.  241 中信21世纪
　　6.  245 中国七星购物
　　7.  255 龙记集团
　　8.  315 数码通电讯
　　9.  402 明兴水务
　　10.  422 越南制造加工出口
　　11.  503 朗生医药
　　12.  505 兴业铜业
　　13.  508 其士泛亚
　　14.  653 卓悦控股
　　15.  667 瀚宇博德
　　16.  672 众安房产
　　17.  738 利信达集团
　　18.  746 理文集团
　　19.  877 昂纳光通信集团
　　20.  881 中升控股
　　21.  923 福和集团
　　22.  934 中石化冠德
　　23.  1683 国际煤机
　　24.  1863 思嘉集团
　　25.  1868 真明丽
　　26.  1878 南戈壁
　　27.  1883 中信1616集团
　　28.  1938 珠江钢管
　　29.  1966 中骏置业
　　30.  1998 飞克国际
　　31.  2222 雷士照明
　　32.   2382 舜宇光学科技
　　33.  3828 明辉国际
　　34.  3886 康健国际
　　35.  3938 三林环球
　　36.   8046 恒芯中国
　　37.   8058 罗欣药业
　　38.   8116 中国公共医疗
　　39.   8158 中国生物医学
　　40.   8206 神通电信服务
　　2.  删除19只现行指定证券
　　证券代号   中文简称
　　1.      92   CHAMPION TECH
　　2.      137   金辉集团
　　3.      193  冠中地产
　　4.      206 TSC海洋集团
　　5.      261 中建科技国际
　　6.      271 丹枫控股
　　7.      328 ALCO HOLDINGS
　　8.      332 NGAI LIK IND
　　9.      364 华丰集团
　　10.     521 首长科技
　　11.     573 稻香控股
　　12.     622 威华达控股
　　13.     680 南海控股
　　14.     789 雅天妮
　　15.     832 建业地产
　　16.     908 九洲发展
　　17.     1125 丽丰控股
　　18.     2002 阳光纸业
　　19.     3899 中集安瑞科

