巴西石油将发行800亿美元股票创世界纪录
　　新浪财经讯 北京时间6月10日晚间，巴西国营石油商：巴西石油公司(Petrobras)宣布，已聘用巴西银行为股票发行的管理商，本次股票发行主要针对小型投资者。
　　本次巴西石油最高可能发行价值800亿美元的股票，这一数字远远超过了1987年日本最大电话商：日本电报电话公司(NTT)创下的原世界纪录，当时NTT发行了价值368亿美元的股票。未来几周中资本市场将迎来一只大型IPO：中国农行最高可能发行价值250亿美元的股票。
　　以下是迄今世界排名前12位的股票发行记录：
　　1.2010年 巴西石油 800亿美元(最高值，尚未发行)；
　　2.1987年 NTT 368亿美元；
　　3.2010年 中国农行 250亿美元(最高值，尚未发行)；
　　4.2008年 苏格兰皇家银行 244亿美元；
　　5.2009年 英国劳埃德银行 225亿美元；
　　6.1988年 NTT 224亿美元；
　　7.2009年 英国汇丰银行 194亿美元；
　　8.2007年 比利时富通集团 193亿美元；
　　9.2009年 美国银行 193亿美元；
　　10.2006年 中国工商银行 191亿美元；
　　11.1998年 NTT DoCoMo 181亿美元；
　　12.2008年 美国Visa 179亿美元。

