股海导航 6月4日沪深股市最新交易提示
　　今日停牌公告
　　沪市
　　哈飞股份、云天化、大元股份、*ST九发、ST大唐、亿阳信通、新华医疗、上海普天、沪普天B、新湖创业、新五丰停牌一天。
　　新钢转股停牌起始日2009年6月8日。
　　三佳科技停牌终止日2009年6月3日。
　　深市
　　泛海建设、*ST联油、*ST亚华停牌一小时。
　　赛格三星、万家乐、新大洲A、高鸿股份、ST海纳、怡亚通停牌一天。
　　特力A、特力B、赛迪传媒特停。
　　渝开发、仁和药业、ST东源、同洲电子取消特停。
　　上海证券交易所上市公司
　　发行与上市
　　600022 济南钢铁 公司本次有限售条件的流通股上市数量为1,429,961,006股；上市流通日6月10日。
　　600029 南方航空 5月31日，中国证券监督管理委员会核准公司向南龙控股有限公司定向增发不超过7.2115亿股境外上市外资股，每股面值人民币1元，全部为普通股。
　　600368 五洲交通 截至6月2日，公司发行的可转换公司债券“五洲转债”已累计有214,007,000元转成公司发行的股票“五洲交通”，转股股数累计为45,244,380股，转股数额累计达到可转换公司债券开始转股前公司已发行股份总数的10%以上。
　　600523 贵航股份 董监事会通过关于公司向特定对象发行股份购买资产的议案；同意公司全资子公司贵州华阳电工有限公司拟投资1500万元现金收购天津市飞航数控机械有限公司30%的股权；同时由飞航数控法定代表人刘勇将其余70%的股权部分转让给其他的两名合作者。
　　600549 厦门钨业 近日，公司在全国银行间债券市场公开发行2009年度第一期短期融资券，发行金额3亿元人民币，期限为365天，每张面值为100元，发行利率根据簿记建档、集中配售方式确定为2.65%，债权债务起息日为6月3日，兑付方式为到期一次性还本付息。
　　600667 太极实业 6月3日，中国证监会股票发行审核委员会审核了公司非公开发行A股股票事宜。根据审核结果，公司本次非公开发行股票申请获得有条件通过。
　　600695、900919 大江股份、大江B股 公司本次有限售条件的流通股上市数量为278,950,848股；上市流通日为6月9日。
　　600814 杭州解百 公司本次有限售条件的流通股上市数量为83,206,353股；上市流通日为6月12日。
　　600828 成商集团 公司本次有限售条件的流通股上市数量为120,367,955股；上市流通日为6月9日。
　　重要事项
　　600100 同方股份 董事会通过关于对北京同方清芝商用机器有限公司实施股权及债务重组的议案；同意公司为下属子公司沈阳同方多媒体科技有限公司向中信银行申请的3000万元综合授信额度提供续保。
