3月17日香港市场交易提示
　　公司业绩公布
　　日期 代号 股票名称 业绩报告
　　2009/03/17 00003 香港中华煤气 2008年末期业绩
　　2009/03/17 00006 香港电灯 2008年末期业绩
　　2009/03/17 00017 新世界发展 2008年中期业绩
　　2009/03/17 00049 会德丰地产 2008年末期业绩
　　2009/03/17 00069 香格里拉(亚洲) 2008年末期业绩
　　2009/03/17 00459 美联工商铺 2008年末期业绩
　　2009/03/17 00576 浙江沪杭甬 2008年末期业绩
　　2009/03/17 00659 新创建集团 2008年中期业绩
　　2009/03/17 00812 敦沛金融 2008年中期业绩
　　2009/03/17 00888 路讯通 2008年末期业绩
　　2009/03/17 00917 新世界中国 2008年中期业绩
　　2009/03/17 01138 中海发展股份 2008年末期业绩
　　2009/03/17 02387 利和经销 2008年末期业绩
　　2009/03/17 02777 富力地产 2008年末期业绩
　　2009/03/17 03928 郑州燃气 2008年末期业绩
　　2009/03/17 08155 南华置地 2008年末期业绩
　　2009/03/17 08192 环球集团 2008年末期业绩
　　新股/新证上市
　　日期 代号 股票名称 每手股数 发行价 行使价
　　2009/03/17 16480 恒指法兴九零九A 10000 0.25 10000
　　2009/03/17 16481 恒指法兴九零九B 10000 0.25 10800
　　2009/03/17 16482 长实法兴九零九购 10000 0.84 58.55
　　2009/03/17 16483 中铁法兴九一零购 1000 0.61 4.92
　　2009/03/17 16484 恒指法兴九零九C 10000 0.25 10600
　　2009/03/17 16485 恒指法兴九零九D 10000 0.25 11400
　　2009/03/17 16486 恒指法兴九零九E 10000 0.25 13000
　　2009/03/17 16487 中化比联九零九购 2000 0.57 3.99
　　2009/03/17 62490 杜工荷银九九牛C 10000 0.662 5000
　　2009/03/17 62491 杜工荷银九九牛D 10000 0.511 5400
　　2009/03/17 62492 恒指麦银九九牛E 10000 0.251 9200
　　2009/03/17 62493 恒指麦银九乙牛B 10000 0.25 10600
　　2009/03/17 62494 恒指法兴九八牛V 10000 0.25 9200
　　2009/03/17 62495 恒指法兴九九牛K 10000 0.25 9000
　　2009/03/17 62496 恒指麦银九九熊F 10000 0.251 13400
　　2009/03/17 62497 恒指法兴九九牛L 10000 0.25 9400
　　2009/03/17 62498 恒指法兴九八熊T 10000 0.25 12700
　　2009/03/17 62499 恒指法兴九八熊R 10000 0.25 13100
　　2009/03/17 62500 恒指法兴九九熊M 10000 0.25 12900
　　2009/03/17 62501 恒指法兴九九熊N 10000 0.25 13300
　　2009/03/17 62502 中移德银九十牛A 50000 0.3 35.68
　　2009/03/17 62503 恒指德银九九牛J 10000 0.3 10200
　　2009/03/17 62504 恒指德银九十牛X 10000 0.25 10600
　　2009/03/17 62505 港交德银九八牛A 10000 0.33 23.18
　　2009/03/17 62506 A中德银九九牛A 1000 0.43 5.38
　　2009/03/17 62507 恒指德银九九熊O 10000 0.28 12800
　　2009/03/17 62508 恒指德银九九熊Y 10000 0.33 13200
　　2009/03/17 62509 恒指德银九十熊Y 10000 0.4 14400
　　2009/03/17 62510 恒指瑞银九甲牛N 10000 0.25 10400
　　2009/03/17 62511 恒指瑞银九甲牛Z 10000 0.25 10700
　　2009/03/17 62512 恒指德银九十牛W 10000 0.25 10800
　　2009/03/17 62516 恒指德银九十熊V 10000 0.25 12400
　　股票上市过户备忘
　　除净日 代号 股票名称 详情 股息应付日期 股息之截止过户日期
　　2009/03/17 00666 禹铭投资 1供1，认购价港币0.1元；获供股每5股送红股1；获供股每5股派发[2011]年认股证1份 2009/04/23 2009/03/19 - 2009/03/24
　　股份/股证最后买卖日
　　日期 代号 股票名称
　　2009/03/17 01289 中化瑞银九零三A
　　2009/03/17 01291 中化瑞银九零三B
　　2009/03/17 01331 工行汇理九零三B
　　2009/03/17 01980 工行德银九零三B
　　2009/03/17 02496 新地美林九零三购
　　2009/03/17 03234 中化法巴九零三购
　　2009/03/17 04791 中油美林九零三购
　　2009/03/17 05501 港交瑞银九零三购
　　2009/03/17 07072 中移美林九零三A
　　2009/03/17 09407 中化德银九零三沽
　　2009/03/17 09411 中化瑞银九零三C
　　2009/03/17 09412 中化瑞银九零三D
　　2009/03/17 09549 工行瑞银九零三购
　　2009/03/17 13543 中化德银九零三A
　　2009/03/17 13644 和黄美林九零三购
　　2009/03/17 13858 中化高盛九零三购
　　2009/03/17 13977 A中瑞银九零三B
　　2009/03/17 13992 中煤美林九零三购
　　2009/03/17 13993 兖煤美林九零三购
　　2009/03/17 13994 港交德银九零三购
　　2009/03/17 14089 国航汇丰九零三购
　　2009/03/17 14090 鞍钢汇丰九零三购
　　2009/03/17 14092 江铜汇丰九零三购
　　2009/03/17 14117 杜工德银九零三购
　　2009/03/17 14121 杜工德银九零三沽
　　2009/03/17 14147 A中德银九零三A
　　2009/03/17 14182 建行德银九零三A
　　2009/03/17 14186 工行德银九零三C
　　2009/03/17 14206 中油法兴九零三B
　　2009/03/17 14230 港交德银九零三B
　　2009/03/17 14276 中行瑞银九零三购
　　2009/03/17 14283 中油荷银九零三A
　　2009/03/17 14309 港交荷银九零三沽
　　2009/03/17 14321 中化德银九零三B
　　2009/03/17 14423 中行美林九零三购
　　2009/03/17 14485 和黄荷银九零三购
　　2009/03/17 14494 中移法巴九零三购
　　2009/03/17 14522 中煤瑞银九零三购
　　2009/03/17 14543 远洋花旗九零三购
　　2009/03/17 14545 中海花旗九零三购
　　2009/03/17 14658 神华瑞银九零三沽
　　2009/03/17 14680 中化荷银九零三购
　　2009/03/17 14803 建行花旗九零三购
　　2009/03/17 14956 中油德银九零三B
　　2009/03/17 15009 中移法巴九零三沽
　　2009/03/17 15010 A中法巴九零三D
　　2009/03/17 15148 中化花旗九零三购
　　2009/03/17 15178 中移荷银九零三E
　　2009/03/17 60726 中寿比联九三牛D

