A股价格较H股折价的11只个股
　　名称 A股代码 最新价格(元) H股代码 最新价格(港元) A股/H股(计算汇率后)
　　中国平安 601318.SH 52.22 2318.HK 69.65 0.85
　　中国人寿 601628.SH 29.13 2628.HK 37.9 0.87
　　招商银行 600036.SH 16.14 3968.HK 20.7 0.89
　　鞍钢股份 000898.SZ 11.48 0347.HK 14.42 0.90
　　海螺水泥 600585.SH 42.88 0914.HK 53.35 0.91
　　工商银行 601398.SH 4.95 1398.HK 6.2 0.91
　　中国太保 601601.SH 28.12 2601.HK 35.15 0.91
　　中国神华 601088.SH 29.58 1088.HK 36.35 0.92
　　建设银行 601939.SH 5.63 0939.HK 6.84 0.94
　　交通银行 601328.SH 8.29 3328.HK 9.67 0.97
　　中国铁建 601186.SH 8.44 1186.HK 9.69 0.99
　　资料来源：本报整理

