12月8日香港市场交易提示
　　2008年12月8日 星期一
　　新股上市
　　发行价($) 行使价 ($)
　　15827 中交标准九十一购 0.25 9.88
　　15828 中化标准零零九购 0.25 5.50
　　15829 中铁标准零零九购 0.25 5.60
　　15831 恒指巴银九零六购 0.26 14,800.00
　　60781 恒指法兴九六牛I 0.25 12,900.00
　　60782 建行法兴九七牛C 0.25 3.20
　　60783 中寿法兴九五牛I 0.41 16.40
　　60784 中移法兴九七牛I 0.25 59.00
　　60785 神华法兴九六牛A 0.51 10.00
　　60786 汇丰法兴九七牛L 0.25 70.00
　　60787 工行法兴九六牛A 0.25 3.10
　　60788 恒指法兴九五熊R 0.28 15,800.00
　　60789 神华法兴九六熊B 0.61 20.00
　　60790 工行法兴九六熊B 0.25 4.50
　　60791 恒指汇丰九四牛B 0.25 12,500.00
　　60792 恒指德银九九牛K 0.25 9,700.00
　　60793 恒指德银九八牛J 0.27 13,000.00
　　60794 恒指德银九八牛K 0.25 13,200.00
　　60795 恒指法巴九十牛D 0.25 12,800.00
　　60796 恒指德银九九熊L 0.25 18,700.00
　　60797 恒指法巴九甲熊J 0.25 16,000.00
　　60798 中化德银九八牛A 0.25 3.18
　　60799 恒指法巴九十熊E 0.25 15,000.00
　　60800 海油德银九六牛A 0.26 4.18
　　60801 港交德银九七牛A 0.26 48.18
　　60802 工行德银九七牛A 0.25 2.18
　　60803 中化德银九八熊B 0.28 7.18
　　60804 海油德银九六熊B 0.29 9.18
　　60805 港交德银九七熊B 0.25 82.18
　　60806 工行德银九七熊B 0.26 6.18
　　60807 恒指比联九五牛Z 0.30 12,800.00
　　60808 恒指比联九五牛A 0.25 13,200.00

