讨18口彩 81份年报集中亮相 
　　3月18日，81家上市公司集中披露年报，创下了近期年报披露的高峰。翻阅2010年的年报披露预约情况表不难发现，如今天这样在传统意义上带有“口彩”的日子更易出现扎堆披露的情况，而且中小板或创业板公司，成为其中的生力军。
　　对比发现，700余家中小板及创业板公司，多数集中在3月初至4月中下旬披露2010年年报，除每个月月末为惯例的集中披露日期外，其余日期中，则是带“口彩”性质的日期披露显得密集。或许是因为此类公司多为家族企业，做生意“讨口彩”的传统较为浓厚，在年报披露日期的选择上也更带有了一定倾向，从而使得此类日期披露定期报告的公司呈多发状态。在今日披露年报的这81家公司中，中小板和创业板公司就占到32家，成为中坚力量。
　　而除了今日的“18”，同类带有“6、8”的日期也成为了“佳选”。例如在整个4月中，年报披露以4月26日年报披露最为集中，当天共有74家上市公司预约披露年报，中小板或创业板公司占到24家。不仅是此轮定期报告披露，如2010年半年报披露时，两市均各有103家公司选择在8月18日、28日披露半年报，远超8月份其余日期(8月8日为周日)，甚至超过了8月30日、31日等传统集中披露的日期。
　　“黄道吉日”披露数量大增的现象日益显现。与讲究“好日期”相呼应的是，有些日期则甚少被上市公司选择。例如2010年年报预约中，选择在4月12日、15日、16日等日期披露的上市公司均不算少，都在40至50家，但唯独4月13日、14日两日减少，尤其是4月14日，仅有2家上市公司选在此日披露年报。同样的情况在2009年年报披露时也出现，2010年在4月14日披露年报的公司为5家，大大少于前后日期，“躲避”这一日期的情况十分明显。
　　不过，除了可能有些择日的“偏好”外，随着上市公司逐步增多而披露日期相对固定，加之年报披露本身就是“先疏而后密”的惯常做派，上市公司结合年报审计情况，对日期进行选择的余地其实十分有限，在一定程度上，披露日期相对集中也有其必然性，也不完全是公司“自由意志”的结果。而这种在日期选择上的小小“癖好”是否会得以保留，还得看将来的情形再说。
　　快报记者 赵一蕙
　　最新年报数据
　　名称 每股收益 分配方案
　　中兴通讯 1.17 10转2派3
　　江南红箭 0.06 不分配
　　东方宾馆 0.025 不分配
　　皖能电力 0.28 10派0.2
　　江铃汽车 1.98 10派7.9
　　江 铃B 1.98 10派7.9
　　沙隆达A 0.04 不分配
　　沙隆达B 0.04 不分配
　　石油济柴 0.06 10派0.28
　　*ST远东 0.003 不分配
　　燕京啤酒 0.636 10派2
　　通化金马 0.03 不分配
　　平庄能源 0.64 10派1
　　西北化工 0.04 不分配
　　*ST关铝 -0.34 不分配
　　国风塑业 0.101 10派0.5
　　天山股份 1.39 10派4
　　巨轮股份 0.4 10转5派0.6
　　众和股份 0.327 10转3
　　中材科技 1.18 10转10派3
　　兴化股份 0.27 10派0.9
　　罗平锌电 -0.09 不分配
　　天马股份 0.55 10派1
　　荣盛发展 0.71 10送2转1派1
　　北斗星通 0.45 10转5派3
　　智光电气 0.245 10转5派0.4
　　方正电机 0.29 10转5派1.5
　　升达林业 0.12 10派0.5
　　新华都  0.48 10派1
　　华昌化工 0.04 不分配
　　新世纪  0.38 10派2
　　保龄宝  0.41 不分配
　　华英农业 0.38 10派2
　　汉王科技 0.88 10转10
　　长青股份 0.74 10转3派3
　　益生股份 0.51 10转3派3
　　立讯精密 0.82 10转5派3
　　雏鹰农牧 1.13 10转10派4.5
　　江海股份 0.66 10派3.75
　　嘉麟杰  0.36 10派1.5
　　利源铝业 1.3 10转10派3
　　林州重机 0.67 10送5转5派1.25
　　乐普医疗 0.506 10派2.5
　　探路者  0.4 10转10派1
　　新宙邦  0.88 10派3
　　佐力药业 0.69 不分配
　　中纺投资 0.049 不分配
　　莱钢股份 0.134 10派0.6
　　*ST岷电 0.28 不分配
　　东湖高新 0.036 不分配
　　中国玻纤 0.482 不分配
　　伊力特  0.304 10派2
　　大唐电信 0.15 不分配
　　鲁商置业 0.441 不分配
　　ST华龙 0.12 不分配
　　西藏天路 0.14 不分配
　　金地集团 0.6 10派0.6
　　安泰集团 0.04 不分配
　　江淮汽车 0.9 10派2
　　华鲁恒升 0.513 10送5派1
　　时代新材 0.9 10送4转8派1
　　晋西车轴 0.14 不分配
　　中天科技 1.362 10派1
　　中铁二局 0.67 10派1.1
　　金自天正 0.5 10送5派1
　　康恩贝  0.56 10送2转8派1
　　京能热电 0.47 不分配
　　天地科技 0.84 10派1
　　长电科技 0.27 10派0.6
　　三爱富  0.122 不分配
　　万业企业 0.302 不分配
　　交运股份 0.24 10派1.2
　　苏州高新 0.355 10送1转1派0.12
　　天业股份 0.62 10转10
　　中路股份 0.08 不分配
　　中路B股 0.08 不分配
　　耀皮玻璃 0.266 10派0.38
　　耀皮B股 0.266 10派0.38
　　*ST北人 0.05 不分配
　　文山电力 0.26 10派0.6
　　中国石油 0.76 10派1.84名称 每股收益 分配方案

