10月23日香港市场交易提示
　　2008年10月23日 星期四
　　新股上市
　　发行价 ($) 行使价 ($)
　　02965 REGAL INT'L N/A N/A
　　02966 世纪城市国际 N/A N/A
　　02967 百利保控股 N/A N/A
　　15424 海油法兴九零七沽 0.25 8.08
　　15425 中油法兴九一零沽 0.25 7.45
　　15426 中油瑞信九十二购 0.15 7.00
　　15427 中油瑞信零零九购 0.25 5.55
　　15428 工行瑞信零一零购 0.25 3.28
　　15429 中行瑞信九一零购 0.43 2.98
　　15430 建行瑞信九零九B 0.64 4.28
　　15431 中寿瑞信九零七购 0.46 23.53
　　15432 中寿瑞信九一零B 0.43 26.88
　　15433 中移瑞信零零四B 0.25 70.88
　　32195 恒指法兴九四熊M 0.25 17,300.00
　　32196 中企瑞银九四牛L 0.25 6,800.00
　　32197 中企瑞银九四牛N 0.25 7,000.00
　　32198 恒指瑞银九四牛S 0.25 14,700.00
　　32199 恒指瑞银九四牛T 0.25 15,000.00
　　32200 恒指瑞银九六熊L 0.25 16,200.00
　　32201 恒指瑞银九六熊M 0.25 16,500.00
　　32202 中企瑞银九四熊O 0.25 8,300.00
　　32203 中企瑞银九四熊P 0.25 8,400.00
　　32204 恒指德银九六牛O 0.25 12,300.00
　　32205 恒指德银九六牛P 0.26 12,400.00
　　32206 中移瑞银九四熊F 0.26 80.88
　　32207 中移瑞银九四熊G 0.26 84.88
　　32208 恒指德银九六熊Q 0.28 16,800.00
　　32209 恒指德银九六熊R 0.25 17,500.00
　　32210 恒指法兴九五牛W 0.42 11,500.00
　　32211 恒指法兴九五牛Y 0.36 13,600.00
　　32212 恒指法兴九五牛X 0.25 12,000.00
　　32213 恒指法兴九四熊N 0.25 16,800.00

