窝轮精选(2.26)
　　编号 相关资产 行使价 到期日 实际 杠杆(x)
　　15619 恒指 (购) 12,600 27/05/2009 5.0
　　16181 恒指 (沽) 12,800 30/07/2009 3.4
　　15839 国寿 (购) 29.28 24/08/2009 4.5
　　15377 国寿 (购) 23.53 01/06/2009 5.4
　　16172 A50 (购) 9.88 28/08/2009 3.4
　　16185 中石油 (购) 6 30/11/2009 2.8
　　16184 中石化 (购) 4.48 19/10/2009 3.0
　　15678 中海油 (购) 6.3 21/12/2009 2.5
　　15696 建行 (购) 4.88 27/07/2009 5.7
　　15376 建行 (购) 4.48 04/08/2009 4.3
　　15702 工行 (购) 4.08 06/07/2009 5.3
　　16289 中行 (购) 2.57 20/08/2009 4.5
　　编号 相关资产 行使价 到期日 实际 杠杆(x)
　　16367 中行 (购) 2.68 16/09/2009 4.4
　　16219 汇丰 (购) 60 09/10/2009 3.6
　　16237 汇丰 (购) 55.88 03/08/2009 3.8
　　15566 汇丰 (购) 68.88 28/12/2009 3.7
　　16234 招行 (购) 12.28 18/08/2009 3.0
　　15818 中移 (购) 78.01 16/10/2009 3.8
　　16211 中移 (购) 68.88 23/10/2009 3.1
　　15759 中移 (沽) 78.9 07/09/2009 2.1
　　15963 国信 (购) 3.43 14/09/2009 3.6
　　15836 新地 (购) 68.88 27/10/2009 3.0
　　15849 港铁 (购) 19.92 09/11/2009 3.5
　　16127 和黄 (购) 48.88 31/08/2009 4.1

