窝轮精选
　　法兴
　　编号 相关资产 行使价 到期日 实际 杠杆(x)
　　15620 恒指 (购) 13,400 27/05/2009 4.4
　　16155 恒指 (沽) 14,000 30/07/2009 2.8
　　15840 国寿 (购) 33.38 01/12/2009 3.6
　　15697 国寿 (购) 26.98 27/07/2009 4.4
　　16142 A50 (购) 10.65 16/11/2009 2.8
　　15681 A50 (购) 9.38 06/10/2009 2.8
　　15796 中石油 (购) 6 28/09/2009 2.9
　　16184 中石化 (购) 4.48 19/10/2009 2.8
　　15678 中海油 (购) 6.3 21/12/2009 2.1
　　15696 建行 (购) 4.88 27/07/2009 4.1
　　15702 工行 (购) 4.08 06/07/2009 3.7
　　编号 相关资产 行使价 到期日 实际 杠杆(x)
　　16163 中行 (购) 2.18 03/08/2009 3.4
　　16260 中行 (购) 2.24 02/10/2009 3.1
　　16219 汇丰 (购) 60 09/10/2009 3.1
　　15566 汇丰 (购) 68.88 28/12/2009 3.3
　　15818 中移 (购) 78.01 16/10/2009 3.1
　　15758 中移 (沽) 85.2 15/06/2009 2.7
　　15677 国信 (购) 3.2 27/07/2009 3.6
　　15825 和黄 (购) 48.88 05/10/2009 3.5
　　15795 铁建 (购) 12.39 19/10/2009 2.7
　　15836 新地 (购) 68.88 27/10/2009 2.8

