9月23日美股专家坐堂实录
　　新浪财经讯 9月23日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录:
    匿名问： 老师好，帮忙分析一下ung和pmi怎样操作，谢谢。(2010-09-23 15:33:13)　　专家[aries高]答：  新浪网友大家好，UNG近期持续弱势，不过基本已经止跌，个人倾向于可能会出现震荡反弹，但是高度有限。3.4位置是PMI的短期支撑，如果出现反弹那，那么震荡走高的势头将持续(2010-09-23 20:07:00)
　　匿名问：  高老师，您好！很感激您的指点！000012走的很强，好象在二十天线要得到支撑，中线是否有填权的可能？短期支撑和压力是多少？如果现在介入，中线持有，可以吗？万分感激！！！(2010-09-23 16:26:28)　　专家[aries高]答：本轮最高位置17.68距离填权并不远，目前股价跟随大盘回落，15.65是短期支撑，预期强势还将持续。(2010-09-23 20:14:20)
　　匿名问：  高老师您好！非常感激您对600396的指点！请教老师：能补仓吗？短期支撑是多少？万分感激！！！谢谢！谢谢！谢谢！！！(2010-09-23 20:02:23)　　专家[aries高]答：  该股日线是破位下跌走势，暂时还是观望为好，8.5附近有一定支撑。(2010-09-23 20:15:59)
　　匿名问：  Hi Aries: Do you think CDCS is ready to go up? Thanks(2010-09-23 20:07:06)　　专家[aries高]答：  CDCS短期突破了趋势线压力，不过总体的弱势没有变，不看好反弹空间。(2010-09-23 20:15:05)
　　匿名问：  高老师，您好！中签了几手农行股(成本2.68)，一直未抛，后市如何操作？请指教。万分感激！！!(2010-09-23 20:18:43)　　专家[aries高]答：  长期不好说，但是中短期内可能会在2.68附近震荡，波动幅度不会太大。(2010-09-23 20:22:28)
　　匿名问：  老师，SINA 如何操作？ 回调到46 介入可以么？ (2010-09-23 20:21:18)　　专家[aries高]答：  SINA日线短期是见顶的标志，支撑45.92(2010-09-23 20:27:01)
　　匿名问：  LVS 很强啊，追高可以吗？(2010-09-23 20:22:08)　　专家[aries高]答：  LVS一直有网友比较关注，个人觉得就是要和他比耐性，坚决不追高，但是回调就可以买入。(2010-09-23 20:25:35)
　　匿名问：  高老师：你好，我MS成本是28元，几次都是差一点，我昨天补了一些，25元。不知该如何操作？谢谢谢谢谢谢谢谢！(2010-09-23 20:26:53)　　专家[aries高]答：  MS日线昨天出现放量下跌，预期短期弱势还将持续，支撑24.24(2010-09-23 20:37:55)
　　匿名问：  老师以HPQ现在的价位是否可以买进？？(2010-09-23 20:28:43)　　专家[aries高]答：  HPQ在连续回落后目前有所企稳，短期可以在38-40间低吸高抛。(2010-09-23 20:39:18)
　　匿名问：  高sir，apple能买吗(2010-09-23 20:29:03)　　专家[aries高]答：  AAPL目前是历史新高，没有必要追了，可以在回调时逐步介入。(2010-09-23 20:41:11)
　　匿名问：  uso 33.4 怎样操作？非常感谢(2010-09-23 20:35:47)　　专家[aries高]答：  USO日线目前震荡回落，个人关注任何止跌反弹机会，短期支撑在31.5(2010-09-23 20:55:02)
　　匿名问：  你好，BAC，怎么办？(2010-09-23 20:50:10)　　专家[aries高]答：  最近金融板块走势相对比较弱，短期弱势可能还会持续，但是下跌空间并不大。(2010-09-23 20:56:25)
　　匿名问：  请问，X为什么持续下跌。我46.5进得，是否该割？谢谢您(2010-09-23 20:59:47)　　专家[aries高]答：  X目前回调至趋势线支撑位置，虽然下行趋势暂时没有变，不过有反弹机会。(2010-09-23 21:16:21)
　　匿名问：  Aries, LCC 9.75，怎样操作，短期支撑和压力是多少？谢谢(2010-09-23 21:08:35)　　专家[aries高]答：  LCC日线遭遇趋势线压力回落，支撑8.51，压力9.6附近(2010-09-23 21:24:32)
　　匿名问：  老师，UTSI您看怎么样，谢谢(2010-09-23 21:15:30)　　专家[aries高]答：  UTSI放量突破后再次回落，短期可能会有些机会，但是上行空间会有限。(2010-09-23 21:59:14)
　　匿名问：  sir how do you think amd thanks(2010-09-23 21:41:58)　　专家[aries高]答：  AMD日线总体弱势没有变，短期略有企稳，但是上行空间不看好。(2010-09-23 22:01:33)
　　匿名问：  高老师，BIDU可以介入吗？是否还是上涨空间？谢谢了！(2010-09-23 21:45:15)　　专家[aries高]答：  BIDU和AAPL走势类似，都是历史新高，强势会持续，但是没有必要追高，关注回调机会。(2010-09-23 22:00:02)
　　匿名问：  老师，SOHU最近的压力和阻力在哪里？能上65吗？谢谢！(2010-09-23 21:49:52)　　专家[aries高]答：  SOHU日线上行趋势没有变，压力70附近(2010-09-23 22:04:50)
　　匿名问：  你好，汉庭股票(HTHT)未来走势如何？是否能继续持有？请指教(2010-09-23 21:56:40)　　专家[aries高]答：  22.0位置是HTHT的短期支撑，不过这类新股还是要谨防回调风险的。今天就到这里了，大家明天见，have a good trading day!(2010-09-23 22:06:52)

