1月18日香港股市盘前重要消息一览
　　公司业绩公布
　　08190.HK 康佰控股有限公司
　　新股/新证上市
　　编号 股份名称
　　10040.HK 杜工苏皇一零九购
　　10041.HK 黄金苏皇一零八沽
　　10043.HK 苹果德银一零七B
　　10044.HK 杜工苏皇一零九沽
　　28239.HK 中煤汇丰一十一B
　　28240.HK 中寿汇丰一零六购
　　28241.HK 招行汇丰一零九购
　　28242.HK 中兴汇丰一零八购
　　28243.HK 雨润摩通一零七购
　　28244.HK 平安摩通一零四购
　　28245.HK 平安摩通一零六购
　　28246.HK 民行麦银一零七购
　　28247.HK 中移中银一零八购
　　28248.HK 金沙德银一零七B
　　28249.HK 阿里瑞信一零六购
　　28250.HK 中银瑞信一零六购
　　28251.HK 长实瑞信一零六B
　　28252.HK 思捷瑞信一零五购
　　28253.HK 恒生瑞信一零五购
　　28254.HK 和黄瑞信二一零购
　　28255.HK 和黄瑞信一零七沽
　　28256.HK 和黄瑞信一一零沽
　　28257.HK 兖煤瑞信一零六购
　　28258.HK 中寿高盛一零七B
　　28259.HK 和黄高盛一零七B
　　28260.HK 洋保高盛一零六购
　　28261.HK 中行苏皇一零八购
　　28262.HK 港交苏皇一一零B
　　28263.HK 平安瑞银一零五C
　　28264.HK 和黄瑞银一零七D
　　28265.HK 雅居法巴二零一购
　　28266.HK 国信法巴二零二购
　　28267.HK 海油东亚一十二购
　　28268.HK 中海东亚一十二购
　　28269.HK 港交东亚一十二购
　　28270.HK 江铜东亚一十二购
　　67426.HK 恒指瑞信一四熊P
　　67427.HK 中移德银一六熊A
　　67428.HK 中移德银一六熊B
　　67429.HK 恒指德银一五牛Y
　　67430.HK 汇丰德银一六熊A
　　67431.HK 恒指瑞信一五牛Y
　　67434.HK 恒指瑞银一四牛L
　　67437.HK 恒指瑞银一四熊F
　　67438.HK 恒指瑞银一五熊O
　　67441.HK 中寿德银一六牛A
　　67442.HK 恒指法巴一乙牛T
　　股份/股证最后买卖日
　　编号 股份名称
　　02218.HK 烟台北方安德利果汁股份有限公司 - H股
　　08259.HK 烟台北方安德利果汁股份有限公司 - H股
　　10981.HK 英美德银一零一购
　　10985.HK 英美德银一零一沽
　　20950.HK 中煤巴银一零一购
　　21639.HK A中荷合一零一A
　　21659.HK 利丰花旗一零一购
　　21661.HK 玖龙花旗一零一购
　　21817.HK 中信花旗一零一A
　　21820.HK 恒安花旗一零一购
　　21921.HK 中粮花旗一零一购
　　22344.HK A中瑞信一零一沽
　　22516.HK A中巴银一零一沽
　　22533.HK 龙电瑞银一零一沽
　　22534.HK A中瑞银一零一沽
　　22923.HK 联想花旗一零一购
　　23009.HK A中瑞信一零一B
　　23068.HK A中花旗一零一C
　　23070.HK A中麦银一零一B
　　23076.HK 建行法兴一零一A
　　23077.HK 建行法兴一零一B
　　23085.HK 工行法兴一零一A
　　23086.HK 工行法兴一零一B
　　23096.HK 中移法兴一零一B
　　23148.HK 中化法兴一零一购
　　23369.HK 中煤中银一零一购
　　23495.HK 国信瑞银一零一购
　　23571.HK 农行瑞信一零一B
　　23573.HK 农行瑞银一零一A
　　23618.HK 工行美林一零一沽
　　23632.HK 国信法兴一零一B
　　23634.HK 汇丰法兴一零一A
　　23649.HK 农行瑞银一零一E
　　23670.HK 招行美林一零一沽
　　23671.HK A中美林一零一沽
　　23684.HK 吉利麦银一零一购
　　23690.HK 农行法兴一零一G
　　23830.HK 农行美林一零一C
　　23860.HK 中煤德银一零一购
　　23911.HK 海油美林一零一购
　　24089.HK 海油摩通一零一购
　　24153.HK 海油瑞银一零一购
　　24158.HK 农行麦银一零一沽
　　24213.HK 神华美林一零一购
　　24241.HK 海油法巴一零一购
　　24250.HK 阿里摩通一零一购
　　24282.HK 中寿美林一零一B
　　24353.HK 中移苏皇一零一购
　　24376.HK 工行瑞信一零一B
　　24496.HK 蒙牛野村一零一购
　　24538.HK 神华瑞银一零一购
　　24586.HK 中寿瑞银一零一沽
　　24776.HK 中寿荷合一零一B
　　24953.HK 中移瑞银一零一购
　　24986.HK 中移德银一零一购
　　25007.HK 中煤麦银一零一购
　　25054.HK A中苏皇一零一沽
　　25109.HK 农行高盛一零一购
　　25182.HK 中移瑞信一零一B
　　25880.HK 中寿瑞信一零一B
　　25887.HK 洋保瑞信一零一购
　　26067.HK 工行瑞信一零一E
　　(证券时报网快讯中心)

