4月21日美股专家坐堂实录
　　4月21日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	你好，纳斯达克的CPBY你如何看？最近波动比较厉害。该继续持有吗？(2010-04-21 04:30:14)　　专家[曾文俊]答： 	7块位置是较大的压力，如果再次上冲乏力，考虑减仓。(2010-04-21 21:30:14)
　　匿名问： 	Good Morning Mr.Zheng, May i know MBI pressure point? Thx(2010-04-21 21:01:40)　　专家[曾文俊]答： 	近2个月，出于对经济持续复苏的信心，mbi保险抵押公司上涨非常大，已经走出了1年新高。现在就是顺势而为，以8块的支撑为考量。(2010-04-21 21:34:37)
　　匿名问： 	曾老师好，请教两个问题：1。SVA现价是否可以买入还是再等等？2。MS前天刚刚买入，请问可以持有吗？多谢。。(2010-04-21 21:14:02)　　专家[曾文俊]答： 	sva不建议买入 ms可继续持有(2010-04-21 21:37:24)
　　匿名问： 	国电电力已持有三年咋办(2010-04-21 21:21:38)　　专家[曾文俊]答： 	继续持有吧(2010-04-21 21:37:46)
　　匿名问： 	请问你怎么看RF的短期波段走势(2010-04-21 21:25:18)　　专家[曾文俊]答： 	短期面临9块的压力啊。9－10附近的压力是很大的。(2010-04-21 21:39:57)
　　匿名问： 	〖曾老师〗已经是第二次请教您这只个股了，000532，力合股份，今天放巨量冲高回落，后续如何操作！谢谢谢谢！(2010-04-21 21:26:18)　　专家[曾文俊]答： 	今天冲高回落，14是有一定的压力的，不过应该还有机会冲击15的大压力位置。建议以12.5的支撑先持有。(2010-04-21 21:42:19)
　　匿名问： 	曾老师好！ 非常感激您的指点！000748成本价14.28(今天11.55卖出6成仓位后的成本)，明天是逢低补点仓？还是继续卖出，静候回到11附近再补仓？(我现在的总仓位是22%)。再次感谢！谢谢！！！(2010-04-21 21:31:27)　　专家[曾文俊]答： 	仓位不重，所以建议还是逢低补仓。(2010-04-21 21:44:06)
　　匿名问： 	老师，drys该怎么操作啊？昨天有note offering？是不是股价被稀释了啊？请一定回复！谢谢谢谢！(2010-04-21 21:33:37)　　专家[曾文俊]答： 	drys之前多次分析过，一直在5－6块横盘震荡，没有很好的操作空间。没有稀释。(2010-04-21 21:50:49)
　　匿名问： 	曾生：很高??你，??ldk?力和支持是多少，??(2010-04-21 21:34:58)　　专家[曾文俊]答： 	压力在9块，支撑在7块(2010-04-21 21:57:40)
　　匿名问： 	曾老师您好，人民币升值会增加进口，会有利于那些股票？(2010-04-21 21:41:04)　　专家[曾文俊]答： 	升值主要是航空造纸等外债多的行业(2010-04-21 21:54:56)
　　匿名问： 	A股让我伤透了心，三大行的股息已经高于银行利息，市盈率不高于12，可就是不涨，垃圾股疯涨，我还能坚持吗？(2010-04-21 21:41:10)　　专家[曾文俊]答： 	既然股息都高于利息了，说明长期持有是有价值的。就看你的操作思路了。(2010-04-21 21:56:12)
