陈兴强：沪指向3500点挺进

　　陈兴强
　　一如前面所言，地产股成了这一个多月来最耀眼的明星之一。但是在7月初银行、地产都相继遇上了一些麻烦。首先是银行股由于外围股市持续一个月的下跌而承受不小压力；其次，6月全国各地房地产价格出现了大幅飙升导致管理层的担忧，因此而引发市场对房地产政策调整的猜想。在此情况下，短期涨幅已高银行、地产股在7月初出现了主动性的调整。但是由于市场做多能量的充沛，在银行、地产休整的同时，前期调整充分的钢铁、3G、汽车、电器、电力设备、化工化纤等板块揭竿而起。个股的活跃，有效地缓冲了银行等大蓝筹股调整带来的压力，因此受银行指标股影响相对较小的深成指出现了有别于沪综指的连续突破行情。
　　随着时间进入中报披露期，美股有希望探底企稳，将给银行等蓝筹股带来良好的外部条件。由于高盛将于周二公布业绩，摩根大通、美国银行以及花旗集团也将于本周发布财报。昨天投资者期望银行二季度业绩或将好于预期，美国股市在金融股带领下强劲攀升，主要股指涨幅均超出了2%。
　　在外部环境趋好的情况下，A股出现了突破性的行情，在金融股的支持下，沪指再度突破了3100点压力，同时沪市成交量也稳定在1800亿左右。这说明目前市场已经能够承受一定的利空压力，牛市在利空声里得到了有效的检验。
　　股市在经历小小的波折之后，依然高歌猛进，在沪综指有效突破3000点整数关口的压力位之后，沪指向新的目标位3500点挺进。
　　始于07年10月的百万稳健模拟盘基金，目前持股待涨。(统计数据截至为当天中午收盘价，为方便统计，其收盘价最后数字以四舍五入处理。)
　　名称          时间      成本价           持股数量  累计收益      收盘价
　　亨通光电      02.03     10.12(摊薄)     10000     128%           23.1
　　中天科技      02.03     9.75(摊薄)      10000     103%           19.8
　　南京银行      04.03     12.3元(摊薄)    20000     48%           18.2
　　中航地产      04.03     9.5元 (摊薄)    20000     81%           17.2
　　航天晨光      04.15     8.3               20000      12%            9.3
　　安源股份      04.16     6.9元             20000     60%           11
　　深圳华强      05.11     7.4               20000     36%            10.1
　　西宁特钢      06.11     8.3               20000     47%             12.2
　　帐户总额：239.86万       现金：40.96万元    持股市值：198.9万 收益情况： 139.86%

