10月7日美股专家坐堂实录
　　新浪财经讯 美股专家徐春(微博)做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录:
   匿名问： 老徐，帮忙分析一下fas和faz的走势：fas今天是否已经到了拐点，该跌了？faz今天的低点你看会是多少？谢谢！(2011-10-07 20:16:58)　　专家[徐春]答： FAS的涨势可能差不多了，FAZ自然也就有可能重拾升势。(2011-10-07 20:26:09)
　　匿名问： 老师：请分析一下美股近期走势，谢谢！(2011-10-07 20:24:53)　　专家[徐春]答： 美国宏观经济形势仍未出现令人鼓舞的数据，尤其消费者信贷和住房信贷未现松动迹象；政府债务问题也仍未出现长期可行的解决方案；股市大起大落的波动性特征也还明显。因此，我个人觉得还在下降的过程中。(2011-10-07 20:36:27)
　　匿名问： 孙老师， 请您分析GLW,JRCC,AMAT的走势， 谢谢(2011-10-07 20:25:56)　　专家[徐春]答： 也许JRCC还有继续反弹的可能，另两只股票我会回避的。(2011-10-07 21:02:58)
　　匿名问： 请问BIDU和SINA现价可以买进吗？(2011-10-07 20:29:10)　　专家[徐春]答： 如果说三年是持有期限，我觉得是非常好的买进机会。(2011-10-07 20:37:11)
　　匿名问： 现在是买入 AMZN 的时候吗？(2011-10-07 20:29:13)　　专家[徐春]答： 换了我，我会观望的。我个人觉得NASDAQ有较大的下行空间。(2011-10-07 20:40:12)
　　匿名问： 徐总，最近MINDRAY的股票波动区间在什么范围内？长期看，EDU 的表现将会如何？(2011-10-07 20:31:08)　　专家[徐春]答： 比较棘手的问题，我对技术分析还真不在行。但是，基本面上看，这两只股票的增长性值得投资。(2011-10-07 20:51:21)
　　匿名问： 您好， 请您分析aapl的走势， 谢谢(2011-10-07 20:34:16)　　专家[徐春]答： 在可见的未来里，因为有iPhone 4S和iPad2 的支持， AAPL的经营性现金流应该是可观的。但是，实话实说，我个人觉得投资它的黄金时机已经终结。我觉得即使不在玉皇顶，也到朝天门了。(2011-10-07 20:44:35)
　　匿名问： 您好， 请您分析fslr,stp等的的走势，现在考虑加仓合适吗？ 谢谢(2011-10-07 20:35:50)　　专家[徐春]答： 对太阳能晶片股情有独钟的投资者应该好好温习一下费城半导体股票指数的长期走势。http://finance.yahoo.com/q/bc?s=%5ESOX+Basic+Chart&t=my(2011-10-07 21:08:24)
　　匿名问： 您说c和bac在底部附近，但是最近有比较好的反弹。因此，买进的话我会再等一等。为什么等？等待多久？(2011-10-07 20:38:07)　　专家[徐春]答： 等的原因是最近华尔街的示威活动可能会引起对金融业不利的立法或者行政性风险。需要观望局势的进展。(2011-10-07 21:10:06)
　　匿名问： 老师， yoku 22附近进的， 现在是不是该抛了？(2011-10-07 20:41:22)　　专家[徐春]答： 我个人觉得视频网站的拥挤程度太大，内容雷同，估值泡沫太高。就好比互联网门户，容不下那么多竞争者，死掉多数企业太正常了。你想想，搜狐、新浪做视频的障碍很大吗？(2011-10-07 21:13:20)
　　匿名问： 老师，请问lvs走势如何？可否考虑买入？ (2011-10-07 20:42:08)　　专家[徐春]答： 我觉得长期投资者可考虑持有。(2011-10-07 21:15:20)
