历年两会股市涨多跌少 两会行情还看新兴产业
　　新快报讯 (记者 陈昊?)每年“两会”行情之所以受到各方关注，其中一个关键原因在于其间总会推出从国家战略角度出发、推动各个行业发展的政策。而今年，在“保增长、调结构”的大背景下，发展新兴产业料将成为管理层的战略重点。业内人士认为，除去往年常常炒作的“三农概念股”等老牌“两会”概念股外，新兴产业如新能源板块等，也有望成为此次“两会行情”中炒作的热点。
　　这种判断并不难以理解。今年1月11日，国务院总理温家宝便表示要大力发展新兴产业；另据消息称，由国家发改委上报的《关于加快培育战略性新兴产业有关意见的报告》，已经获得国务院领导人的批示。
　　其实，早在去年11月3日，温家宝总理在首都科技界大会上，就通过长达1.2万字的讲话，为战略性新兴产业做出了详细解释。战略性新兴产业包括新能源、节能环保、电动汽车、新材料、新医药、生物育种和信息产业七大产业。此后，以国家发改委副主任张晓强为组长的部际小组到中西部地区展开调研，重点就是围绕七大新兴产业展开。
　　据了解，2月初，发改委会同科技部、工信部、财政部等部门召开了“战略性新兴产业总体思路研究工作启动暨协调小组第一次会议”。会上，一个名为“加快培育战略性新兴产业研究部际小组”(下称部际小组)的组织宣告成立，由20个部门或单位负责人组成。其中，发改委主任张平任组长，副组长包括发改委副主任张晓强、科技部副部长杜占元、工信部副部长苗圩、财政部副部长张少春等。会议还决定将起草《国务院关于加快培育战略性新兴产业的决定》和《战略性新兴产业发展“十二五”规划》。
　　据发改委规划司一位官员透露，《战略性新兴产业发展“十二五”规划》是继国家四万亿投资规划和十大产业振兴规划之后的又一项振兴经济的重大举措，发改委今年的新兴产业专项工程将围绕生物医药、生物育种、软件和信息服务等领域，进一步放宽市场准入。
　　历年“两会”股市涨多跌少
　　过往15次“两会”期间沪指上涨11次，涨幅最高达9.10%
　　新快报讯 (记者 陈昊?)“两会”即将召开，市场对“两会行情”的期待也逐渐升温。尽管我国资本市场的波动规律难以把握，但是对于相同题材的炒作，还是具备一定的纵向可比性。而纵观自1995年以来的十五次“两会行情”便可发现，在此期间股市呈现出涨多跌少的情况。
　　据统计，在过去的十五年中，上证指数(以下简称“沪指”)在“两会”期间十一次上涨，四次下跌。从中可以看到，涨幅最高的为1997年，当年“两会”期间共有12个交易日，沪指累计上涨9.14%，为历年来最大涨幅，当时，股市正处于牛市中的上扬阶段。此外，2002年“两会”期间，股市正经历熊市中的一波反弹，沪指在10个交易日中上涨7.88%，为涨幅第二大的年份。
　　除去牛市大涨之外，在熊市阶段“两会行情”往往也有不俗的表现。如1995年及1999年这两年的5月前，股市都处于暴跌之中，但这两年“两会”期间沪指涨幅均超过5%，分别为5.83%及5.79%。而在1998年，“两会”召开之时市场刚经历完一波大幅度的暴跌，但两会召开期间市场便开始逐步企稳，并在此后进入反弹。
　　跌幅最大的一年是2008年，沪指在“两会”期间大幅下跌8.14%，创下十五年之最。
　　实际上，对过去十五年的数据进行统计还可以发现，在“两会”结束后的三个月中，大盘上涨的概率更高达87%左右。
　　在过去十五年中，“两会”结束后大盘有13次上涨，涨幅最高的仍是1997年，涨幅为34%。排名第二的则是刚过去的2009年，涨幅32.89%。
　　从这些数据可以看到，“两会”的召开对资本市场嗲来的影响以正面为主，尤其在牛市期间，市场更是会放大这种效应。
　　1995-2009年“两会”期间沪指表现
　　开会时间 会前3个月低点 会中表现 会后3个月高点 会后3个月涨跌幅
　　1995.3.3~3.18 524 5.90% 681 15%
　　1996.3.3~3.17 512 1.80% 739 31%
　　1997.2.27~3.15 895 9.10% 1510 34%
　　1998.3.3~3.19 1125 0.03% 1422 20%
　　1999.3.3~3.15 1064 5.80% 1210 4%
　　2000.3.3~3.15 1227 -1.80% 2114 26%
　　2001.3.3~3.15 1893 1.80% 2245 11%
　　2002.3.3~3.15 1339 7.80% 1693 5%
　　2003.3.3~3.18 1311 -3.40% 1649 13%
　　2004.3.3~3.14 1307 0.40% 1783 5%
　　2005.3.3~3.14 1187 0.46% 1293 -2.99%
　　2006.3.3~3.14 1074 -2.02% 1757 2.46%
　　2007.3.3~3.15 2723 4.23% 4335 18.52%
　　2008.3.3~3.14 4123 -8.14% 3941 -27.61%
　　2009.3.3~3.14 1814 3.96% 2828 32.89%

