今日上市公司业绩公布备忘录
　　新浪财经讯 10月27日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　代号 股票名称 业绩报告
　　00300 昆明机床 第三季业绩
　　00338 上海石油化工股份 第三季业绩
　　00358 江西铜业股份 第三季业绩
　　00525 广深铁路股份 第三季业绩
　　00587 华瀚生物制药 末期业绩
　　00738 利信达集团 中期业绩
　　00757 阳光能源 第三季业绩
　　00763 中兴通讯 第三季业绩
　　00857 中国石油股份 第三季业绩
　　01055 中国南方航空股份 第三季业绩
　　01130 中国环境资源 末期业绩
　　01199 中远太平 第三季业绩
　　01288 农业银行 第三季业绩
　　01308 海丰国际 第三季业绩
　　01633 美即控股 末期业绩
　　01866 中国心连心化肥 第三季业绩
　　01893 中材股份 第三季业绩
　　02318 中国平安 第三季业绩
　　02388 中银香港 第三季业绩
　　02727 上海电气 第三季业绩
　　02866 中海集运 第三季业绩
　　02883 中海油田服务 第三季业绩
　　02899 紫金矿业 第三季业绩
　　03988 中国银行 第三季业绩
　　08016 中华数据广播 第三季业绩
　　08190 康佰控股 第一季业绩

