继续看好经济复苏板块

　　陈兴强
　　继昨天有色金属、煤炭石油板块止跌企稳之后，房地产板块今天也出现反弹迹象。截至今天，主要的板块均已完成主要调整动作，而此轮行情的主要核心力量银行股已经连续两天收盘创出反弹新高。股指经过7.29的强力震荡，技术指标已经得到了有效的修复，未来行情将继续以蓝筹股为核心震荡向上。
　　时间马上进入8月，已是中报披露的密集期，特别是蓝筹股的中报披露将对股市有较大影响。由于目前市场对主要蓝筹股如银行的业绩预期普遍较好，因此上市公司中期是否有较佳的分红方案成为影响短期股价走势的重要因素。例如昨天深发展出现涨停就与其中报高送转传闻有莫大关系。
　　从中报高送转预期的角度出发，选择高净资产、高公积金、高未分配利润的“三高”型股票在调整期买入是个好的思路，即便最好中报没有高送转，由于其预期的存在，在中报披露期间也会有较佳表现，特别是中期业绩有增长预期的股票。
　　从今天两市的成交量来看，沪市依然保持在2000亿左右的温和成交量区间，既不过度缩量也不过度放量，说明市场买卖心态良好，板块间将继续保持良好的轮动。个人认为，银行、地产、券商依然是后市重要的关注对象，作为经济复苏的代表性行业，其板块整体业绩向好的趋势，确保了板块的涨升具备有持续性。
　　始于07年10月的百万稳健模拟盘基金，目前持股待涨。(为方便统计，其收盘价最后数字以四舍五入处理。)
　　名称          时间      成本价           持股数量  累计收益      收盘价
　　亨通光电      02.03     10.12(摊薄)     10000     120%           22.1
　　中天科技      02.03     9.75(摊薄)      10000     105%           20.1
　　南京银行      04.03     12.3元(摊薄)    20000     60%           19.8
　　中航地产      04.03     9.5元 (摊薄)    20000     50%           14.9
　　航天晨光      04.15     8.3               20000      20%           9.9
　　安源股份      04.16     6.9元             20000     80%           11.5
　　深圳华强      05.11     7.4               20000     55%            11.4
　　西宁特钢      06.11     8.3               20000     55%             12.7
　　东方创业      07.17     10.5              20000     8%              11.3
　　帐户总额：245.16万       现金：19.96万元    持股市值：225.2万 收益情况： 142.76%

