12月21日美股专家坐堂实录
　　12月21日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	曾老师，您好！ 我知道您不看好600536，可我28的成本被套，又特别希望您给看看短期支撑和压力位。所以还是请您百忙中指点一下吧。万分感激！(2009-12-21 20:21:03)　　专家[曾文俊]答： 	短期支撑21，压力27。这个股票我每次坐堂都会回答。强庄股，看造化了。(2009-12-21 21:21:42)
　　匿名问： 	曾大帅，给您敬礼了！600489和600547还能持有吗？后市如何操作？谢谢！谢谢！谢谢！！！(2009-12-21 20:28:04)　　专家[曾文俊]答： 	从大盘和黄金的走势看我认为现在是可以持有的。(2009-12-21 21:22:48)
　　匿名问： 	曾高手，飞刀可接否(2009-12-21 20:33:33)　　专家[曾文俊]答： 	飞刀可以接，同时控制风险即可。做好两手打算，拿捏好平衡，就不会怕和贪。(2009-12-21 21:24:49)
　　匿名问： 	曾帅：终于把您盼来了！请帮俺仔细看看川投能源和券商股(持有中信和招商)的短期走势如何？？元旦前还能抱着吗？？？(2009-12-21 20:58:59)　　专家[曾文俊]答： 	新能源股表现一直都疲软，油价在这个位置，新能源行业前途不大。最近券商股在融资融券的朦胧消息下又强了起来，特别海通走的很强，可以持有，看看发展情况。(2009-12-21 21:26:43)
　　匿名问： 	老师您经历过楼市泡沫破灭吗？是不是很可怕啊？如果破灭是不是股市也会很恐怖啊？(2009-12-21 21:05:18)　　专家[曾文俊]答： 	我没有经历过，不过楼市和股市并不直接正相关。楼市跌起来时间可能更长。我一个客户深圳97年买的房在06年解套。(2009-12-21 21:29:32)
　　匿名问： 	老师好：请问大盘近期走势您倾向于下跌中继呢还是短期反弹？(2009-12-21 21:10:59)　　专家[曾文俊]答： 	大盘整体仍然是大的震荡区间。如果你说的是今天的9点，无法判断。近期的走势分析，可以参看我博客过去2周的分析，我的判断都在里面。 blog.sina.com.cn/wenjunzeng(2009-12-21 21:38:18)
　　匿名问： 	究竟是哪蓝筹还是中小板呢？你从4月九开始看空中小板的啊。可是呢？看看涨幅，中小板，甚至题材，哪一个不是涨幅高于大盘蓝筹？(2009-12-21 21:27:16)　　专家[曾文俊]答： 	今年以来，我2－3月看好铜，4－7月看好蓝筹，9月以来建议资源类和纯从技术角度买股。另外，如果每阶段看中的类型都正是市场当时的热点的话，那是上帝。(2009-12-21 21:34:15)
　　匿名问： 	帅哥：请问如何看待600900的一跌不起？谢谢！深套在16元上，近期有无解套可能？(2009-12-21 21:30:56)　　专家[曾文俊]答： 	近期恐怕没有。这类大盘股很难如此大涨的。(2009-12-21 21:40:18)
　　匿名问： 	老师好！ 请老师帮助看看c目前的反弹位置在哪里，不胜感激。(2009-12-21 21:36:50)　　专家[曾文俊]答： 	花旗新发股份事件造成上周股价大跌，4块到3.1的下跌幅度，反弹一半位置3.5左右会是压力区间。纯技术考量，不包含对大盘走势的影响。(2009-12-21 21:49:26)
　　匿名问： 	那你的意思是4月买的平安和中信证券，涨了不抛，现在跌了，那是活该？(2009-12-21 21:37:55)　　专家[曾文俊]答： 	我每次给买入建议都会有明确的卖出建议。4月2500点建议买入的蓝筹在8月跌破3200点建议卖出。请多关注博客的分析。(2009-12-21 21:43:56)
　　匿名问： 	曾老师您好！请问GAME的后期走势，其压力点和支撑点在多少，已经坐了几趟过山车啦，请指教，谢谢！(2009-12-21 21:41:53)　　专家[曾文俊]答： 	最近一个多月美股都维持了横盘震荡，GAME也是如此。上方压力在11，支撑在9.8。震荡空间正在逐步收拢。美股大盘应该也快走出个方向。建议等待方向明朗做出处理。(2009-12-21 21:52:34)
　　匿名问： 	老师好，亚信科技ASIAINFO如何，谢谢！(2009-12-21 21:42:02)　　专家[曾文俊]答： 	亚信收购联创的消息推动股价跳涨。不过现在进入了消息消化期，短期走势恐怕以调整为主。(2009-12-21 21:56:06)
