1月15日美股专家坐堂实录
　　1月15日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	曾老师好，美股如何投资大宗商品？谢谢！(2010-01-15 15:50:43)　　专家[曾文俊]答： 	买大宗商品的etf，或者直接买期货吧，不过期货要注意杠杆风险。(2010-01-15 21:30:35)
　　匿名问： 	曾老师，友好集团11元买的，能中线持有吗？(2010-01-15 21:11:08)　　专家[曾文俊]答： 	商业零售板块，可以中线持有的。不过要注意现在运行到了07年的高点位置，会有压力。(2010-01-15 21:27:05)
　　匿名问： 	曾老师，为什么今天美股期指下跌这么多呀，有什么利空消息吗？还有可否分析一下港股最近独立下跌行情的原因？(2010-01-15 21:15:04)　　专家[曾文俊]答： 	港股的下跌与美国经济复苏引发的资金回流有关系。(2010-01-15 21:20:25)
　　匿名问： 	曾老师，您好！ 再次感谢您的指点！祝您身体健康，阖家幸福！您说：“个股会继续表现，”。如果600536向上突破， 那么下一个压力是多少？万分感激！！！(2010-01-15 21:15:50)　　专家[曾文俊]答： 	那就是32了。(2010-01-15 21:28:35)
　　h02221问： 	文俊哥哥：我9.9买了601899 2/3仓，18.8买了600331 1/3仓，留着过年OK吗？祝你新年好运~~~~~~~~(2010-01-15 21:23:04)　　专家[曾文俊]答： 	留着过年这么长的时间我不好说。现在大盘属于横盘阶段，面临方向选择。虽然偏向上，但也不能绝对的说。(2010-01-15 21:29:47)
　　匿名问： 	老师，大秦铁路的短期压力位是多少？该股的中长期投资价值如何？去年并未涨多少。(2010-01-15 21:31:28)　　专家[曾文俊]答： 	铁路股是防御品种，在经济复苏背景下不受机构喜欢。中长期投资价值是有的。(2010-01-15 21:34:20)
　　匿名问： 	老师好，请问下我买了000858,成本在30,5,满仓，该不该再留呢？请帮忙分析下好吗，万分感激！!(2010-01-15 21:32:18)　　专家[曾文俊]答： 	可以留。食品饮料类是受经济影响小的行业，现阶段机构比较偏爱。(2010-01-15 21:35:23)
　　匿名问： 	老师您好！您辛苦了！向您致敬！请问期货概念股600128目标位？怎样操作？请千万别跳过。谢谢！ (2010-01-15 21:33:32)　　专家[曾文俊]答： 	股指期货概念总还会反复炒做，知道基本出台。目标位没法说，因为这类题材炒做较凶。(2010-01-15 21:36:31)
　　匿名问： 	感谢老师昨天对中国重汽的指点，今天大涨，好开心。问老师，今天算不算了啊。(2010-01-15 21:35:03)　　专家[曾文俊]答： 	开心就好。今天良好的业绩给了股价支撑。保持了较好的上升势头。(2010-01-15 21:43:23)
　　匿名问： 	你好，老师，请帮忙分析下600333好？我的成本在12.35元，买了50000股，现在它一直在11.50左右，该怎么办呢，请帮忙一下！!谢谢！!!!(2010-01-15 21:36:06)　　专家[曾文俊]答： 	超强势股，应有反复机会。先持有吧。(2010-01-15 21:43:57)
　　匿名问： 	先生，汽车类的股票，你认为今天是否有迹象企稳，不知可以介入吗？比如上海汽车？(2010-01-15 21:39:30)　　专家[曾文俊]答： 	即使介入也要注意是操作反弹，24块上方是压力。(2010-01-15 21:44:44)
　　匿名问： 	老师：我今天追高买了000608.请问在下周星期一要跑吗？他的压力位和支撑位是多少呢？谢谢了(2010-01-15 21:40:18)　　专家[曾文俊]答： 	你在压力位上追高，恐怕会有调整。慎重。(2010-01-15 21:46:49)
