11月4日美股专家坐堂实录
　　11月4日，美股专家Aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	高老师您好，请问000728后市如何操作，压力位在哪。谢谢(2009-11-04 07:44:35)　　专家[aries高]答： 	压力27.6附近前期高点，总体的双底形态还是比较漂亮的，只要颈线支撑21.3附近不跌破，那么趋势继续看涨。(2009-11-04 21:57:02)
　　匿名问： 	高老师：请问老师你对AFN的分析？(2009-11-04 19:18:26)　　专家[aries高]答： 	AFN在0.6附近有一定的支撑，这类小盘股的波动比较大，仓位要不太重了。(2009-11-04 22:01:17)
　　匿名问： 	专家请问怎么看000975，是不是该出了。还有上涨空间吗(2009-11-04 20:46:27)　　专家[aries高]答： 	目前看，上行趋势没有改变，如果不是追高介入的，不妨继续持有，支撑7.6附近，只要不跌破，上行趋势没有改变。(2009-11-04 21:46:00)
　　chad369问： 	高老师您好，GT可以进吗？他的压力点是多少？谢谢， (2009-11-04 21:25:45)　　专家[aries高]答： 	GT压力15.0位置，目前的下行趋势没有结束，可以继续观望。支撑10.0附近。(2009-11-04 21:33:06)
　　匿名问： 	请问两房公布三季报的具体时间 谢谢(2009-11-04 21:39:16)　　专家[aries高]答： 	你在http://finance.google.com上查下吧。(2009-11-04 21:54:32)
　　匿名问： 	老师分析一下AAI这只股票的走势啊？ 近期支撑点事多少啊？(2009-11-04 21:43:17)　　专家[aries高]答： 	AAI目前位置是前期的整理??位置，有一定的支持，再下方支?3.7附近的???支?，短期料下行空?有限(2009-11-04 22:16:19)
　　chad369问： 	高老师您好，PLx 后期如何？可以分析下吗？(2009-11-04 21:46:54)　　专家[aries高]答： 	PLX目前看，??的上行???有改?。(2009-11-04 22:25:48)
　　匿名问： 	高老师：您好请问美联储加息股市，美汇，美国债会是怎样？谢谢(2009-11-04 21:48:15)　　专家[aries高]答： 	市?普遍?期美??今年不?加息，?然如果目前的情?加息，那??利空股市。(2009-11-04 22:17:32)
　　匿名问： 	Can I buy UAUA.SPPI?Thanks!(2009-11-04 21:55:29)　　专家[aries高]答： 	SPPI有流感感念，未?走?有很大的不?定性，相比我到?得UAUA有不?的上?空?，相?也???健。(2009-11-04 22:18:47)
　　匿名问： 	高老师你持有什么A股啊？想参考下。还有就是一只股票老师高开低走是什么原因啊？ 怎么办啊？(2009-11-04 21:55:48)　　专家[aries高]答： 	A股很多情??股都是跟著大?走的，大?指?高?低走，是多??股高?低走的一?主要原因。(2009-11-04 22:27:07)
　　匿名问： 	请教老师：为什么c的走势这么疲软呢？(2009-11-04 21:56:19)　　专家[aries高]答： 	近期金融?股的跌幅超?大?，C的走?也算正常表?。(2009-11-04 22:37:45)
　　匿名问： 	Aries，CTRP最近的走势会如何？分析师推荐强烈买入，可以在56左右买吗？压力和阻力在哪里？谢谢！(2009-11-04 22:17:20)　　专家[aries高]答： 	CTRP的??我想不?改?，但是股?也接近?史高位，料上行空?有限，支?47.5，?力62.5(2009-11-04 22:51:36)
　　匿名问： 	老师您好，aapl长线投资如何？是否具有投资价值？毕竟现在价格也不便宜！十分感谢(2009-11-04 22:22:42)　　专家[aries高]答： 	AAPL我想???保持??，但是料上行空?也?有限。(2009-11-04 22:38:36)
　　匿名问： 	Aries: I bought LDk, and lost a lot, please tell me which price i can buy again?(2009-11-04 22:23:52)　　专家[aries高]答： 	LDK的走?在太?能板?中偏弱，如果要?，不妨考?一下，STP.YGE。(2009-11-04 22:46:51)
　　匿名问： 	高老师600010压力位在哪？？？？？？？？？？？？(2009-11-04 22:24:33)　　专家[aries高]答： 	短期?力4.3附近，再上方?力4.6附近。(2009-11-04 22:49:13)
　　匿名问： 	高老师，请问铜陵有色现在的价位能先暂时抛出嘛？还是能继续上涨？非常感谢。我下周想买车，怕又被套牢。请您务必给个答案，谢谢 (2009-11-04 22:28:58)　　专家[aries高]答： 	下周想??，那????最後??交易日干什麽呢？?於??想法?出也就?什麽好想的了，呵呵，就?朋友的看法，呵呵。(2009-11-04 22:45:18)
　　匿名问： 	please give me some suggetion on BAC and LVS. Which one seems stonger. By the way How is HIG? (2009-11-04 22:30:06)　　专家[aries高]答： 	那??，我??比?，不?後市我都比?看好BAC,LVS，HIG在24.0附近有一定的支?(2009-11-04 22:55:08)
　　匿名问： 	高老师，黄金创了新高，为啥白银不创新高呢？白银不是振幅更大吗？(2009-11-04 22:30:54)　　专家[aries高]答： 	?金和其他金?不一?，?金除了具有商品的特性外，?具有保值的性?。(2009-11-04 22:56:12)

