2月28日美股专家坐堂实录
　　新浪财经讯 2月28日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
    匿名问： I bought tsla@25, what should I do? Best regards,(2011-02-28 05:24:41)　　专家[aries高]答：  从量价走势看，可以持有。(2011-02-28 21:43:45)
　　匿名问：  老师：可否推荐你认为这轮不错的高科技股，谢谢(2011-02-28 11:18:23)　　专家[aries高]答：  可以重点关注AAPL等前期较为强势的龙头股。(2011-02-28 21:13:09)
　　匿名问：  老师：nem这轮支撑点位多少啊，现在进场合适吗，谢谢(2011-02-28 11:25:10)　　专家[aries高]答：  NEM上周公布的业绩不佳，短期不妨观望。(2011-02-28 21:02:55)
　　匿名问：  老师：nem这轮支撑点位是多少，现在进场合适吗？谢谢(2011-02-28 11:26:01)　　专家[aries高]答：  新浪网友大家好。今天warren有事，我代替他坐堂。(2011-02-28 21:01:54)
　　匿名问：  老王，晚上好。近期美国金融类股会有怎样表现，比如花旗银行和美国银行？感谢！(2011-02-28 20:43:59)　　专家[aries高]答：  银行类股总体走势弱于大市，短期可能会有一定幅度反弹，但是总体个人不太看好。(2011-02-28 21:09:23)
　　匿名问：  老王，大秦铁路可以拿着吗？谢了！(2011-02-28 21:00:56)　　专家[aries高]答：  从周线看，该股还是低位区间震荡，个人不看好。(2011-02-28 21:46:00)
　　匿名问：  王老板，山东黄金怎么样，能创新高吗(2011-02-28 21:14:06)　　专家[aries高]答：  现在离新高还很远，不过今天的黄金可能继续维持强势，黄金股可以考虑不断低吸高抛，料总体会维持强势。(2011-02-28 21:35:52)
　　匿名问：  老师，sina现在适合介入吗？(2011-02-28 21:28:28)　　专家[aries高]答：  SINA上周出现放量回调，短期个人倾向于继续观望。(2011-02-28 21:41:38)
　　匿名问：  请老师帮忙解答600837海通证券该如何操作，保持几成仓合适(2011-02-28 21:31:39)　　专家[aries高]答：  海通证券横盘整理，个人倾向于会突破走势。(2011-02-28 21:46:38)
　　匿名问：  Hi Sir, how do you think PWER? Thanks。(2011-02-28 21:32:50)　　专家[aries高]答：  PWER放量下跌后弱势整理，短期整理趋势可能还会持续。(2011-02-28 21:42:55)
　　匿名问：  老师aapl可以持有吗？谢谢！(2011-02-28 21:40:31)　　专家[aries高]答：  AAPL可以继续持有，料总体强势不会改变。(2011-02-28 21:53:01)
　　匿名问：  老师好，请问我买了000060，成本在22元，短期有希望解套吗？另外帮忙看下600359，成本在17。50，要怎么操作，谢谢(2011-02-28 21:42:50)　　专家[aries高]答：  000060短期是整理走势，目前突破的可能性不大。600359是突破整理走势，趋势继续看涨。(2011-02-28 22:09:28)
　　匿名问：  老师，GTEC,MU现在适合介入吗？(2011-02-28 21:43:00)　　专家[aries高]答：  GTEC个人相对看好一些，MU连续两天反弹后，目前吸引力已经大大降低。(2011-02-28 22:10:52)
　　匿名问：  aries高， how do u think UNG and PLUG ?非常感谢(2011-02-28 21:48:38)　　专家[aries高]答：  UNG上周五放量反弹，短期个人倾向于会有一波烦他。PLUG个人觉得没有必要太关注这类股，完全就是投机股，没有什么基本面。(2011-02-28 22:16:22)
　　匿名问：  请问高老师，USO和UNG走势会如何？ (2011-02-28 21:51:43)　　专家[aries高]答：  USO短期可能会高位整理，不建议追高。UNG周五放量反弹，短期倾向于看涨。(2011-02-28 22:23:40)
　　匿名问：  老师你好MGM可以介入吗？(2011-02-28 22:00:40)　　专家[aries高]答：  MGM短期压力14.48，如果突破，可以考虑介入。(2011-02-28 22:24:39)
　　pzzaq12wsx问：  请问老师，如何看成飞集成002190？趋势？很急，重仓，跪谢！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1(2011-02-28 22:16:56)　　专家[aries高]答：  该股短期出现了获利回调，个人倾向于可能还有一定幅度的调整。今天就到这里了，大家晚安。

