3月3日香港股市盘前重要消息一览
　　3月3日香港股市盘前重要消息一览：
　　公司业绩公布
　　00066.HK 香港铁路有限公司
　　00106.HK 深圳科技控股有限公司
　　00267.HK 中信泰富有限公司
　　00551.HK 裕元工业(集团)有限公司
　　02000.HK 晨讯科技集团有限公司
　　03813.HK 宝胜国际( 控股)有限公司
　　新股/新证上市
　　10086.HK 期油德银一零九购
　　10090.HK 期油德银一零九沽
　　29169.HK 汇丰美林一零七B
　　29170.HK 汇丰美林一零八购
　　29171.HK 汇丰美林一零九购
　　29172.HK 汇丰美林一十一购
　　29173.HK 汇丰美林一十二C
　　29174.HK 汇丰美林一零七沽
　　29175.HK 中交法兴一零八购
　　29176.HK 国美高盛一零九购
　　29177.HK 中科荷合一零九购
　　29178.HK 中燃荷合一零九购
　　29179.HK 中发荷合二零八购
　　29180.HK 雨润荷合一零九购
　　29181.HK 南车荷合一十二B
　　29182.HK 神码荷合一十一购
　　29183.HK 汇丰荷合一零七B
　　29184.HK 江铜荷合一零六购
　　29185.HK 上实荷合一零九购
　　29186.HK 株车荷合一零九购
　　29187.HK 中移麦银一零六C
　　29188.HK 招金麦银一零八购
　　29189.HK 长实瑞银一零六B
　　29190.HK 腾讯麦银一十二沽
　　29191.HK 上实法巴二零二购
　　29192.HK 建行德银一零九购
　　29193.HK 中移德银一零九购
　　29194.HK 汇丰德银一零九C
　　68394.HK 中寿法兴一七牛A
　　68395.HK 中寿法兴一七牛B
　　68396.HK 中寿法兴一七熊C
　　68397.HK 中寿法兴一七熊D
　　68398.HK 中寿法兴一七熊E
　　68403.HK 中移法兴一七牛A
　　68405.HK 中移法兴一七熊B
　　68406.HK 恒指瑞信一六熊O
　　68407.HK 恒指瑞信一八牛S
　　68409.HK 恒指德银一六熊Z
　　68410.HK 中企德银一八熊A
　　68411.HK 恒指比联一六牛Z
　　68422.HK 恒指比联一七牛J
　　68423.HK 恒指瑞银一六牛L
　　68424.HK 恒指瑞银一七牛A
　　68425.HK 恒指德银一八牛K
　　68426.HK 恒指德银一九牛U
　　68427.HK 恒指瑞信一六熊H
　　68428.HK 恒指瑞银一七熊F
　　68429.HK 恒指瑞银一八熊G
　　68430.HK 恒指比联一七牛K
　　68431.HK 恒指比联一七牛L
　　68434.HK 恒指比联一八牛E
　　68436.HK 恒指比联一八牛F
　　68437.HK 恒指比联一九牛B
　　68438.HK 恒指比联一六熊D
　　68439.HK 恒指比联一七熊M
　　68441.HK 恒指法巴一七熊R
　　68442.HK 恒指法巴一七熊S
　　68443.HK 恒指法巴一七熊T
　　68445.HK 恒指法巴一七熊U
　　68447.HK 恒指法巴一七熊V
　　68449.HK 恒指苏皇一六牛O
　　68450.HK 恒指苏皇一六牛P
　　68451.HK 恒指苏皇一六熊Q
　　68452.HK 恒指苏皇一六熊R
　　68453.HK 恒指苏皇一六熊S
　　68455.HK 恒指苏皇一六熊T
　　68460.HK 恒指德银一六熊L
　　68461.HK 恒指德银一七熊W
　　68465.HK 中寿德银一八牛B
　　68474.HK 中寿德银一七熊E
　　68475.HK 中移德银一七牛D
　　68476.HK 中移德银一七熊E
　　68477.HK 汇丰德银一八牛B
　　68478.HK 汇丰德银一七熊E
　　68480.HK A中德银一八牛B
　　68481.HK A中德银一八熊C
　　股份/股证最后买卖日
　　23637.HK A中法兴一零三B
　　23678.HK A中麦银一零三B
　　24788.HK 富康汇丰一零三购
　　26645.HK 汇丰美林一零三B
　　26858.HK 汇丰瑞信一零三B
　　(证券时报网快讯中心)

