今日上市公司业绩公布备忘录
　　新浪财经讯 08月13日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　代号 股票名称 业绩报告
　　00008 电讯盈科 中期业绩
　　00033 十友控股 中期业绩
　　00063 荣丰国际 中期业绩
　　00106 深圳科技 中期业绩
　　00168 青岛啤酒股份 中期业绩
　　00359 海升果汁 中期业绩
　　00428 亨亚 中期业绩
　　00432 盈大地产 中期业绩
　　00472 金六福投资 中期业绩
　　00570 盈天医药 中期业绩
　　00814 北京京客隆 中期业绩
　　00834 康大食品 中期业绩
　　00995 安徽皖通高速公路 中期业绩
　　01818 招金矿业 中期业绩
　　01898 中煤能源 中期业绩
　　02345 上海集优 中期业绩
　　08003 世大控股 第一季业绩
　　08015 干隆科技 中期业绩
　　08017 百龄国际 第一季业绩
　　08032 快意节能 中期业绩
　　08049 吉林长龙药业 中期业绩
　　08075 ROJAM 第一季业绩
　　08085 中民安园 第一季业绩
　　08126 G.A。控股 中期业绩
　　08128 中国地能 第一季业绩
　　08129 中国生物资源 中期业绩
　　08153 科地农业 第一季业绩
　　08192 环球能源资源 中期业绩
　　08196 元征科技 中期业绩
　　08226 上声国际 中期业绩
　　08227 海天天线 中期业绩
　　08229 东大照明 第一季业绩
　　08235 赛迪顾问 中期业绩
　　08236 宝德科技集团 中期业绩
　　08256 金利通 末期业绩
　　08273 浙江展望 中期业绩
　　08301 明华科技 中期业绩
　　08305 江晨国际 中期业绩
　　08306 中国有色金属 中期业绩
　　08319 YUSEI 中期业绩
　　08329 海王英特龙 中期业绩
   已有_COUNT_条评论  我要评论

