恒生AH溢指升0.49至94点 盘中刷新历史低位
　　新浪财经讯 09月27日消息，今日AH股指造好，沪指开盘后一路震荡走高，并以接近全天最高位报收；恒指在外围大涨的影响下反复造好，午后略有回顺。恒生AH溢指震荡走高，因A股普遍出现反弹带动，指数盘中高见94.36，低见92.83，创出历史新低，全日报收于94.22，升0.49或0.52%，指数显示A股股价整体比H股股价折价5.78%。
　　今日A股股指收盘上涨，受外盘影响，上证综指全天高开高走，收盘涨幅扩大至1.41%，报2627.97点；成交人民币914亿元，较上个交易日放大约37%。盘面看，个股普涨，有色、酿酒、农业等受益于通胀的板块涨幅靠前，包钢稀土(600111-CN)涨停；医药、旅游、汽车等消费类股活跃；钢铁、券商等板块涨幅落后。部分中小板次新股跌幅靠前；个别银行股疲软。深证成指收涨1.78%，报11409.81点。
　　恒指今日上扬，惠美股上周五急升，恒指裂口高开231点报22,351点，其后恒指曾升至今早高位22,407，之后于高位徘徊，午后虽曾回落至22,292，但尾市持续向上，最终恒指全日收报22,340，升221.41点或1%；国企指收升98.2点或0.8%，收报12,316，成交额819亿元。
　　AH股多数走势走强，在62只可比的AH中，H股42只上涨，A股49只。今日电气设备A股、H股表现抢眼，其实东方电气A股冲击涨停板，作为核电设备股，由于核电产业作为新能源产业的重要组成部分，备受市场追捧；另外上海电气H股也大涨4.31%，此外H股中航空股依旧延续前期的强势，涨幅居前。AH股中出现倒挂的个股有19只，股价较H股折价逾三成个股只剩下招商银行。恒生H股A指数升0.91%，报1798.44；恒生AH股H指数升0.72%，报2110.96。
　　中国联通(600050-CN)上涨0.20%，报收5.05元；中国平安(601318-CN)上涨2.53；中国人寿(601628-CN)上涨0.38%；建设银行(601939-CN)上涨0.22%；中国银行(601988-CN)上涨0.93%；工商银行(601398-CN)上涨0.76%；招商银行(600036-CN)下跌0.23%；交通银行(601328-CN)下跌0.53%。
　　中国人寿(2628-HK)软0.8%，工商银行(1398-HK)持平，建设银行(0939-HK)跌1.03%，中国石油(0857-HK)升1.25%，中国石化(0386-HK)升1.81%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　招商银行(600036-CN;3968-HK)-----(-33.41%)
　　交通银行(601328-CN;3328-HK)-----(-29.87%)
　　中国铁建(601186-CN;1186-HK)-----(-28.93%)
　　中国平安(601318-CN;2318-HK)-----(-28.86%)
　　海螺水泥(600585-CN;0914-HK)-----(-28.82%)
　　鞍钢股份(000898-CN;0347-HK)-----(-28.29%)
　　工商银行(601398-CN;1398-HK)-----(-27.48%)
　　建设银行(601939-CN;0939-HK)-----(-27.09%)
　　中国人寿(601628-CN;2628-HK)-----(-26.95%)
　　中国中铁(601390-CN;0390-HK)-----(-23.17%)

