22只优质破净股一览
　　注：上表破净股三季末每股收益均超过0.2元 
　　证券代码 证券简称 最新市净率(PB) 最新收盘 一周涨跌幅(%) 最新市盈率(倍) 三季每股收益(元) 每股经营现金流(元) A股流通市值(亿元) 净利润 净利润同比增长率(%) 营业总收入同比增长率(%) 利润总额同比增长率(%) A股合计 所属行业 
　　(元) (亿元) (亿股) 
　　000717 韶钢松山 0.698 3.26 18.12 8.43 0.2902 -0.2331 36.77 4.85 -23.87 50.09 -2.22 16.70 黑色金属 
　　600569 安阳钢铁 0.714 3.25 25.00 8.13 0.3 0.34 32.76 7.07 8.43 76.03 -9.40 23.94 黑色金属 
　　600991 长丰汽车 0.801 4.62 16.08 8.88 0.39 0.16 9.18 1.57 39.33 7.17 32.98 4.01 交运设备 
　　000903 云内动力 0.806 5.14 20.09 16.06 0.24 0.26 12.15 0.84 -49.03 -4.00 -47.51 3.78 机械设备 
　　600782 新钢股份 0.811 4.68 22.19 7.16 0.49 0.09 5.22 6.92 1690.53 1218.00 790.41 13.93 机械设备 
　　000761 本钢板材 0.828 4.54 13.50 7.54 0.4516 0.6667 9.88 14.16 14.91 18.13 2.64 27.36 黑色金属 
　　000932 华菱钢铁 0.837 4.52 29.14 7.48 0.4533 0.5806 50.68 12.76 -2.67 40.65 -3.40 27.38 黑色金属 
　　600001 邯郸钢铁 0.852 3.76 0.00 9.66 0.292 0.37 98.09 8.22 5.95 57.89 -3.38 28.16 黑色金属 
　　600064 南京高科 0.876 10.4 21.35 15.06 0.518 -4.15 23.49 1.78 44.92 21.73 35.26 3.44 房地产 
　　600126 杭钢股份 0.878 3.91 17.42 6.11 0.48 0.72 14.74 4.17 34.46 61.80 17.54 8.39 黑色金属 
　　600303 曙光股份 0.879 4.94 17.90 11.58 0.32 1.02 8.66 0.80 -24.07 20.42 -31.48 2.22 交运设备 
　　600102 莱钢股份 0.880 6.25 20.66 4.92 0.953 0.5 14.61 8.83 8.13 46.18 -13.66 9.22 黑色金属 
　　000898 鞍钢股份 0.911 7.35 26.51 4.83 1.141 1.095 94.18 82.53 25.67 28.59 11.12 61.49 黑色金属 
　　600260 凯乐科技 0.929 5.21 17.61 10.02 0.39 -1.29 11.56 1.06 5.67 12.34 -3.14 2.64 化工 
　　000589 黔轮胎A 0.939 4.6 16.16 11.17 0.309 0.34 7.79 0.78 11.04 11.66 5.02 2.54 化工 
　　600307 酒钢宏兴 0.952 5.38 34.50 8.97 0.45 0.47 17.90 4.06 -22.74 84.43 -27.25 8.74 黑色金属 
　　000488 晨鸣纸业 0.977 5.9 24.74 6.41 0.69 0.96 47.76 14.64 73.22 13.16 69.51 11.13 轻工制造 
　　600231 凌钢股份 0.977 4.64 26.78 7.57 0.46 0.29 17.29 3.09 11.57 47.70 2.87 6.76 黑色金属 
　　600219 南山铝业 0.983 6.23 24.35 10.16 0.46 0.68 30.95 8.12 -16.51 11.35 -33.05 13.19 有色金属 
　　600356 恒丰纸业 0.987 5.4 9.76 20.25 0.2 0.39 4.70 0.38 43.93 27.66 24.31 1.93 轻工制造 
　　000926 福星股份 0.989 5 18.76 7.04 0.533 0.07 26.21 2.91 40.03 5.88 19.80 7.05 机械设备 
　　600019 宝钢股份 0.995 5.57 21.62 5.88 0.71 0.19 975.42 129.63 16.36 10.93 6.97 175.12 黑色金属 

