新兴战略产业相关个股一览
　　新兴战略产业相关个股一览
　　行业 子行业或概念 相关个股
　　新能源 太阳能 金晶科技(600586)、天威保变(600550)、孚日股份(002083)等
　　核能 东方电气(600875)、中核科技(000777)等
　　风电 金风科技(002202)、天奇股份(002009)等
　　清洁能源 广汇股份(600256)、天茂集团(000627)、丰原生化(000930)等
　　电动汽车 电池及电动汽车杉杉股份(600884)、江苏国泰(002091)、安凯客车(000868)、威孚高科(000581)等
　　节能环保 节能红宝丽(002165)、泰豪科技(600590)、延华智能(002178)、联创光电(600363)等
　　环保 洪城水业(600461)、蓝星清洗、合加资源、龙净环保(600388)等
　　新材料 新材料 天通股份(600330)、安泰科技(000969)、中科英华(600110)等
　　生物育种 种子登海种业(002041)、敦煌种业(600354)、隆平高科(000998)、丰乐种业(000713)等
　　信息产业 电子信息、物联网海虹控股(000503)、中国软件(600536)、新大陆(000997)、长电科技(600584)、厦门信达(000701)等。(国盛证券肖永明)
欢迎发表评论  我要评论

