流动性与经济复苏预期推动新高不断

　　陈兴强
　　沪指在突破3000点纠缠之后，目前股指已经兵临3200点城下。今天随着股指创下反弹新高，沪市成交量也创下2197亿的本轮行情新高，可谓量价配合理想，股指还有进一步惯性冲高能力。
　　由于指标股上涨拉升了市场的估值空间，也由于前期小市值股调整充分，目前市场热点全面开花，钢铁、有色金属、煤炭石油、新能源、电力设备、3G、汽车、电器、机械、航天军工、化工化纤等板块全面突破，投资者进入了既赚指数又赚钱的时代。
　　证券市场的赚钱效应将会进一步发酵，场外资金将会源源不断地通过新开户以及基金申购源源不断流入股市。在通货膨胀压力之下，资本市场的泡沫如同房价泡沫一样不可阻挡。
　　支持股指上涨有一定的基本面因素，在预期GDP及通胀双高的情况下，企业盈利水平逐季将有显著的增长。中国央行15日发布金融市场运行报告显示，2009年6月末，广义货币供应量(M2)余额为56.89万亿元，同比增长28.46%。
　　6月末，金融机构人民币各项贷款余额37.74万亿元，同比增长34.44%，增幅比上年末高15.71个百分点，比上月末高3.83个百分点。上半年人民币各项贷款增加7.37万亿元，同比多增4.92万亿元。6月末，金融机构人民币各项存款余额为56.63万亿元，同比增长29.02%，增幅比上年末高9.29个百分点，比上月末高2.34个百分点。上半年人民币各项存款增加9.99万亿元，同比多增5.02万亿元。从分部门情况看：居民户存款增加31719亿元，同比多增9754亿元；非金融性公司存款增加58723亿元，同比多增42403亿元；财政存款增加6883亿元，同比少增3351亿元。非金融性公司存款中，企业存款增加52934亿元，同比多增37665亿元。6月份当月人民币各项存款增加2.00万亿元，同比多增1.23万亿元。
　　仅仅6月一个月，人民币各项存款同比就多增1.23万亿元，相对10万亿流通市值的证券市场来说，资金是不成问题的，需要的只是市场的赚钱效应以及股市上涨的理由。而本周将公布的一系列数据将为股市提供更多的利好消息，股指在资金的推动下只能反复向上寻找调整的空间。
　　始于07年10月的百万稳健模拟盘基金，目前持股待涨。(为方便统计，其收盘价最后数字以四舍五入处理。)
　　名称          时间      成本价           持股数量  累计收益      收盘价
　　亨通光电      02.03     10.12(摊薄)     10000     128%           23.4
　　中天科技      02.03     9.75(摊薄)      10000     103%           19.6
　　南京银行      04.03     12.3元(摊薄)    20000     48%           18.2
　　中航地产      04.03     9.5元 (摊薄)    20000     80%           16.8
　　航天晨光      04.15     8.3               20000      15%            9.5
　　安源股份      04.16     6.9元             20000     60%           11.6
　　深圳华强      05.11     7.4               20000     36%            10。
　　西宁特钢      06.11     8.3               20000     47%             12.5
　　帐户总额：241.16万       现金：40.96万元    持股市值：200.2万 收益情况： 141.16%

