AH溢指跌2.57至101点 保险H股续强A股回吐
　　新浪财经讯 10月21日消息，今日AH股指走势不一，沪指高开后小幅震荡走低，并收于3000点之下；恒指早段走高后回落，午后窄幅整理后再度走高。恒生AH溢指走低，因A股普遍震荡走弱，而H股震荡偏强，指数盘中高见104.54，低见101.39，全日报收于101.62，跌2.57或2.47%，指数显示A股股价整体比H股股价溢价1.62%。
　　沪深早盘两市股指双双高开，但内地9月CPI同比上涨3.6%，银行股开始下跌，午后股指维持低位震荡，盘中在有色股的活跃下，股指试图反弹，但银行和保险等金融股的集体疲软，股指反弹乏力，最后，沪综指以报收2,983.53点，下跌20.42点或0.68%，深成指报收13,111.52点，下跌18.49点或0.14%，两市成交额共计3,609亿元，与上一个交易日缩小两成。
　　恒指今日反复向上，恒指早上随外围高开180点，最高造23,736，甫开后迅即回落至23,610，其后再弹至23,729，但於中午前受内地股市拖累，恒指倒跌近100点一度下试23,450，午后反弹，最高升至23,720，最终恒指全日收报23,649.48，升92.98点或0.39%；国企指收升166.58点或1.24%，收报13,615，成交额940亿元。
　　AH股中A股走势相对弱于H股，在63只可比的AH中，A股22只上涨，H股39只。今日AH股同时走高的板块主要有机械板和资源，经纬纺机A、H股分别上涨3.21%、5.14%；潍柴动力A、H股分别上涨2.11%、3.77%；海螺水泥A、H股分别上涨2.98%、2.26%。另外，H股方面的保险股延续昨天的上涨格局，走势强于大市。AH股中出现倒挂的个股有18只，A股股价较H股股价折价两成的只有招行。恒生AH股A指数跌1.34%，报2132.25；恒生AH股H指数涨1.32%，报2339.12。
　　中国联通(600050-CN)下跌1.10%，报收5.39元；中国平安(601318-CN)下跌1.96%；中国人寿(601628-CN)下跌0.26%；建设银行(601939-CN)下跌1.89%；中国银行(601988-CN)下跌1.66%；工商银行(601398-CN)下跌1.74%；交通银行(601328-CN)下跌3.00%。
　　中国人寿(2628-HK)涨1.25%，工商银行(1398-HK)涨0.64%，建设银行(0939-HK)涨1.75%，中国石油(0857-HK)涨0.41%，中国石化(0386-HK)跌1.07%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　招商银行(600036-CN;3968-HK)-----(-22.74%)
　　交通银行(601328-CN;3328-HK)-----(-19.78%)
　　建设银行(601939-CN;0939-HK)-----(-19.74%)
　　农业银行(601288-CN;1288-HK)-----(-19.63%)
　　工商银行(601398-CN;1398-HK)-----(-16.53%)
　　鞍钢股份(000898-CN;0347-HK)-----(-15.67%)
　　海螺水泥(600585-CN;0914-HK)-----(-13.49%)
　　中国平安(601318-CN;2318-HK)-----(-13.14%)
　　中国铁建(601186-CN;1186-HK)-----(-12.55%)
　　中国人寿(601628-CN;2628-HK)-----(-11.04%)

