AH溢指弹近2点至120点 H股涨逾七成跑赢A股
　　新浪财经讯 02月12日消息，A+H股中，A股以近乎普涨态势结束农历牛年，但H股却只升跌互现；恒生AH股溢价指数全日收涨1.73点至120.32点；今日收市后倒挂个股减至七只。
　　央行提示国内价格稳定的潜在风险有所加大，通胀担忧无法消散，所幸市场对此早有预期，且于农历牛年收关日营造“温馨”氛围；深沪A股高开高走，带动股指连续第四个交易日收高，农历年全年累计升幅达52%。欧盟承诺协助希腊令欧洲财困忧虑大为减弱，但先前已连弹三日的港股却未能再续辉煌，H股指数全日小幅震荡后反而略为收跌，但纵观牛年大局，股指累计也有73%的涨幅进账。全日A股部分成交微减至约94亿元(人民币，A股下同)；H股部分成交也略缩至约111亿元(港元，H股下同)。
　　权重银行及石油股A股单边造好，整体跑赢大多疲软的港股市场，从而带动两市估值差距的拉大。但保险股略为抗跌；中国人寿(601628-CN;02628-HK)及中国太保(601601-CN;02601-HK)A股涨2.4%及1%，H股也收高0.6%及1.1%；AH股溢价率(考虑最新汇率因素：1港元兑换0.87873元人民币)现仍倒挂6.67%及12.14%。
　　铁路基建、公路铁路、海运、电力、重汽设备、环保及啤酒等行业也追随权重股A涨H跌表现；但有色金属及黄金、机械、电器类股则两市同步跑赢大盘，录得可观升幅。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　中国太保(601601-CN;02601-HK)-----(-12.14%)
　　中国平安(601318-CN;02318-HK)------(-7.03%)
　　中国人寿(601628-CN;02628-HK)------(-6.67%)
　　中国铁建(601186-CN;01186-HK)------(-5.60%)
　　招商银行(600036-CN;03968-HK)------(-5.49%)
　　鞍钢股份(000898-CN;00347-HK)------(-1.53%)
　　海螺水泥(600585-CN;00914-HK)------(-0.93%)
　　工商银行(601398-CN;01398-HK)--------0.14%
　　中国神华(601088-CN;01088-HK)--------1.18%
　　中兴通讯(000063-CN;00763-HK)--------4.91%

