欧佩克原油周四涨2.28美元 报每桶108.08美元
　　欧佩克网站信息显示，根据欧佩克秘书处的统计，欧佩克一揽子原油参考价格周四(3月17日)报每桶108.08美元，该价格周三(3月16日)为每桶105.80美元。
　　目前欧佩克一揽子油价12种组成成分包括：阿尔及利亚撒哈拉原油、安哥拉Girassol原油、厄瓜多尔Oriente原油、伊朗重质原油、伊拉克巴士拉轻质原油、科威特出口原油、利比亚Es Sider原油、尼日利亚博尼轻质原油、卡塔尔海上原油、沙特阿拉伯轻质原油、阿联酋穆尔班原油和委内瑞拉Merey原油。
　　欧佩克在成员国抱怨原有的一揽子价格夸大了产出价值后，制定了新的一揽子价格，给予高硫原油(价格相对较低)更高比重。
　　欧佩克于2005年1月30日取消了每桶22至28美元的官方价格区间，因为对全球稳定的担忧大幅推升油价，原来的价格区间规定已经不再合适。
　　以下为过去19个交易日的每日欧佩克一揽子原油参考价格表：
　　03月16日	105.80美元/桶
　　03月15日	106.56美元/桶
　　03月14日	107.87美元/桶
　　03月11日	109.18美元/桶
　　03月10日	110.71美元/桶
　　03月09日	109.96美元/桶
　　03月08日	109.55美元/桶
　　03月07日	112.03美元/桶
　　03月04日	111.42美元/桶
　　03月03日	110.48美元/桶
　　03月02日	110.83美元/桶
　　03月01日	108.27美元/桶
　　02月28日	108.50美元/桶
　　02月25日	108.31美元/桶
　　02月24日	111.01美元/桶
　　02月23日	105.88美元/桶
　　02月22日	104.01美元/桶
　　02月21日	100.59美元/桶
　　02月18日	99.08美元/桶
欢迎发表评论  我要评论

