窝轮精选(3.9)
　　编号 相关资产 行使价 到期日 实际 杠杆(x)
　　16393 恒指 (购) 12,400 28/08/2009 3.9
　　16395 恒指 (购) 13,600 28/08/2009 4.6
　　16181 恒指 (沽) 12,800 30/07/2009 3.1
　　16409 恒指 (沽) 11,600 30/12/2009 2.2
　　15697 国寿 (购) 26.98 27/07/2009 4.8
　　15377 国寿 (购) 23.53 01/06/2009 5.7
　　16159 国寿 (购) 23.38 28/09/2009 3.3
　　16171 A50 (购) 9.5 20/07/2009 3.5
　　16172 A50 (购) 9.88 28/08/2009 3.4
　　16185 中石油 (购) 6 30/11/2009 2.8
　　16184 中石化 (购) 4.48 19/10/2009 3.4
　　16405 中石化 (购) 3.88 28/12/2009 2.5
　　15678 中海油 (购) 6.3 21/12/2009 2.5
　　15701 中海油 (购) 6.88 20/10/2009 3.0
　　15696 建行 (购) 4.88 27/07/2009 5.0
　　编号 相关资产 行使价 到期日 实际 杠杆(x)
　　15376 建行 (购) 4.48 04/08/2009 4.2
　　16169 建行 (购) 3.93 27/07/2009 3.5
　　15702 工行 (购) 4.08 06/07/2009 5.6
　　16161 工行 (购) 3.69 18/08/2009 4.1
　　16289 中行 (购) 2.57 20/08/2009 4.6
　　16300 中行 (购) 2.5 27/10/2009 3.9
　　16234 招行 (购) 12.28 18/08/2009 3.0
　　15818 中移 (购) 78.01 16/10/2009 4.0
　　16211 中移 (购) 68.88 23/10/2009 3.3
　　15759 中移 (沽) 78.9 07/09/2009 2.1
　　15676 国信 (购) 2.8 29/06/2009 4.1
　　15836 新地 (购) 68.88 27/10/2009 3.2
　　15849 港铁 (购) 19.92 09/11/2009 3.8
　　15824 和黄 (购) 39.88 10/08/2009 3.9
　　15835 港交所 (购) 68 19/10/2009 3.7

