今日上市公司业绩公布备忘录
　　新浪财经讯 11月25日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　代号 股票名称 业绩报告
　　00052 FAIRWOOD HOLD 中期业绩
　　00088 TAI CHEUNG HOLD 中期业绩
　　00104 冠亚商业集团 中期业绩
　　00136 马斯葛集团 中期业绩
　　00199 德祥地产 中期业绩
　　00252 华信地产财务 中期业绩
　　00287 永发置业 中期业绩
　　00307 泰德阳光 中期业绩
　　00328 爱高集团 中期业绩
　　00391 美亚娱乐资讯 中期业绩
　　00403 星光集团 中期业绩
　　00426 万华媒体 中期业绩
　　00439 英发国际 中期业绩
　　00483 包浩斯国际 中期业绩
　　00611 德兴集团 中期业绩
　　00685 世界华文媒体 中期业绩
　　00687 泰升集团 中期业绩
　　00711 俊和发展集团 中期业绩
　　00766 中盈国金资源 中期业绩
　　00768 开明投资 中期业绩
　　00912 信佳国际 中期业绩
　　00918 第一德胜控股 中期业绩
　　00919 现代美容 中期业绩
　　00927 富士高实业 中期业绩
　　00986 南兴集团 中期业绩
　　00989 润迅通信国际 中期业绩
　　01140 东英金融投资 中期业绩
　　01382 互太纺织 中期业绩
　　01386 盈进集团 中期业绩
　　02322 三和集团 中期业绩
　　02327 积华生物医药 中期业绩
　　02668 百德国际 中期业绩
　　03888 金山软件 第三季业绩
　　

