欧佩克原油周四跌0.19美元 报每桶78.69美元
　　新浪财经讯 北京时间8月6日下午消息，欧佩克网站信息显示，根据欧佩克秘书处的统计，欧佩克一揽子原油参考价格周四(8月5日)报每桶78.88美元，该价格周三(8月4日)为每桶78.41美元。
　　目前欧佩克一揽子油价12种组成成分包括：阿尔及利亚撒哈拉原油、安哥拉Girassol原油、厄瓜多尔Oriente原油、伊朗重质原油、伊拉克巴士拉轻质原油、科威特出口原油、利比亚Es Sider原油、尼日利亚博尼轻质原油、卡塔尔海上原油、沙特阿拉伯轻质原油、阿联酋穆尔班原油和委内瑞拉Merey原油。
　　欧佩克在成员国抱怨原有的一揽子价格夸大了产出价值后，制定了新的一揽子价格，给予高硫原油(价格相对较低)更高比重。
　　欧佩克于2005年1月30日取消了每桶22至28美元的官方价格区间，因为对全球稳定的担忧大幅推升油价，原来的价格区间规定已经不再合适。
　　以下为过去19个交易日的每日欧佩克一揽子原油参考价格表：
　　8月5日    78.69美元/桶
　　8月4日    78.88美元/桶
　　8月3日    78.41美元/桶
　　8月2日    77.09美元/桶
　　7月30日   74.43美元/桶   
　　7月29日   74.19美元/桶
　　7月28日   73.26美元/桶
　　7月27日   73.95美元/桶
　　7月26日   74.22美元/桶
　　7月23日   74.44美元/桶
　　7月22日   73.47美元/桶
　　7月21日   73.16美元/桶
　　7月20日   73.16美元/桶
　　7月19日   72.94美元/桶
　　7月16日   72.89美元/桶
　　7月15日   73.26美元/桶
　　7月14日   73.93美元/桶
　　7月13日   72.58美元/桶
　　7月12日   72.00美元/桶

