AH溢指微跌至98点 中石油导演A股V型反转
　　新浪财经讯 08月04日消息，今日AH股指均收涨，沪指早盘窄幅震荡后走低，午后探底回升并翻红；恒指反复造好，尾市略为回顺。恒生AH溢指整体震荡偏弱，A股尾盘翻红但涨幅不大，对指数贡献有限，盘中高见98.75，低见97.27，全日报收于98.37，跌0.02或0.02%，指数显示A股整体平均较H股略为折价。
　　沪指今日小幅低开，开盘中地产权重股下拉，沪指转而下行，午后大盘加速下探，跌破2,600点，不过随后中国石油跳水触底后快速放量拉升直线翻红，带动指标股出现反弹，沪指终以报收2,627.00点，上涨11.52点或0.44%，深成指报收10,870.38点，上涨39.68点或0.37%，两市成交额共计2,119亿元。
　　恒指今日反复上扬，恒指高开109点后逐步攀升，最高曾升至21,598点，但期后于内地股市走弱，恒指倒跌一度下试21,427水平，午后随内地失复失地，最高升至21,621，最终全日收报21,549，升92点或0.43%；国企指收升16点或0.14%，收报12,137，成交额625亿元。
　　AH股大部分上涨，在可比的AH股中A股有29只上涨，H股有33只上涨。受中期盈利预增刺激，AH股的洛阳玻璃表现抢眼，洛阳玻璃(1108-HK)大涨6.31%，ST洛玻(600876-CN)也升2.40%。AH股中出现倒挂的个股有18只，其中中国人寿、中国铁建、海螺水泥、工商银行、鞍钢股份、建设银行、招商银行及中国平安较H股折让逾两成。恒生AH股A指数升0.13%，报1879.34；恒生AH股H指数升0.20%，报2076.58。
　　中国石油(601857-CN)上涨0.56%，报收10.68元；中国石化(600028-CN)下跌0.23%，报收8.70元；中国神华(601088-CN)上涨0.76%，报收23.86元；中国联通(600050-CN)持平；中国平安(601318-CN)停牌。
　　中国人寿(2628-HK)升0.14%，工商银行(1398-HK)持平，建设银行(0939-HK)涨0.45%，中国石油(0857-HK)升0.78%，中国石化(0386-HK)升0.64。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　招商银行(600036-CN;3968-HK)-----(-28.60%)
　　中国人寿(601628-CN;2628-HK)-----(-27.22%)
　　中国铁建(601186-CN;1186-HK)-----(-23.90%)
　　海螺水泥(600585-CN;0914-HK)-----(-22.08%)
　　工商银行(601398-CN;1398-HK)-----(-22.07%)
　　鞍钢股份(000898-CN;0347-HK)-----(-21.52%)
　　中国平安(601318-CN;2318-HK)-----(-20.76%)
　　建设银行(601939-CN;0939-HK)-----(-20.34%)
　　交通银行(601328-CN;3328-HK)-----(-18.37%)
　　民生银行(600016-CN;1988-HK)-----(-16.58%)

