AH溢指重上120点关口 部分银行类A股见增仓
　　新浪财经讯 12月16日消息，深沪A股早市之反弹未能获高位承接，股指全天呈冲高回落走势后小幅收低0.6%，于30日均线上蓄势休整。港股相较则更为疲软，H股指数高开低走进一步远离50日线，全日最终跌1.36%。
　　A+H股中，A股继续跌多升少，H股近乎全线下探；恒生AH股溢价指数再涨0.81点至120.11点；今日收市后倒挂个股增至六只。全日A股部分成交减至约187亿元(人民币，A股下同)；H股部分成交则微增至约162亿元(港元，H股下同)。
　　先后公布优于预期的保费数据的权重保险股未有脱离大盘表现；月度保费已连续第三个月录得同比正增长且增速显著扩大的中国人寿(601628-CN;02628-HK)，AH股跌0.67%及0.39%；最新AH股溢价率(考虑最新汇率因素：1港元兑换0.88058元人民币)持稳于-9.3%，仍为两市中倒挂率最高个股。银行及石油股也两地普遍拖累大市，但交通银行(601328-CN;03328-HK)及中国银行(601988-CN;03988-HK)A股则逆势见增仓，股价分别反弹0.7%及0.24%，跑赢H股之余将两市价差率略为扩大至9%及17%。
　　部分航空及医药类股只单独发展；客货运数据持续向好之中国国航(601111-CN;00753-HK)，A股升0.65%，优于急吐4.6%的H股；两市估值差距仍达87%。但个别煤炭股则两市皆受捧；或因发改委对煤价继续实行市场定价的言论，利于维持市场对2010年电煤涨价的预期。主要运营现货煤销售的兖州煤业(600188-CN;01171-HK)，AH股涨0.54%及0.24%。亦跑赢11月煤炭及电力业务增长皆加快的中国神华(601088-CN;01088-HK)。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　中国人寿(601628-CN;02628-HK)------(-9.30%)
　　中国平安(601318-CN;02318-HK)------(-7.10%)
　　工商银行(601398-CN;01398-HK)------(-5.73%)
　　马钢股份(600808-CN;00323-HK)------(-0.56%)
　　鞍钢股份(000898-CN;00347-HK)------(-0.33%)
　　民生银行(600016-CN;01988-HK)------(-0.31%)
　　青岛啤酒(600600-CN;00168-HK)--------0.35%
　　招商银行(600036-CN;03968-HK)--------1.13%
　　中国神华(601088-CN;01088-HK)--------3.42%
　　建设银行(601939-CN;00939-HK)--------4.39%

