恒生AH溢指跌0.76至99.17点
　　新浪财经讯 09月02日消息，今日AH股指在外围股市走高带动下反复造好，沪指一路震荡向上；恒指今早高开后维持高位整理态势。恒生AH溢指整体维持低位整理态势，因A股涨幅不及H股，指数盘中高见101.44，低见98.84，全日报收于99.17，跌0.76或0.76%，指数显示A股整体平均较H股略为折价。
　　沪指今早高开，随后受到权重股走低拖累股指一度下跌，但汽车制造，有色、酿酒、股期等板块纷纷走强，股指回升维持在高位；午后股指虽然没有出现大幅的拉升，两市涨停个股一度达到50家之多；沪指终以报收2,655.78点，上涨32.90点或1.25%，深成指报收11,465.15点，上涨146.41点或1.29%，两市成交额共计2,778亿元。
　　恒指今日随外围上扬，受惠美股昨夜升2.54%带动，恒指今早跟随裂口高开240点，随后逐步上升，最高曾升近300点至20,938，并于高位徘徊，临近中午收时回顺，午后曾回顺至20,819，最终恒指全日收报20,868，升245.09点或1.19%；国企指收升189点或1.65%，收报11,688，成交额661亿元。
　　AH股呈现普涨格局，在可比的AH股中A股有5只下跌，而H股更只有1只。今天的医药股表现抢眼，广州医药A股大涨6.74%，H股升9.29%；值得注意的是，因中国平安重组深发展而停牌的中国平安AH股今早复牌后也表示不俗，平安A涨3.98%和平安H涨2.72%。AH股中出现倒挂的个股有20只，其中招行A较招行H折价逾三成。恒生H股A指数跌升0.89%，报1837.72；恒生AH股H指数升1.66%，报2008.23。
　　中国平安(601318-CN)上涨4.52%；中国人寿(601628-CN)上涨0.09%；建设银行(601939-CN)上涨0.43%；中国银行(601988-CN)上涨0.60%；工商银行(601398-CN)上涨0.49%；招商银行(600036-CN)上涨0.44%；交通银行(601328-CN)上涨0.33%。
　　中国人寿(2628-HK)升1.34%，工商银行(1398-HK)升1.23%，建设银行(0939-HK)升0.78%，中国石油(0857-HK)升1.06%，中国石化(0386-HK)升1%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　招商银行(600036-CN;3968-HK)-----(-31.24%)
　　鞍钢股份(000898-CN;0347-HK)-----(-24.32%)
　　工商银行(601398-CN;1398-HK)-----(-22.85%)
　　交通银行(601328-CN;3328-HK)-----(-22.17%)
　　建设银行(601939-CN;0939-HK)-----(-21.48%)
　　中国铁建(601186-CN;1186-HK)-----(-20.35%)
　　中国平安(601318-CN;2318-HK)-----(-19.12%)
　　中国人寿(601628-CN;2628-HK)-----(-18.44%)
　　中国中铁(601390-CN;0390-HK)-----(-17.40%)
　　民生银行(600016-CN;1988-HK)-----(-16.64%)

