09年10月世界主要国家央行议息时间一览
　　议息央行 　　　上次利率变动时间 　　　当前利率 　　　　下次时间 　　 市场预期
　　日央行 　　 08年12月19日减息20点 　　 0.10% 　　　 　 11月20日 　　　利率不变
　　英央行 　　　09年5月7日减息0点 　　　　0.50% 　　　　　11月5日 　　　利率不变
　　欧央行 　　　09年5月7日减息25点 　　　 1.00% 　　　　　11月5日 　　　利率不变
　　加央行 　　　09年4月21日减息25点 　　　0.25% 　　　　　12月8日 　　  利率不变
　　纽储行 　　　09年4月30日减息50点 　　　2.50% 　　　　　10月29日 　  利率不变
　　澳央行 　　　09年10月6日升息25点 　　　3.25% 　　　　　11月2日 　　　利率不变
　　美联储 　　　09年1月26日减息75点 　　　0－0.25% 　　　 11月5日 　　　利率不变
　　瑞央行 　　 09年3月12日减息25点 　　　0.25% 　　　　　12月10日 　　 利率不变
   已有_COUNT_条评论  我要评论

