AH溢价指数涨0.43点 A股对H股溢价0.78%
　　新浪财经讯 12月23日消息，今日沪指和恒指震荡走低，沪指早盘窄幅震荡下跌，午后一度反弹但未果，最高见2893.71，终报2855.22，下跌22.68或0.79%；恒指先升后跌，午后上涨乏力回跌，并失守23000点关口，最高见23151.38，终报22902.97，下跌142.22或0.62%。
　　恒生AH溢价指数小幅上涨，因H股午后大幅回吐，指数低见99.66，全日报收于100.78，上涨0.43或0.43%，指数显示A股股价整体比H股股溢价0.78%。
　　今日AH股中A股和H股均普遍走低，在63只可比的AH中，A股13只上涨，H股10只上涨。A股方面，年底资金面趋紧是个不争的事实，在此背景下，机构投资者心态谨慎，均不会积极操作，个股跌多涨少，医药及部分资源类股跌幅居前，不过银行股表现抗跌，公路股也走势较强；H股方面，整体跌幅大于A股，其中医药及金融股全线走低，从而稍微拉大了与A股的价差，电力设备及铁路股则小幅上升，但涨幅最大的上海电气也仅有1.76%。AH股中出现倒挂的个股有17只，A股较H股折价两成个股至4只。
　　恒生AH股A指数跌0.32%，报1936.68；恒生AH股H指数跌0.60%，报2171.89；恒生AH股A+H指数跌0.48%，报2164.40。
　　中国石油(601857-CN)下跌0.35%，报收11.40元；中国石化(600028-CN)下跌0.85%；报收8.16元；中国神华(601088-CN)上涨0.36%，报收25.31元；中国人寿(601628-CN)、建设银行(601939-CN)、中国银行(601988-CN)下、工商银行(601398-CN)均持平。
　　中国人寿(2628-HK)下跌0.94%，工商银行(1398-HK)下跌0.35%，建设银行(0939-HK)下跌0.72%，中国石油(0857-HK)上涨0.40%，中国石化(0386-HK)下跌0.81%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　鞍钢股份(000898-CN;0347-HK)-----(-23.13%)
　　招商银行(600036-CN;3968-HK)-----(-21.14%)
　　农业银行(601288-CN;1288-HK)-----(-20.42%)
　　中国平安(601318-CN;2318-HK)-----(-20.03%)
　　建设银行(601939-CN;0939-HK)-----(-19.98%)
　　中国人寿(601628-CN;2628-HK)-----(-17.67%)
　　交通银行(601328-CN;3328-HK)-----(-16.25%)
　　中国铁建(601186-CN;1186-HK)-----(-15.17%)
　　工商银行(601398-CN;1398-HK)-----(-14.35%)
　　中国太保(601601-CN;2601-HK)-----(-12.58%)

