AH溢价指数上涨0.42点 收报101.68点 
　　新浪财经讯 6月17日消息，周五A股和港股继续下跌，沪指震荡低走，午后跌幅扩大并刷新年内低点，收市报2,642.82，下跌21.46点或0.81%；恒指反复向下，盘中反弹乏力尾盘杀跌，收市报21,695.26，下跌257.85点或1.17%。
　　恒生AH溢价指数走高，因H股跌幅较A股略大，最高见102.08，报收于101.68，上涨0.42点或0.41%，指数显示A股股价整体较H股溢价1.68%。
　　今日A股和H股普遍下跌，在67只可比的AH中，A股有14支收涨，H股有20支收涨。在A+H股中，A股方面，有分析师表示，投资者人气疲弱，超大盘股护盘仍难抵挡中小盘股抛压，周末加息担忧一直笼罩市场；在通胀未真正见顶前，市场很有可能缓慢下跌寻底。盘面上，有色、机械、电力、航空股跌幅较大，中国铝业(601600-CN)下跌6%，另外银行、钢铁、航运等股亦纷纷走弱，而水泥、造船股逆市走强。H股方面，个股多数下跌，其中公路、水泥、港口等股跌幅靠前，值得一提是，中国石油(0857-HK)逆市升近5%，因市场憧憬中俄天然气协议。
　　AH股中出现倒挂的个股有16只，A股较H股折价幅度最大的是中国平安，溢价率达-27.12%。
　　恒生AH股A指数下跌0.49%，收报1825.87；恒生AH股H指数下跌0.69%，收报2045.62；恒生AH股A+H指数下跌0.69%，报2055.55。
　　中国平安(601318-CN)下跌2.74%；中国人寿(601628-CN)下跌0.16%；中国银行(601988-CN)下跌0.32%；建设银行(601939-CN)上涨1.03%；工商银行(601398-CN)上涨0.23%。
　　中国人寿(2628-HK)下跌4.09%，工商银行(1398-HK)上涨0.35%，建设银行(0939-HK)上涨0.45%，中国石油(0857-HK)上涨1.49%，中国石化(0386-HK)下跌1.50%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　中国平安(601318-CN;2318-HK)-----(-27.12%)
　　农业银行(601288-CN;1288-HK)-----(-20.93%)
　　中国太保(601601-CN;2601-HK)-----(-20.16%)
　　招商银行(600036-CN;3968-HK)-----(-15.53%)
　　工商银行(601398-CN;1398-HK)-----(-11.32%)
　　建设银行(601939-CN;0939-HK)-----(-10.88%)
　　中国人寿(601628-CN;2628-HK)-----(-10.17%)
　　交通银行(601328-CN;3328-HK)-----(-8.47%)
　　海螺水泥(600585-CN;0914-HK)-----(-7.21%)
　　青岛啤酒(600600-CN;0168-HK)-----(-6.77%)

