AH溢价指数报101.45点 水泥A+H股涨幅居首
　　新浪财经讯 03月22日消息，今日沪指和恒指收高，沪指探底回升，盘中一度失守2900点关口，收市报2,919.14，上涨10.00点或0.34%；恒指反复向上，午后出现一波拉升涨幅扩大，收市报22,857.90，上涨172.68点或0.76%。
　　受此影响，恒生AH溢价指数小幅下跌，因A股涨幅较H股小，令A股溢价略缩小，最低见100.99，全日报收于101.45，下跌0.10或0.10%，指数显示A股股价整体较H股溢价1.45%。
　　今日A+H股中多数A和H股表现佳，在66只可比的AH中，A股40只上涨，H股43只上涨。在A+H股中，A股方面，在上调存款准备金率之后，市场消息较平淡，外围因素的影响力亦渐消；目前市场对于货币紧缩政策是否见顶存在分歧，因此导致盘面走势震汤，盘中有赖于估价较低银行股带动人气，水泥股受益于发改委发布的行业数据提振而涨幅居前，部分核电设备股继续反弹，有色金属股亦表现不俗，受制于收紧政策影响，煤炭和钢铁股走弱，另外药业股跌幅较大。H股方面，整体走势较A股强，与A股一样，水泥股涨幅居首，航空股也表现抢眼，金融股整体走强，药业股则与A股相反出现上涨，而部分机械股跌幅较大。AH股中出现倒挂的个股有14只，A股较H股折价两成个股至3只。
　　恒生AH股A指数上涨0.73%，报1957.19；恒生AH股H指数上涨0.86%，报2182.96；恒生AH股A+H指数上涨0.95%，报2193.37。
　　中国平安(601318-CN)上涨1.81%；中国人寿(601628-CN)上涨0.71%；建设银行(601939-CN)上涨0.61%；工商银行(601398-CN)上涨0.46%；中国银行(601988-CN)上涨0.62%；招商银行(600036-CN)上涨2.21%。
　　中国人寿(2628-HK)上涨0.86%，工商银行(1398-HK)上涨0.99%，建设银行(0939-HK)上涨0.57%，中国石油(0857-HK)上涨2.63%，中国石化(0386-HK)上涨0.79%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　农业银行(601288-CN;1288-HK)-----(-23.11%)
　　中国平安(601318-CN;2318-HK)-----(-22.32%)
　　招商银行(600036-CN;3968-HK)-----(-20.32%)
　　交通银行(601328-CN;3328-HK)-----(-17.64%)
　　建设银行(601939-CN;0939-HK)-----(-17.21%)
　　中国太保(601601-CN;2601-HK)-----(-16.26%)
　　工商银行(601398-CN;1398-HK)-----(-15.23%)
　　中国人寿(601628-CN;2628-HK)-----(-14.00%)
　　鞍钢股份(000898-CN;0347-HK)-----(-9.93%)
　　民生银行(600016-CN;1988-HK)-----(-7.07%)

