10月17日香港股市盘前重要消息一览
　　证券时报网 10月17日讯 
　　10月17日香港股市盘前重要消息一览：
　　公司业绩公布
　　00002.HK 中电控股
　　新股/新证上市
　　15026.HK 和黄麦银二零三D
　　15027.HK 汇丰荷合五一零购
　　15028.HK 汇丰荷合二零四沽
　　15029.HK 海油荷合二零八购
　　15030.HK 中移荷合五零六购
　　15031.HK 友邦荷合二零六A
　　15032.HK A中瑞银三一零购
　　15033.HK 紫金麦银二零六购
　　15034.HK 中移法巴二零四购
　　15035.HK 兖煤麦银二零六购
　　15036.HK 恒产麦银二零五购
　　15037.HK 中化麦银二零七购
　　15038.HK 中化瑞银四十二购
　　15039.HK 海油瑞银二十一B
　　68595.HK 恒指荷合二四牛F
　　68596.HK 恒指荷合二四牛G
　　68597.HK 恒指荷合二四牛H
　　68598.HK 恒指摩通二二牛H
　　68599.HK 恒指摩通二二牛I
　　68600.HK 恒指摩通二二牛J
　　68601.HK 恒指摩通二二牛K
　　68603.HK 恒指瑞银二四牛E
　　68604.HK 恒指瑞银二二牛E
　　68608.HK 恒指法巴二五牛V
　　68610.HK 恒指法巴二五牛W
　　68613.HK 恒指法巴二五牛X
　　股份/股证最后买卖日
　　11334.HK 中铁美林一一零B
　　11336.HK 神华美林一一零购
　　11344.HK 恒大麦银一一零购
　　11347.HK 马钢荷合一一零购
　　11350.HK 中寿摩通一一零沽
　　11509.HK 中移苏皇一一零C
　　11695.HK 兖煤瑞银一一零购
　　11734.HK 海油苏皇一一零A
　　12543.HK 农行瑞银一一零A
　　23777.HK 新地比联一一零购
　　23837.HK 中联比联一一零购
　　23871.HK 新地汇丰一一零购
　　24697.HK 龙电荷合一一零购
　　26101.HK A中摩通一一零购
　　26347.HK A中花旗一一零购
　　26648.HK A中美林一一零购
　　28018.HK 华地比联一一零购
　　28308.HK 中联高盛一一零购
　　28817.HK 新地麦银一一零B
　　63513.HK 中移汇丰一十牛A
　　63844.HK A中德银一十熊B

