3月24日美股专家坐堂实录
　　3月24日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　[手机用户]问：  	老师晚上好。请问民生银行怎么办？套牢了。可以补仓吗？能长期持有吗？(2010-03-24 20:54:22)　　专家[aries高]答： 	新浪?友大家好。近期?行板?基本是整理走?，可以再?望一段??。(2010-03-24 21:31:04)
　　匿名问： 	老师，请问C、PMI、STP和SKS的走势会怎样？谢谢了！(2010-03-24 21:23:35)　　专家[aries高]答： 	C,PMI是金融板?，日?看，?在呈上行??，STP?在是弱?整理，支?12.95附近。(2010-03-24 21:44:04)
　　匿名问： 	小高老师，感谢你昨天的点评，感觉000419方向不明，请你点评一下后市如何操作？谢谢！!!!!!!!!!!!!!!!!!!!!!!(2010-03-24 21:23:51)　　专家[aries高]答： 	和昨天一?，支?9.25附近，??上行???有?。(2010-03-24 21:48:36)
　　匿名问： 	请教一下`天津创业环保股份 可否介入(2010-03-24 21:28:01)　　专家[aries高]答： 	目前日?弱?整理，我?向於?注????。(2010-03-24 21:49:35)
　　匿名问： 	sir how about pard thanks(2010-03-24 21:29:21)　　专家[aries高]答： 	PARD日?跌破近期整理??，不看好(2010-03-24 21:33:53)
　　匿名问： 	老师好！华测检测后市如何操作(2010-03-24 21:34:38)　　专家[aries高]答： 	日?震?上行中，支?45.7附近。(2010-03-24 21:54:27)
　　匿名问： 	高老师：您好！首先感谢您的指点！002156今天收十字星，是否企稳止跌了？再次感谢！谢谢！！！(2010-03-24 21:36:56)　　专家[aries高]答： 	短期有???象，?注支?13.1附近。(2010-03-24 21:52:08)
　　[手机用户]问： 	A股。港股是不是和美元指数走势相反的？受外围市场影响并不大？(2010-03-24 21:37:12)　　专家[aries高]答： 	港股受外?市?影?大些，美元走?主要影?大宗商品??股，比如?金，石油等等。(2010-03-24 21:51:14)
　　[手机用户]问： 	高生你好：请问600512可否持有，成本6.9感谢…(2010-03-24 21:38:18)　　专家[aries高]答： 	日?看，上行???有?，可以持有。(2010-03-24 21:55:01)
　　匿名问： 	您如此看好蓝筹，就是不涨，您如此看空题材，就是不跌，蓝筹会涨的。耐心？？？？(2010-03-24 21:39:02)　　专家[aries高]答： 	我比?不?，如果有20%的收益我就知足了，所以?在我持有??，等。?是我目前的主要看法。(2010-03-24 21:45:48)
　　匿名问： 	高老师：您好！hts可以买吗？谢谢！(2010-03-24 21:39:06)　　专家[aries高]答： 	HTS目前是上行??，短期?力28.32(2010-03-24 21:52:55)
　　三套帐问： 	FUQI 11元附近能做空吗，因做假账，美国市场一般很反感，且Q4业绩只有原预期的一半(2010-03-24 21:39:32)　　专家[aries高]答： 	FUQI目前弱?整理，我?向於拉高放空，但是要?好止?，注意??。(2010-03-24 21:56:13)
　　[手机用户]问： 	高老师！广州友谊被套五个点！要割肉吗？(2010-03-24 21:42:58)　　专家[aries高]答： 	GZYY日?震?下行，短期??可能?持?，支?22.55附近。(2010-03-24 21:57:21)
　　lily0009333问： 	你好，Aries，请教600151，航天军工股，好像量能在萎缩，是否可介入，还是大跌的600529，谢谢(2010-03-24 21:43:12)　　专家[aries高]答： 	600529日?破位下跌，短期?望等止跌企?吧。?工概念我也看好，但是不建?追高。(2010-03-24 21:59:41)
　　匿名问： 	aries how about ncty thanks(2010-03-24 21:44:24)　　专家[aries高]答： 	NCTY走?并不好，??弱??有改?。(2010-03-24 21:57:52)
　　匿名问： 	FITB 买不买谢谢。(2010-03-24 21:52:48)　　专家[aries高]答： 	FITB我仍然看好，有不?的上?空?，但是?想等待????介入，但是感???的空?不??很大，我?是想等等。(2010-03-24 22:00:35)
　　匿名问： 	高老师晚上好，CBAK3.6的成本，后市如何操作？急啊，谢谢(2010-03-24 21:53:15)　　专家[aries高]答： 	CBAK??支?2.17位置，近期走?偏弱，但是不跌破，??不大。(2010-03-24 22:05:12)
　　匿名问： 	高老师好！ 非常感激您的指点！600546算是突破前期高点了吗？万分感激！！！(2010-03-24 21:54:54)　　专家[aries高]答： 	近期??放量，?中突破?，短期可能???行情。(2010-03-24 22:28:39)
　　匿名问： 	sir how about ldk thanks(2010-03-24 21:55:09)　　专家[aries高]答： 	LDK短期?注7.2的?力，如果放量突破，可以追?一下。(2010-03-24 22:01:33)
　　匿名问： 	老师，SINA最近为什么很弱，38能支撑住吗？可以买入吗？谢谢！(2010-03-24 21:55:22)　　专家[aries高]答： 	SINA支?35.33位置，如果在?位置止跌，可以考?介入，?在在下跌中，要有些耐心，要不然拿不到好?位。(2010-03-24 22:07:41)
　　匿名问：  	您说的支撑，是指跌到这价格买入，，还是跌破这个价格卖出？(2010-03-24 21:57:40)　　专家[aries高]答： 	我的意思是，?位置有不?的支?，如果下跌，可能?在?位置止跌，?然可以在?位置附近考??入。(2010-03-24 21:58:33)
　　匿名问： 	老师，你好。BAC现价能买进吗？麻烦你马上答复。谢谢(2010-03-24 21:58:49)　　专家[aries高]答： 	日?突破近期整理??，??看?，可以考?。(2010-03-24 22:12:13)
　　匿名问： 	GOOG 的支撑是多少，现在是介入点吗？(2010-03-24 22:00:28)　　专家[aries高]答： 	GOOG支?520附近。可以等???支?的??。(2010-03-24 22:13:25)
　　匿名问： 	老师我今天买的000785成本是10.7后市有多少的上涨空间支撑和压力在哪谢谢(2010-03-24 22:03:39)　　专家[aries高]答： 	000785近期日???整理，量不?，我?向看?，?力12.26的反?高?。(2010-03-24 22:15:50)
