H股市场投资价值显现
　　上周H股市场大幅下跌，国企指数的一周累积跌幅高达7.46%，收至7147.34点。多数H股均遭到重创，仅个别H股逆势上涨，中国银行为其中之一。
　　上周中国银行H股累积逆市上涨4.08%至2.04港元，这只股份获得追捧的原因与私募基金接盘策略股东所减持的H股有关。这种传言虽然尚未完全证实，但从上周中国银行H股天量成交中也不难看出一些端倪。不过，中国银行近期的强势表现已经包含了不少炒作因素，原因是多数中资银行股都出现了不菲的跌幅，内地机构投资者全面接盘银行类H股的情况应尚未出现。
　　除外围环境表现欠佳之外，一系列来自H股公司盈利方面的负面因素也是导致H股股价大幅下跌的重要原因。中国国航日前公告称，预计2008年将出现大规模的净亏损，原因是受航空运输需求下降及燃油套期保值合约结算损失拖累。而此前东方航空刚刚披露的去年全年燃油套期保值公允价值损失高达62亿元。除巨大的套期保值损失将导致航空公司全面陷入亏损之外，近日华能国际、魏桥纺织等H股公司也相继发布盈利预警，表示2008年利润显著下降或出现净亏损。魏桥纺织给出的原因是产品需求受到全球金融危机的严重影响，这表明金融危机对H股公司盈利的负面影响已经通过航空、纺织等板块提前到2008财年的盈利中显现。
　　尽管如此，对于H股市场而言，黎明前的黑暗或许已经到来。事实上，上周H股市场的大幅跌势，还可能与投资者对即将披露的内地四季度经济数据感到担忧有关。统计局近日将2007年GDP最终核实数较去年年初披露的初步核实数提高了1.1个百分点，2007年基数的提高可能意味着2008年的GDP数据将更加难以乐观，市场对表现最差的四季度GDP数据感到担忧因此也不难理解。国内经济状况可能在今年一季度开始好转，尽管内地政府的一系列经济刺激措施将在二季度才会显现，但由于去年一季度因南方雪灾导致基数偏低，这将会给今年一季度的GDP数据提供支撑。
　　从最新披露的12月份货币数据也能找出经济可能出现拐点的证据。受信贷增速数据从去年11月份以来连续出现反弹的带动，12月份的M1和M2数据均出现回升。尽管M1和M2增速差距依然很大显示市场释放的流动性还有相当大的部分仍滞留在银行体系，但包括现金及活期存款、最能反映企业和居民购买意愿变化的M1的稳步回升，却有望推动CPI最终出现反转。通缩风险的逐步降低并消除将最终推动中国经济下行周期的拐点提前来到。
　　当前有关H股市场更简单的价值判断是：一方面，限制H股市场企稳回升的根本性因素在于内地宏观经济的周期性变化以及受此因素制约的H股公司的盈利状况，而尽管H股市场数月来紧随受到外围经济环境制约的外围股市同步下跌，但在此轮全球性的经济下降周期中，中国经济的状况相对外围而言要好得多；另一方面，H股市场和A股市场有完全相同的根源，但因A股市场将在未来数年中面临限售股解禁和流通这一除经济之外的又一重要负面因素，因此H股应是相对A股而言更具吸引力的中国股份。而从估值上看，目前57只A+H股份的H股股价仅为对应A股股价的逾50%，对于长期持股的投资者而言，何去何从已不言自明。
　　代码         股票简称        收盘价        周升幅(%)
　　08236    宝德科技集团    0.15     16.15
　　08231    复旦张江        0.24     9.09
　　00549    奇峰化纤        0.18     7.23
　　08247    中生北控        1.66     5.06
　　08095    北大青鸟环宇    0.19     4.32
　　00300    昆明机床        3.76     4.16
　　03988    中国银行        2.04     4.08
　　01211    比亚迪股份     13.50    3.37
　　01818    招金矿业        5.74     2.87
　　08208    常茂生物化学    0.77     2.67
　　上周涨幅较高的H股
　　代码         股票简称        收盘价     周跌幅(%)
　　08273    浙江展望        0.31    -32.97
　　08329    海王英特龙     0.60    -23.08
　　01800    中国交通建设    7.44    -21.68
　　01138    中海发展股份    6.81    -20.16
　　02600    中国铝业        3.67    -18.44
　　02868    首创置业        0.95    -18.1
　　01919    中国远洋        4.71    -18.09
　　08286    长城微光        0.25    -16.67
　　00840    天业节水        0.52    -16.13
　　00753    中国国航        1.88    -15.7

