恒生AH溢指微跌至97点 银行股走高推升大市
　　新浪财经讯 10月14日消息，今日AH股指上涨，沪指盘中一度冲高站上2900点上方，但午后涨幅收窄；恒指高开后略为回落，午后造好大幅攀升。恒生AH溢指震荡走低，因H股午后大幅攀升，而A股涨幅却收窄，指数盘中高见99.81，低见97.15，全日报收于97.24，跌0.23或0.24%，指数显示A股股价整体比H股股价折价2.76%。
　　沪深股市今日个别发展，早盘两市股指高开高走，资产类的保险、有色、煤炭等股走强，股指冲高后出现小幅回落，在临近午盘时，个股出现分化，午后股指止住调整势头，最后，沪综指以报收2,879.64点，上涨18.28点或0.64%，深成指报收12,507.71点，下跌95.29点或0.76%，两市成交额共计4425亿元，与上一个交易日放大一成。
　　恒指今日造好，上午恒指高开227点后，甫开一度升至23,788点，其后升幅收窄至23,614，但於中午前有买盘支持，指数于23,700水平穿梭，午后内银股有买盘支持，领大市节节上升，最高造23,866，最终恒指全日收报23,852.17，升394.48点或1.68%；国企指收升274.46点或1.68%，收报13,575，成交额1,385亿元。
　　AH股中H股整体强于A股走势，在63只可比的AH中，A股37只上涨，H股45只。今日银行股集体走高，投资者追捧基本面良好落后股，工商银行A涨3.55%，相对应的H股更涨近5%，中信银行A涨近2%，相对应的H股涨4.72%，其它银行股如农行、交行等也有不同程度的涨幅。AH股中出现倒挂的个股有20只，股价较H股折价逾两成个股有6只，分别是招行、建行、交行、海螺水泥、农行和鞍钢。恒生AH股A指数升1.69%，报2031.18；恒生AH股H指数升2.17%，报2331.92。
　　中国平安(601318-CN)上涨2.53%；中国人寿(601628-CN)上涨2.49%；建设银行(601939-CN)上涨2.07%；中国银行(601988-CN)上涨1.45%；工商银行(601398-CN)上涨3.55%；招商银行(600036-CN)上涨0.28%；交通银行(601328-CN)上涨0.97%。
　　中国人寿(2628-HK)升1.59%，工商银行(1398-HK)升4.96%，建设银行(0939-HK)涨2.93%，中国石油(0857-HK)升1.21%，中国石化(0386-HK)升0.81%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　招商银行(600036-CN;3968-HK)-----(-24.83%)
　　农业银行(601288-CN;1288-HK)-----(-22.05%)
　　建设银行(601939-CN;0939-HK)-----(-21.89%)
　　中国人寿(601628-CN;2628-HK)-----(-20.08%)
　　鞍钢股份(000898-CN;0347-HK)-----(-19.81%)
　　交通银行(601328-CN;3328-HK)-----(-19.54%)
　　中国平安(601318-CN;2318-HK)-----(-19.46%)
　　工商银行(601398-CN;1398-HK)-----(-18.76%)
　　海螺水泥(600585-CN;0914-HK)-----(-17.93%)
　　中国铁建(601186-CN;1186-HK)-----(-13.79%)

